name_P,Ctcf_P
chr1_1242947_1244047,2.57531
chr1_1284630_1285730,27.399790000000003
chr1_1297057_1298157,6.50289
chr1_1310775_1311875,4.03285
chr1_1333902_1335002,9.984010000000001
chr1_1334608_1335708,9.984010000000001
chr1_1342593_1343693,3.15552
chr1_1354625_1355725,13.43643
chr1_1509355_1510455,2.32898
chr1_1589786_1590886,17.91524
chr1_1590373_1591473,17.91524
chr1_1624067_1625167,2.85015
chr1_1822395_1823495,4.47881
chr1_2142962_2144062,5.19417
chr1_2143913_2145013,5.19417
chr1_2144059_2145159,5.19417
chr1_2159134_2160234,1.9143299999999999
chr1_2345136_2346236,26.81393
chr1_2486078_2487178,6.25167
chr1_3369990_3371090,24.86249
chr1_713150_714250,8.65225
chr1_713906_715006,8.65225
chr1_839214_840314,24.87687
chr1_856296_857396,6.518269999999999
chr1_859260_860360,8.15783
chr1_91005_92105,36.95019
chr1_933331_934431,4.07891
chr1_935452_936552,2.04467
chr1_954503_955603,12.98855
chr1_994114_995214,8.143289999999999
chr1_998568_999668,13.39644
