name_P,DNaseI_P
chr1_1009587_1010687,0.093
chr1_1051641_1052741,0.4168
chr1_1071397_1072497,0.02465
chr1_1101484_1102584,0.031549999999999995
chr1_1102243_1103343,0.0344
chr1_1103385_1104485,0.0464
chr1_1103737_1104837,0.0464
chr1_1108264_1109364,0.0266
chr1_1114835_1115935,0.02675
chr1_1141971_1143071,0.0384
chr1_1149418_1150518,0.0297
chr1_1166629_1167729,0.4115
chr1_1167311_1168411,0.4115
chr1_1182002_1183102,0.0305
chr1_1209165_1210265,0.2595
chr1_1209603_1210703,0.2595
chr1_1242947_1244047,0.1625
chr1_1253969_1255069,0.0692
chr1_1259136_1260236,0.1625
chr1_1259971_1261071,0.1625
chr1_1265694_1266794,0.0938
chr1_1284630_1285730,0.092
chr1_1310775_1311875,0.2269
chr1_1333902_1335002,0.2487
chr1_1334608_1335708,0.2487
chr1_1342593_1343693,0.2251
chr1_1357049_1358149,0.0229
chr1_1360508_1361608,0.0335
chr1_1369241_1370341,0.0449
chr1_1369853_1370953,0.0256
chr1_1384069_1385169,0.024
chr1_1406143_1407243,0.1629
chr1_1446531_1447631,0.2892
chr1_1475733_1476833,0.02775
chr1_1509355_1510455,0.1856
chr1_1510149_1511249,0.1856
chr1_1549795_1550895,0.3893
chr1_1551075_1552175,0.3893
chr1_1566474_1567574,0.0228
chr1_1589786_1590886,0.3141
chr1_1590373_1591473,0.1701
chr1_1624067_1625167,0.439
chr1_1630369_1631469,0.024300000000000002
chr1_1654951_1656051,0.237
chr1_1655666_1656766,0.237
chr1_1677331_1678431,0.4753
chr1_1711796_1712896,0.0373
chr1_1821910_1823010,0.1539
chr1_1822395_1823495,0.1539
chr1_1850612_1851712,0.2534
chr1_1946869_1947969,0.03345
chr1_1949780_1950880,0.0257
chr1_1980909_1982009,0.2393
chr1_1981409_1982509,0.2393
chr1_2076618_2077718,0.0229
chr1_2120237_2121337,0.0666
chr1_2142962_2144062,0.1643
chr1_2143913_2145013,0.1643
chr1_2144059_2145159,0.1643
chr1_2159134_2160234,0.2052
chr1_2283196_2284296,0.027549999999999998
chr1_2284159_2285259,0.0263
chr1_2322267_2323367,0.3342
chr1_2323046_2324146,0.3342
chr1_2345136_2346236,0.2099
chr1_2356419_2357519,0.0367
chr1_2424597_2425697,0.12545
chr1_2425818_2426918,0.2181
chr1_2457939_2459039,0.1942
chr1_2461584_2462684,0.0446
chr1_2476904_2478004,0.2021
chr1_2486078_2487178,0.0321
chr1_2488370_2489470,0.041
chr1_2496849_2497949,0.0267
chr1_2516930_2518030,0.2966
chr1_2563007_2564107,0.02955
chr1_2564381_2565481,0.0243
chr1_2718186_2719286,0.07915
chr1_2731463_2732563,0.0311
chr1_2937046_2938146,0.02635
chr1_2978859_2979959,0.0262
chr1_2984732_2985832,0.0375
chr1_2984901_2986001,0.0375
chr1_3050173_3051273,0.0321
chr1_3369990_3371090,0.2585
chr1_3540566_3541666,0.2642
chr1_3541207_3542307,0.2642
chr1_3585236_3586336,0.1681
chr1_3630762_3631862,0.0298
chr1_713150_714250,0.128
chr1_713906_715006,0.128
chr1_761988_763088,0.1405
chr1_762802_763902,0.1405
chr1_839214_840314,0.06
chr1_845815_846915,0.0436
chr1_856296_857396,0.0915
chr1_859260_860360,0.0852
chr1_866345_867445,0.0369
chr1_894589_895689,0.14029999999999998
chr1_894967_896067,0.14029999999999998
chr1_900877_901977,0.2086
chr1_933331_934431,0.0987
chr1_935452_936552,0.0987
chr1_947803_948903,0.0641
chr1_948473_949573,0.0641
chr1_954503_955603,0.1027
chr1_994114_995214,0.1671
chr1_998568_999668,0.1411
