name_E,H3k4me2_E,H3k9ac_E,H4k20me1_E,H3k4me1_E,H3k4me3_E,Smc3_E,H3k36me3_E,H3k27ac_E,DNaseI_E,H3k79me2_E,Ctcf_E,H3k27me3_E
chr10_1100843_1101035,7.628777,19.929997,1.94726,3.886486,6.962482,0.0,4.092987,16.700073,0.0,18.642506,1.100408,0.0
chr10_1112826_1113160,7.628777,0.0,1.94726,0.0,6.962482,0.0,4.092987,0.0,0.0,0.0,1.100408,0.0
chr10_3028046_3028193,9.850385,0.0,1.530821,5.594127,3.301086,0.0,0.0,0.0,0.0,0.0,0.0,1.537606
chr10_3078434_3078646,12.487552,0.0,1.530821,4.225598,4.33175,0.0,0.0,0.0,0.0767,0.0,0.0,1.537606
chr10_3133662_3133717,5.485935,0.0,1.530821,5.636473,2.340585,0.0,4.837559,0.0,0.0608,8.541732,0.0,0.0
chr10_3137708_3138098,12.550196,0.0,1.530821,5.636473,5.8016915,0.0,4.837559,12.308108,0.0857,8.541732,0.0,0.0
chr10_3216614_3216797,7.647181,0.0,1.530821,0.0,0.0,0.0,4.837559,0.0,0.0,0.0,0.0,1.7546685
chr10_3497590_3497951,4.203065,0.0,0.0,5.01916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3526849_3527147,20.596502,9.783407,0.0,8.031247,6.570665,0.0,0.0,16.801979,0.0678,3.269939,4.182188,0.0
chr10_3800307_3800531,10.037457,10.148774,0.0,8.341349,4.512937,2.92277,0.0,17.447609,0.0618,0.0,1.797279,0.0
chr10_3807382_3807563,16.244056,5.606773,0.0,7.181262,5.477088,0.0,0.0,6.240165,0.0,0.0,0.0,0.0
chr10_3845250_3845852,11.25232,9.53775,0.0,9.362842,5.041569,0.0,0.0,15.481668,0.0,0.0,0.0,1.157315
chr10_3845999_3846426,11.25232,9.53775,0.0,9.362842,5.041569,0.0,0.0,15.481668,0.0,3.108588,0.0,1.157315
chr10_3846443_3847038,11.25232,9.53775,0.0,9.362842,5.041569,4.16977,0.0,15.481668,0.0,3.108588,0.0,1.157315
chr10_3848037_3849536,11.25232,9.53775,0.0,9.362842,5.041569,2.12376,0.0,15.481668,0.0254,3.108588,0.0,1.157315
chr10_3852273_3852886,11.998412,9.316285,0.0,9.362842,5.167758,3.01812,0.0,27.902356,0.033,0.0,0.0,1.157315
chr10_3853393_3854169,11.998412,9.316285,0.0,9.362842,5.167758,5.22368,0.0,27.902356,0.049,8.162099,0.0,1.157315
chr10_3870489_3871262,14.217723333333334,0.0,0.0,6.1038595,5.6437285,2.57556,0.0,10.776941,0.0351,0.0,0.0,1.157315
chr10_3878027_3878387,16.61006,7.208515,0.0,6.255324,6.210095,0.0,0.0,14.767327,0.0325,0.0,0.0,1.157315
