name_E,DNaseI_E
chr10_1281519_1281707,0.0488
chr10_3078434_3078646,0.0767
chr10_3133662_3133717,0.0608
chr10_3137708_3138098,0.0857
chr10_3524547_3524820,0.0298
chr10_3526849_3527147,0.0678
chr10_3697757_3697968,0.0522
chr10_3800307_3800531,0.0618
chr10_3848037_3849536,0.0254
chr10_3852273_3852886,0.033
chr10_3853393_3854169,0.049
chr10_3870489_3871262,0.0351
chr10_3878027_3878387,0.0325
chr10_3893365_3894190,0.0346
chr10_3917358_3918120,0.0427
chr10_3929991_3930887,0.0577
chr10_3944367_3944901,0.0942
chr10_4088404_4088528,0.0574
chr10_4173688_4174411,0.0513
chr10_4556552_4557090,0.0383
chr10_4891874_4892173,0.1039
chr10_5336164_5336286,0.0544
chr10_556579_556951,0.1626
chr10_557102_557353,0.1626
chr10_5588881_5589169,0.0276
chr10_5593718_5593999,0.0694
chr10_5607602_5608000,0.0273
chr10_5883027_5883237,0.1135
chr10_5888274_5888577,0.0276
chr10_990446_990769,0.075
chr1_100512510_100512716,0.0329
chr1_1005293_1005547,0.3004
chr1_100996437_100996829,0.0372
chr1_10127211_10127315,0.0359
chr1_1014834_1015095,0.1473
chr1_101577594_101578108,0.0443
chr1_101774729_101775525,0.0344
chr1_10269964_10270260,0.4432
chr1_10695291_10695734,0.0581
chr1_10700424_10700580,0.0522
chr1_10757179_10757344,0.0294
chr1_10816030_10816223,0.0588
chr1_108478082_108478329,0.0425
chr1_10853986_10854555,0.0491
chr1_108584447_108584892,0.0327
chr1_109100040_109100237,0.0296
chr1_109104473_109104583,0.0718
chr1_109189516_109189718,0.0458
chr1_10927237_10927380,0.0937
chr1_1093610_1093958,0.4261
chr1_109933790_109934137,0.1069
chr1_110333273_110333688,0.1171
chr1_110339466_110339959,0.031
chr1_110358971_110359415,0.1713
chr1_110429456_110429734,0.0397
chr1_110444415_110444738,0.034
chr1_110448900_110449220,0.2246
chr1_110454846_110455290,0.0384
chr1_110626726_110627062,0.0973
chr1_110672728_110673048,0.029949999999999997
chr1_110927812_110928210,0.052
chr1_110976504_110976901,0.0329
chr1_111162611_111162919,0.1786
chr1_111177471_111177854,0.0723
chr1_111329904_111330079,0.0585
chr1_111757482_111757860,0.0342
chr1_111758440_111759106,0.0525
chr1_111764327_111764759,0.0695
chr1_112013331_112014031,0.0257
chr1_112048437_112048734,0.0795
chr1_112050044_112050594,0.094
chr1_112058341_112058601,0.0485
chr1_112058803_112059167,0.0485
chr1_112135698_112135869,0.0871
chr1_112901525_112901779,0.0516
chr1_112942216_112942335,0.0461
chr1_1136075_1136463,0.1284
chr1_1136667_1137146,0.1284
chr1_113734243_113734639,0.0564
chr1_1143531_1144198,0.102
chr1_115025085_115025405,0.0275
chr1_115605190_115605611,0.0416
chr1_115641281_115641604,0.0957
chr1_116221756_116221883,0.026
chr1_116920378_116921129,0.0624
chr1_117032033_117032296,0.0501
chr1_117047053_117047428,0.13
chr1_117051576_117051921,0.0291
chr1_117081238_117081452,0.0329
chr1_117082797_117083071,0.0697
chr1_117129425_117129671,0.0547
chr1_117281390_117281752,0.0814
chr1_1173386_1173736,0.0419
chr1_117421623_117422020,0.0452
chr1_11753086_11753651,0.05
chr1_118174879_118175156,0.0502
chr1_118197244_118197521,0.095
chr1_118198788_118199247,0.0878
chr1_118201472_118201699,0.0366
chr1_118206889_118207267,0.1305
chr1_11942925_11943217,0.0311
chr1_11968510_11969143,0.1433
chr1_11990003_11990329,0.0793
chr1_120608824_120609208,0.0277
chr1_12112067_12112502,0.1107
chr1_12127865_12128182,0.067
chr1_12210430_12211346,0.0296
chr1_12213128_12213883,0.0344
chr1_12221931_12222397,0.2129
chr1_12227833_12229578,0.1259
chr1_12231693_12231881,0.035
chr1_12233600_12234159,0.0908
chr1_12235070_12235463,0.025
chr1_12238984_12239461,0.0506
chr1_12243852_12244671,0.0878
chr1_12509354_12509466,0.1158
chr1_12533412_12533678,0.0327
chr1_12579035_12579403,0.0325
chr1_12616547_12616769,0.0294
chr1_1368471_1368786,0.239
chr1_14027926_14028325,0.04
chr1_14029077_14029879,0.0894
chr1_144533627_144534178,0.0605
chr1_144536201_144536370,0.0309
chr1_144908312_144908601,0.0353
chr1_145058996_145059322,0.0866
chr1_145437595_145437817,0.0443
chr1_145454760_145454851,0.029
chr1_145455122_145455741,0.1148
chr1_147806841_147807184,0.0551
chr1_14843752_14844090,0.0341
chr1_149215297_149215704,0.0814
chr1_14926383_14926731,0.0689
chr1_150135231_150135764,0.1179
chr1_150185878_150186128,0.2438
chr1_150294873_150295138,0.0295
chr1_150585815_150586394,0.0668
chr1_15059594_15059681,0.0872
chr1_150949569_150950014,0.0364
chr1_151249767_151250096,0.0448
chr1_151284018_151284391,0.0332
chr1_151445792_151446161,0.0457
chr1_151809390_151809745,0.1944
chr1_151892722_151892912,0.0312
chr1_152006910_152007460,0.056
chr1_15240254_15240560,0.1077
chr1_153504746_153504953,0.0404
chr1_153541018_153541368,0.1208
chr1_153670755_153671012,0.046
chr1_153715466_153715694,0.0395
chr1_153762591_153763309,0.3328
chr1_153936554_153936861,0.1498
chr1_154154606_154155027,0.1492
chr1_15416988_15417263,0.0841
chr1_154299137_154299452,0.1861
chr1_154359135_154359469,0.0317
chr1_154392646_154393050,0.0683
chr1_154582047_154582244,0.0302
chr1_154699087_154699216,0.0337
chr1_154731745_154732111,0.0263
chr1_154910155_154910399,0.1286
chr1_154914634_154915296,0.0937
chr1_154972628_154972915,0.2242
chr1_154973036_154973200,0.2242
chr1_154973335_154973935,0.2242
chr1_154979104_154979305,0.0616
chr1_15519488_15519688,0.0399
chr1_15570270_15570435,0.0493
chr1_155830201_155830522,0.0764
chr1_155916072_155916212,0.2825
chr1_155945743_155946196,0.0545
chr1_155946363_155946660,0.0545
