name,H3k9ac_E,H3k79me2_E,H3k4me2_E,H3k4me3_E,DNaseI_E,H3k4me1_E,Pol2_E,H3k36me3_E,H3k27ac_E,H3k27me3_E,Ctcf_E,H4k20me1_E,DNaseI_P,H3k4me2_P,Pol2_P,H3k9ac_P,H3k4me3_P,H3k36me3_P,H3k4me1_P,H3k79me2_P,H3k27ac_P,H3k27me3_P,H4k20me1_P,Ctcf_P,corr,distance,css,label
chr1_1840449_1840835-chr1_1369853_1370953,11.403361,0.0,14.677473,7.615338,99.5,0.0,3.181755,0.0,10.929864,3.2633240000000003,13.062724000000001,0.0,17.0,8.730841,0.0,0.0,8.320497,0.0,7.764867500000001,0.0,0.0,0.0,0.0,0.0,0.02197802197802201,469496,0.0,1
chr1_2501788_2502413-chr1_935452_936552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.278893,0.0,0.0,78.5,8.973523,14.990341,16.221198,7.467632000000001,0.0,6.720539,0.0,11.43994,10.183063,0.0,0.0,-0.14835164835164827,1565236,0.02,1
chr1_1814762_1815124-chr1_2115728_2116828,0.0,14.197308999999999,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,4.124376,0.0,0.0,0.0,0.0,0.0,2.577835,0.0,0.0,0.0,0.0,0.0,0.0,0.478021978021978,300604,0.02,1
chr1_1136667_1137146-chr1_1845266_1846366,4.9459089999999994,0.0,10.892559,0.0,35.5,0.0,0.0,0.0,0.0,4.290325,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,0.0,0.0,3.2633240000000003,0.0,0.0,0.03296703296703296,708120,0.02,1
chr1_2162325_2162996-chr1_2424597_2425697,16.834481,13.419210999999999,14.866867000000001,14.740470000000002,20.0,7.8901520000000005,2.18966,2.424852,11.282338000000001,0.0,3.929321,3.5427730000000004,0.0,4.71465,2.9180200000000003,0.0,0.0,3.539962,9.250845,7.487503,0.0,0.0,3.480511,0.0,-0.3791208791208791,261601,0.48,1
chr1_1014834_1015095-chr1_1369853_1370953,10.00079,0.0,8.211755,10.066728999999999,153.0,6.6896710000000015,5.508389,0.0,6.700595,3.156103,0.0,2.529923,17.0,8.730841,0.0,0.0,8.320497,0.0,7.764867500000001,0.0,0.0,0.0,0.0,0.0,0.0494505494505495,354758,0.46,1
chr1_2509702_2510198-chr1_745441_746541,0.0,0.0,0.0,0.0,29.0,4.424112,0.0,0.0,0.0,2.278893,20.449069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2802197802197801,1763161,0.0,1
chr1_1814762_1815124-chr1_564290_565390,0.0,14.197308999999999,0.0,0.0,0.0,0.0,3.181755,0.0,0.0,0.0,0.0,4.124376,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,1249372,0.0,1
chr1_1840449_1840835-chr1_3568084_3569184,11.403361,0.0,14.677473,7.615338,99.5,0.0,3.181755,0.0,10.929864,3.2633240000000003,13.062724000000001,0.0,13.0,7.9131240000000025,0.0,0.0,0.0,2.530919,0.0,0.0,0.0,7.933571500000001,1.339545,0.0,-0.10989010989010994,1727249,0.02,1
chr1_2509702_2510198-chr1_1384069_1385169,0.0,0.0,0.0,0.0,29.0,4.424112,0.0,0.0,0.0,2.278893,20.449069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.46153846153846145,1124533,0.02,1
