name_E,Smc3_E
chr10_3800307_3800531,2.92277
chr10_3846443_3847038,4.16977
chr10_3848037_3849536,2.12376
chr10_3852273_3852886,3.01812
chr10_3853393_3854169,5.22368
chr10_3870489_3871262,2.57556
chr10_3893365_3894190,1.91535
chr10_3909715_3910075,66.46513
chr10_3917358_3918120,3.3908099999999997
chr10_3928866_3929216,3.91776
chr10_3929991_3930887,3.77265
chr10_3944367_3944901,2.5600099999999997
chr10_4173688_4174411,2.2490799999999997
chr10_4891874_4892173,20.81145
chr10_5336164_5336286,3.62755
chr10_556579_556951,12.82704
chr10_557102_557353,12.82704
chr10_5883027_5883237,4.56035
chr10_5888274_5888577,11.317969999999999
chr10_990446_990769,145.53758
chr1_100512510_100512716,2.56818
chr1_100918231_100918546,4.03571
chr1_101577594_101578108,2.75162
chr1_101774729_101775525,5.84392
chr1_10269964_10270260,7.82247
chr1_108479405_108480123,2.54525
chr1_109100040_109100237,5.50325
chr1_109104473_109104583,22.06803
chr1_10927237_10927380,10.318589999999999
chr1_110333273_110333688,3.4395300000000004
chr1_110358971_110359415,2.93506
chr1_110448900_110449220,5.6866900000000005
chr1_111177471_111177854,3.17965
chr1_111329904_111330079,3.23315
chr1_111735402_111735659,1.85276
chr1_111735691_111736003,1.85276
chr1_111757482_111757860,2.7286900000000003
chr1_111758440_111759106,2.9497400000000003
chr1_111764327_111764759,6.77685
chr1_112048437_112048734,1.6721400000000002
chr1_112050044_112050594,6.2737
chr1_112058803_112059167,4.88504
chr1_112135698_112135869,3.12506
chr1_112163412_112163797,2.42643
chr1_112163826_112164071,2.42643
chr1_112901525_112901779,8.25487
chr1_113584893_113585079,7.53945
chr1_1136667_1137146,26.00285
chr1_114326143_114326379,2.27009
chr1_116920378_116921129,2.04078
chr1_117081238_117081452,2.40767
chr1_117280613_117280924,8.58507
chr1_117281390_117281752,2.50147
chr1_117421623_117422020,2.90886
chr1_118185712_118185829,4.95292
chr1_12112067_12112502,5.91599
chr1_12124472_12125118,1.96544
chr1_12127865_12128182,2.37063
chr1_12213128_12213883,2.54525
chr1_12221931_12222397,3.1054
chr1_12227833_12229578,6.6039
chr1_12243852_12244671,5.866619999999999
chr1_14029077_14029879,1.74269
chr1_142538903_142539547,1.44555
chr1_144533627_144534178,1.67849
chr1_145058996_145059322,4.5727
