name_P,H3k79me2_P
chr1_1166629_1167729,9.125497
chr1_1167311_1168411,9.125497
chr1_1209165_1210265,9.059591000000001
chr1_1209603_1210703,9.059591000000001
chr1_1242947_1244047,4.913233
chr1_1244889_1245989,4.913233
chr1_1253969_1255069,4.913233
chr1_1259136_1260236,4.913233
chr1_1259971_1261071,4.913233
chr1_1265694_1266794,4.913233
chr1_1284630_1285730,10.005009
chr1_1310775_1311875,6.442299
chr1_1333902_1335002,11.258443
chr1_1334608_1335708,11.258443
chr1_1341032_1342132,7.126361
chr1_1342593_1343693,7.126361
chr1_1343476_1344576,7.126361
chr1_1406143_1407243,4.8687135
chr1_1446531_1447631,8.371283
chr1_1499804_1500904,12.521251
chr1_1509355_1510455,12.521251
chr1_1510149_1511249,12.521251
chr1_1549795_1550895,9.780519
chr1_1551075_1552175,6.322367
chr1_1711796_1712896,6.202486
chr1_1821910_1823010,6.202486
chr1_1822395_1823495,6.202486
chr1_2159134_2160234,7.546384
chr1_2322267_2323367,8.486772
chr1_2323046_2324146,8.486772
chr1_2345136_2346236,7.529001
chr1_2457939_2459039,14.479525
chr1_3540566_3541666,4.1405465
chr1_3541207_3542307,5.6278685
chr1_713906_715006,4.003657
chr1_761988_763088,7.094944
chr1_894589_895689,17.848206
chr1_935452_936552,6.818239
chr1_948473_949573,8.601987
