name_P,H3k4me3_P
chr1_1051641_1052741,13.442257999999999
chr1_1166629_1167729,59.892853
chr1_1167311_1168411,33.419962500000004
chr1_1209165_1210265,20.3889
chr1_1209603_1210703,20.3889
chr1_1242947_1244047,13.907986
chr1_1244889_1245989,13.907986
chr1_1259136_1260236,13.705770000000001
chr1_1259971_1261071,13.705770000000001
chr1_1284630_1285730,10.103404
chr1_1310775_1311875,16.714439000000002
chr1_1333902_1335002,30.339009000000004
chr1_1334608_1335708,30.339009000000004
chr1_1341032_1342132,23.092319
chr1_1342593_1343693,23.092319
chr1_1343476_1344576,23.092319
chr1_1369853_1370953,5.093225
chr1_1406143_1407243,19.527251
chr1_1446531_1447631,15.745107999999998
chr1_1475733_1476833,12.9998985
chr1_1509355_1510455,37.791971000000004
chr1_1510149_1511249,37.791971000000004
chr1_1549795_1550895,17.698294
chr1_1551075_1552175,17.698294
chr1_1589786_1590886,13.525449333333333
chr1_1590373_1591473,12.9879675
chr1_1624067_1625167,10.108798
chr1_1654951_1656051,18.3321195
chr1_1655666_1656766,18.543485
chr1_1677331_1678431,11.542218
chr1_1821910_1823010,22.141661
chr1_1822395_1823495,22.141661
chr1_1850612_1851712,7.676664
chr1_1980909_1982009,12.885494
chr1_1981409_1982509,12.885494
chr1_2120237_2121337,9.680522
chr1_2142962_2144062,9.130525
chr1_2143913_2145013,9.130525
chr1_2144059_2145159,9.130525
chr1_2159134_2160234,19.256972
chr1_2322267_2323367,20.72053
chr1_2323046_2324146,20.72053
chr1_2345136_2346236,13.394743
chr1_2457939_2459039,19.022627
chr1_2476904_2478004,7.8244940000000005
chr1_2486078_2487178,4.978242
chr1_2488370_2489470,15.239985999999998
chr1_2511999_2513099,5.3482815
chr1_2516930_2518030,8.06951
chr1_3369990_3371090,6.9658809999999995
chr1_3527959_3529059,11.4239045
chr1_3540566_3541666,14.250978
chr1_3541207_3542307,14.250978
chr1_713150_714250,13.293557999999999
chr1_713906_715006,13.293557999999999
chr1_761988_763088,13.398232
chr1_762802_763902,13.398232
chr1_839214_840314,9.348133
chr1_859260_860360,5.362286
chr1_894589_895689,15.577739999999999
chr1_894967_896067,15.577739999999999
chr1_900877_901977,15.00354
chr1_933331_934431,8.739606
chr1_935452_936552,8.739606
chr1_947803_948903,17.135617
chr1_948473_949573,17.135617
chr1_954503_955603,12.21695
chr1_994114_995214,11.020957000000001
chr1_998568_999668,4.506337
