name_P,DNaseI_P
chr1_1009587_1010687,43.0
chr1_1051641_1052741,171.0
chr1_1071397_1072497,29.5
chr1_1101484_1102584,39.0
chr1_1103385_1104485,29.5
chr1_1103737_1104837,29.5
chr1_1141971_1143071,56.0
chr1_1149418_1150518,38.0
chr1_1166629_1167729,403.3333333333333
chr1_1167311_1168411,1040.0
chr1_1182002_1183102,51.5
chr1_1209165_1210265,233.5
chr1_1209603_1210703,34.0
chr1_1242947_1244047,477.5
chr1_1259136_1260236,198.0
chr1_1259971_1261071,209.0
chr1_1265694_1266794,40.0
chr1_1284630_1285730,178.25
chr1_1297057_1298157,39.0
chr1_1333902_1335002,252.0
chr1_1334608_1335708,191.66666666666666
chr1_1342593_1343693,131.0
chr1_1354625_1355725,47.5
chr1_1357049_1358149,34.0
chr1_1360508_1361608,36.0
chr1_1369241_1370341,65.0
chr1_1369853_1370953,67.0
chr1_1406143_1407243,253.0
chr1_1446531_1447631,223.33333333333334
chr1_1475733_1476833,38.25
chr1_1509355_1510455,125.66666666666667
chr1_1510149_1511249,206.0
chr1_1535376_1536476,71.5
chr1_1549795_1550895,319.5
chr1_1551075_1552175,261.0
chr1_1566474_1567574,60.666666666666664
chr1_1589786_1590886,184.0
chr1_1590373_1591473,184.0
chr1_1624067_1625167,245.0
chr1_1654951_1656051,147.0
chr1_1655666_1656766,196.0
chr1_1677331_1678431,144.0
chr1_1711796_1712896,19.5
chr1_1821910_1823010,239.75
chr1_1822395_1823495,386.0
chr1_1850612_1851712,792.0
chr1_1935176_1936276,36.0
chr1_1949780_1950880,142.0
chr1_1980909_1982009,165.33333333333334
chr1_1981409_1982509,235.0
chr1_2120237_2121337,336.0
chr1_2142962_2144062,127.0
chr1_2143913_2145013,84.75
chr1_2144059_2145159,84.75
chr1_2159134_2160234,705.0
chr1_2257581_2258681,25.0
chr1_2258032_2259132,25.0
chr1_2283196_2284296,80.0
chr1_2284159_2285259,42.75
chr1_2306692_2307792,30.0
chr1_2315811_2316911,23.0
chr1_2322267_2323367,255.5
chr1_2323046_2324146,436.0
chr1_2345136_2346236,85.0
chr1_2425818_2426918,184.0
chr1_2457939_2459039,105.66666666666667
chr1_2461584_2462684,61.0
chr1_2476904_2478004,153.0
chr1_2486078_2487178,63.0
chr1_2488370_2489470,41.5
chr1_2496849_2497949,34.0
chr1_2516930_2518030,281.5
chr1_2563007_2564107,29.0
chr1_2564381_2565481,20.0
chr1_2718186_2719286,67.0
chr1_2729157_2730257,18.0
chr1_2731463_2732563,25.5
chr1_2937046_2938146,19.0
chr1_2978859_2979959,23.0
chr1_2984732_2985832,41.0
chr1_2984901_2986001,41.0
chr1_3226560_3227660,18.0
chr1_3369990_3371090,170.0
chr1_3527959_3529059,37.5
chr1_3540566_3541666,209.0
chr1_3541207_3542307,293.5
chr1_3568084_3569184,38.333333333333336
chr1_3585236_3586336,67.0
chr1_564020_565120,82.0
chr1_564290_565390,82.0
chr1_565454_566554,106.0
chr1_567137_568237,579.3333333333334
chr1_567915_569015,90.5
chr1_568076_569176,90.5
chr1_568756_569856,38041.0
chr1_713150_714250,231.0
chr1_713906_715006,133.0
chr1_751751_752851,15.0
chr1_752992_754092,34.0
chr1_761988_763088,126.0
chr1_762802_763902,126.0
chr1_812183_813283,8.0
chr1_839214_840314,198.5
chr1_845815_846915,42.0
chr1_856296_857396,201.0
chr1_859260_860360,101.66666666666667
chr1_894589_895689,432.0
chr1_894967_896067,324.0
chr1_900877_901977,279.0
chr1_917397_918497,38.0
chr1_933331_934431,38.5
chr1_935452_936552,151.5
chr1_947803_948903,99.0
chr1_948473_949573,71.0
chr1_954503_955603,360.5
chr1_994114_995214,173.5
chr1_998568_999668,236.0
