name_E,DNaseI_E
chr1_1005293_1005547,0.5019
chr1_1014834_1015095,0.2122
chr1_1060905_1061095,0.0369
chr1_1063914_1064111,0.0298
chr1_1093610_1093958,0.5457
chr1_1136075_1136463,0.306
chr1_1136667_1137146,0.306
chr1_1143531_1144198,0.2484
chr1_1173386_1173736,0.0893
chr1_1368471_1368786,0.4913
chr1_1714020_1714715,0.1271
chr1_1814762_1815124,0.0688
chr1_1840449_1840835,0.5564
chr1_1952050_1952360,0.1249
chr1_1978731_1978937,0.0269
chr1_2162325_2162996,0.0451
chr1_2171824_2171946,0.0315
chr1_2221868_2222548,0.0786
chr1_2246556_2246763,0.4334
chr1_2254081_2254230,0.0374
chr1_2406489_2406881,0.0943
chr1_2478276_2478817,0.5955
chr1_2509702_2510198,0.1356
chr1_2574343_2574764,0.5356
chr1_3077832_3078221,0.0276
chr1_3086923_3087330,0.0521
chr1_3133891_3134283,0.0261
chr1_3229711_3230157,0.1687
chr1_3309990_3310261,0.0283
chr1_3374928_3375314,0.0258
chr1_3420761_3421065,0.0266
chr1_3459907_3460197,0.051
chr1_3463934_3464260,0.0405
chr1_3620035_3620325,0.0498
chr1_3634737_3634863,0.2995
chr1_3817648_3818071,0.3205
chr1_6053603_6054107,0.6675
chr1_6221566_6221669,0.1493
chr1_6321567_6321961,0.3018
chr1_6336471_6336830,0.102
chr1_6373523_6373899,0.0405
chr1_6566323_6566594,0.0277
chr1_6661008_6661639,0.1536
chr1_7531062_7531540,0.0246
chr1_858256_858648,0.12125
chr1_941791_942135,0.0269
chr1_956563_956812,0.4513
