name_P,H3k4me1_P
chr1_1051641_1052741,3.69271
chr1_1108264_1109364,2.7438599999999997
chr1_1167311_1168411,2.04557
chr1_1182002_1183102,2.33733
chr1_1186614_1187714,2.6534299999999997
chr1_1209165_1210265,2.24722
chr1_1209603_1210703,2.24722
chr1_1244889_1245989,1.8666599999999998
chr1_1253969_1255069,2.58177
chr1_1259136_1260236,2.3801400000000004
chr1_1259971_1261071,2.42767
chr1_1265694_1266794,3.04602
chr1_1297057_1298157,2.59937
chr1_1310775_1311875,3.46539
chr1_1334608_1335708,2.86911
chr1_1341032_1342132,2.87089
chr1_1343476_1344576,2.49591
chr1_1357049_1358149,4.2368
chr1_1369241_1370341,1.8667099999999999
chr1_1369853_1370953,2.20723
chr1_1406143_1407243,3.8083400000000003
chr1_1446531_1447631,4.9486
chr1_1475733_1476833,3.2385
chr1_1499804_1500904,2.59693
chr1_1510149_1511249,2.89966
chr1_1535376_1536476,3.26228
chr1_1549795_1550895,2.56527
chr1_1551075_1552175,3.26918
chr1_1566474_1567574,4.32543
chr1_1711796_1712896,2.45388
chr1_1822395_1823495,3.54339
chr1_1850612_1851712,3.56886
chr1_1935176_1936276,2.96374
chr1_1949780_1950880,3.0834200000000003
chr1_1980909_1982009,2.70483
chr1_1981409_1982509,2.70483
chr1_2120237_2121337,2.33402
chr1_2142962_2144062,2.72304
chr1_2143913_2145013,2.72304
chr1_2144059_2145159,2.72304
chr1_2145520_2146620,2.72304
chr1_2323046_2324146,3.07065
chr1_2345136_2346236,3.3071599999999997
chr1_2457939_2459039,2.56872
chr1_2476904_2478004,2.3845400000000003
chr1_2486078_2487178,3.707
chr1_2488370_2489470,3.707
chr1_2516930_2518030,2.85736
chr1_267153_268253,4.71305
chr1_2984732_2985832,3.54891
chr1_2984901_2986001,3.54891
chr1_316720_317820,3.9518
chr1_3369990_3371090,3.5041
chr1_3568084_3569184,2.74093
chr1_3585236_3586336,4.09848
chr1_713150_714250,3.63694
chr1_752992_754092,3.45134
chr1_845815_846915,2.6745799999999997
chr1_856296_857396,2.6362400000000004
chr1_894589_895689,2.36058
chr1_894967_896067,2.36058
chr1_900877_901977,3.0973900000000003
chr1_933331_934431,2.3734599999999997
chr1_935452_936552,2.15898
chr1_947803_948903,3.23537
chr1_948473_949573,3.23537
chr1_954503_955603,3.10508
chr1_994114_995214,2.52785
chr1_998568_999668,3.19117
