name_E,DNaseI_E
chr10_1100843_1101035,46.0
chr10_2159978_2160127,22.0
chr10_2256285_2256680,26.0
chr10_3028046_3028193,37.0
chr10_3137708_3138098,58.5
chr10_3497590_3497951,49.0
chr10_3507725_3507898,9.0
chr10_3509617_3509911,145.5
chr10_3510310_3510716,37.0
chr10_3511181_3511689,26.5
chr10_3524547_3524820,42.0
chr10_3528683_3528786,63.0
chr10_3542742_3543014,18.0
chr10_3568141_3568290,93.0
chr10_3710838_3711066,37.0
chr10_3762746_3763172,36.0
chr10_3782727_3783283,81.0
chr10_3797195_3797502,39.0
chr10_3800307_3800531,30.0
chr10_3845250_3845852,11.0
chr10_3848037_3849536,52.5
chr10_3852273_3852886,106.0
chr10_3853393_3854169,28.0
chr10_3867491_3867713,35.0
chr10_3870489_3871262,25.0
chr10_3893365_3894190,16.0
chr10_3928866_3929216,35.0
chr10_3929991_3930887,89.0
chr10_3932191_3932411,9.0
chr10_3984866_3985563,42.0
chr10_4173688_4174411,25.0
chr10_4289203_4289519,14.0
chr10_4386754_4387085,87.0
chr10_4396174_4396330,43.0
chr10_4705159_4705783,36.5
chr10_4712833_4713220,28.0
chr10_4728868_4729211,73.0
chr10_4813646_4813900,17.0
chr10_4855217_4855416,39.0
chr10_4891874_4892173,50.0
chr10_4989909_4990226,33.0
chr10_500969_501047,55.0
chr10_5113786_5114179,19.0
chr10_5333644_5334212,60.0
chr10_5336164_5336286,15.0
chr10_5359534_5359986,70.0
chr10_556579_556951,16.0
chr10_557102_557353,61.0
chr10_5588881_5589169,23.0
chr10_5590010_5590295,18.0
chr10_5590959_5591270,56.0
chr10_5593718_5593999,70.0
chr10_5607602_5608000,136.0
chr10_5638863_5639270,56.0
chr10_593455_593774,19.0
chr10_830904_831008,39.0
chr10_990446_990769,41.0
chr1_100113534_100114036,20.0
chr1_1005293_1005547,29.0
chr1_100678369_100678762,9.0
chr1_100820585_100820838,29.0
chr1_1014834_1015095,153.0
chr1_101725356_101725679,42.0
chr1_101774729_101775525,23.0
