name_E,H3k4me3_E
chr10_1100843_1101035,20.119845
chr10_3028046_3028193,3.746487
chr10_3094057_3094288,13.293322
chr10_3137708_3138098,10.577793
chr10_3216614_3216797,12.782423
chr10_3598970_3599136,5.518481
chr10_3710838_3711066,9.477646
chr10_3751135_3751444,9.065574
chr10_3782727_3783283,8.053965
chr10_3807382_3807563,13.17497
chr10_3845250_3845852,9.179607
chr10_3845999_3846426,9.179607
chr10_3846443_3847038,9.179607
chr10_3848037_3849536,9.179607
chr10_3850308_3850795,9.90039
chr10_3852273_3852886,9.90039
chr10_3853393_3854169,9.90039
chr10_3870489_3871262,17.133544
chr10_3878027_3878387,12.765809
chr10_3893365_3894190,8.686777
chr10_3928866_3929216,2.426467
chr10_3929991_3930887,2.426467
chr10_3932191_3932411,2.426467
chr10_3936015_3936390,2.426467
chr10_3938329_3938538,2.426467
chr10_4705159_4705783,5.532845
chr10_4891874_4892173,8.483607
chr10_5113786_5114179,8.605256
chr10_5333644_5334212,3.5875325
chr10_5334474_5334640,3.5875325
chr10_5336164_5336286,1.762757
chr10_5577499_5577735,2.836954
chr10_5587810_5588190,2.836954
chr10_5588881_5589169,2.836954
chr10_5590010_5590295,6.052505
chr10_5590959_5591270,6.052505
chr10_5593718_5593999,2.836954
chr10_5596279_5596669,2.836954
chr1_100113534_100114036,9.670508
chr1_1005293_1005547,6.659984
chr1_100820585_100820838,10.859722999999999
chr1_100827551_100827774,9.6427605
chr1_100828525_100828922,9.6427605
chr1_100905821_100906168,3.142824
chr1_10127211_10127315,7.122415
chr1_1014834_1015095,8.743612
chr1_101725356_101725679,1.8312
chr1_10269964_10270260,16.612959
chr1_103126263_103126396,8.825083
chr1_108622242_108622251,10.198863
chr1_108741685_108742156,18.371418
chr1_109100040_109100237,4.270969
chr1_109104473_109104583,13.033224500000001
chr1_109127044_109127234,4.46453
chr1_10927237_10927380,7.086219
chr1_1093610_1093958,16.408805
chr1_109841804_109842152,4.34396
chr1_109913179_109913623,4.632536
chr1_109933790_109934137,12.990334
chr1_109938897_109939079,12.990334
chr1_110334849_110335164,6.264874
chr1_110335775_110336041,5.307469
chr1_110336950_110337403,5.307469
chr1_110339466_110339959,4.250145
chr1_110358971_110359415,2.685031
chr1_110363861_110364229,2.685031
chr1_110364881_110365302,6.1652475
chr1_110366477_110366702,6.013698
chr1_110406868_110407271,10.513114
chr1_110451717_110451917,7.033284
chr1_110454846_110455290,7.033284
chr1_110879130_110879445,8.744758
chr1_110963862_110964269,4.280935
chr1_110976504_110976901,4.865836
chr1_111417124_111417532,8.158637
chr1_111981832_111982198,5.70958
chr1_112013331_112014031,5.70958
chr1_112050044_112050594,14.022876
chr1_112135698_112135869,5.721567
chr1_112163412_112163797,15.319397
chr1_112163826_112164071,15.319397
chr1_113584893_113585079,5.320709
chr1_1136075_1136463,7.490245
chr1_1136667_1137146,7.490245
