name_P,H3k27me3_P,Ctcf_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k9ac_P,H3k4me1_P,H4k20me1_P,H3k4me2_P,H3k4me3_P,DNaseI_P
chr1_1071397_1072497,3.371725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1101484_1102584,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
chr1_1102243_1103343,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1103385_1104485,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1103737_1104837,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1108264_1109364,6.252715499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1114835_1115935,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1141971_1143071,7.292947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
chr1_1182002_1183102,5.233286,0.0,0.0,0.0,2.959582,0.0,0.0,0.0,0.0,0.0,38.5
chr1_1514136_1515236,3.547933,0.0,0.0,0.0,0.0,0.0,0.0,2.15271,0.0,0.0,0.0
chr1_1535376_1536476,6.082221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.631297,0.0,22.0
chr1_1566474_1567574,8.5733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.666666666666664
chr1_1935176_1936276,7.580267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
chr1_1949780_1950880,9.5429985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5
chr1_1980909_1982009,7.686528,11.006979,0.0,0.0,0.0,0.0,0.0,0.0,12.222962,12.885494,0.0
chr1_1981409_1982509,7.686528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.222962,12.885494,21.0
chr1_2461584_2462684,7.19445,0.0,0.0,0.0,2.6318490000000003,0.0,3.252081,0.0,0.0,0.0,31.0
chr1_2563007_2564107,2.202734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2564381_2565481,2.202734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2978859_2979959,9.317907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2984732_2985832,9.317907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5
chr1_2984901_2986001,9.317907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
chr1_3369990_3371090,1.653617,39.577476,0.0,0.0,0.0,0.0,0.0,0.0,4.805219,6.965881,90.0
chr1_3477254_3478354,2.011009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_3568084_3569184,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,20.0
chr1_3569225_3570325,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,0.0
chr1_807672_808772,3.241933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_812183_813283,3.241933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_817043_818143,3.241933,0.0,0.0,0.0,0.0,0.0,0.0,1.626325,0.0,0.0,0.0
chr1_839214_840314,3.241933,45.81045200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.348133,121.0
chr1_845815_846915,6.1043555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_848551_849651,3.241933,14.545835999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_856296_857396,3.241933,13.909782,0.0,0.0,0.0,0.0,4.646876,0.0,0.0,0.0,118.0
chr1_859260_860360,6.4073585,0.0,0.0,0.0,0.0,0.0,6.673587,0.0,7.832083999999999,5.362286,68.5
chr1_866345_867445,3.241933,14.554054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
chr1_917397_918497,2.317235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_933331_934431,4.516121,0.0,13.031218,0.0,0.0,21.078845,4.400503,0.0,0.0,8.739606,58.0
chr1_935452_936552,4.516121,0.0,13.031218,0.0,0.0,21.078845,4.400503,0.0,10.505711,8.739606,138.66666666666666
chr1_943509_944609,2.317235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_994114_995214,5.356684,15.313726,0.0,0.0,0.0,5.866185,4.283682,0.0,12.153205,11.020957,108.66666666666669
chr1_1166629_1167729,0.0,14.985470000000001,13.106978,9.514376,2.525193,40.498191,12.040264,0.0,13.250689,59.892853,173.33333333333337
chr1_1284630_1285730,0.0,16.954117999999998,5.126379,6.25381,2.217135,7.2372130000000015,5.8732989999999985,0.0,9.9012915,10.103404,102.33333333333331
chr1_1310775_1311875,0.0,14.506131,11.941388,0.0,3.38975,25.804905,9.716036,0.0,13.208575666666665,16.714439000000002,427.0
chr1_1333902_1335002,0.0,29.239653000000004,8.443188000000001,9.943745,4.804345,23.931088,7.686486,2.062367,13.834271,30.339009000000004,134.5
chr1_1334608_1335708,0.0,29.239653000000004,8.443188000000001,9.943745,3.38975,23.931088,7.686486,2.062367,13.834271,30.339009000000004,139.5
chr1_1342593_1343693,0.0,13.107781999999998,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,119.0
chr1_1343476_1344576,0.0,12.476537,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,0.0
chr1_1354625_1355725,0.0,12.773889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0
chr1_1406143_1407243,0.0,5.007924,6.7890869999999985,7.1883339999999984,0.0,12.352769,10.834506,0.0,20.17432,19.527251,114.66666666666669
chr1_1509355_1510455,0.0,17.98302,28.637201,15.228657,2.466664,48.749852,11.232143,2.15271,15.907195000000002,37.791971,105.33333333333331
chr1_1589786_1590886,0.0,10.574139,30.804252,0.0,0.0,44.529469,0.0,0.0,4.364318,13.525449333333333,144.5
chr1_1590373_1591473,0.0,17.336752666666666,21.5981905,0.0,0.0,32.033013000000004,0.0,0.0,3.715801,12.9879675,258.0
chr1_1602429_1603529,0.0,2.066296,0.0,0.0,3.880584,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1603714_1604814,0.0,2.066296,0.0,0.0,3.880584,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1654951_1656051,0.0,13.755534,10.413135,6.233462,0.0,22.538257,0.0,0.0,10.410397,18.3321195,271.0
chr1_1655666_1656766,0.0,13.755534,10.413135,0.0,0.0,17.884335500000006,0.0,0.0,11.150772,18.543485,271.0
chr1_1711796_1712896,0.0,2.013776,0.0,16.996735,3.613637,0.0,6.3073739999999985,3.621084,0.0,0.0,0.0
chr1_2076618_2077718,0.0,3.476474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_2120237_2121337,0.0,5.970375,10.539631,4.522737,1.973312,17.889543,7.389042,0.0,7.300986,9.680522,248.0
chr1_2142962_2144062,0.0,17.278075,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,9.130525,141.5
chr1_2143913_2145013,0.0,17.278075,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,9.130525,124.33333333333331
chr1_2144059_2145159,0.0,17.278075,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,9.130525,124.33333333333331
chr1_2159134_2160234,0.0,2.2124040000000003,14.030707,19.443424,2.420665,18.941778,7.221774000000001,2.764168,15.848273,19.256972,158.25
chr1_2345136_2346236,0.0,33.031772,6.6948820000000016,3.4180010000000003,3.311289,18.205854,7.1699,0.0,12.648513000000001,13.394743,53.33333333333334
chr1_2486078_2487178,0.0,26.112831,8.618652,2.659418,0.0,9.020165,8.888785,0.0,7.7602,4.978242,46.33333333333334
chr1_2488370_2489470,0.0,10.213805,8.618652,2.659418,0.0,9.020165,8.888785,0.0,7.7602,15.239985999999998,0.0
