name_P,H3k79me2_P
chr1_1051641_1052741,6.699783
chr1_1166629_1167729,14.703578
chr1_1167311_1168411,14.703578
chr1_1209165_1210265,13.178379999999999
chr1_1209603_1210703,13.178379999999999
chr1_1242947_1244047,6.008417
chr1_1244889_1245989,6.008417
chr1_1253969_1255069,6.008417
chr1_1259136_1260236,6.008417
chr1_1259971_1261071,6.008417
chr1_1265694_1266794,6.008417
chr1_1284630_1285730,13.2530335
chr1_1310775_1311875,9.067246
chr1_1333902_1335002,15.306453
chr1_1334608_1335708,15.306453
chr1_1341032_1342132,15.306453
chr1_1342593_1343693,15.306453
chr1_1343476_1344576,15.306453
chr1_1369853_1370953,9.031344
chr1_137865_138965,13.205832999999998
chr1_139279_140379,13.445920000000001
chr1_1406143_1407243,11.478022
chr1_1446531_1447631,7.007407000000001
chr1_1475733_1476833,8.322797999999999
chr1_1499804_1500904,8.322797999999999
chr1_1509355_1510455,8.322797999999999
chr1_1510149_1511249,8.322797999999999
chr1_1514136_1515236,8.322797999999999
chr1_1549795_1550895,5.44957
chr1_1551075_1552175,5.44957
chr1_1589786_1590886,3.041938
chr1_1654951_1656051,6.2262355
chr1_1711796_1712896,8.357634
chr1_1821910_1823010,6.830738
chr1_1822395_1823495,6.830738
chr1_2120237_2121337,7.854182
chr1_2159134_2160234,8.529383000000001
chr1_2322267_2323367,8.240976
chr1_2323046_2324146,8.240976
chr1_2345136_2346236,5.482486
chr1_2457939_2459039,19.885870999999998
chr1_2476904_2478004,3.574066
chr1_2516930_2518030,4.469558
chr1_568756_569856,13.697539
chr1_713150_714250,11.782717666666665
chr1_713906_715006,9.600655999999999
chr1_761988_763088,8.286361
chr1_762802_763902,8.286361
chr1_894589_895689,11.113760000000001
chr1_894967_896067,11.113760000000001
chr1_935452_936552,5.337648499999999
chr1_947803_948903,2.895963
chr1_948473_949573,2.895963
chr1_954503_955603,4.3151980000000005
chr1_998568_999668,2.800072
