name_P,Pol2_P
chr1_1009587_1010687,12.528746
chr1_1166629_1167729,2.0876349999999997
chr1_1167311_1168411,2.0876349999999997
chr1_1186614_1187714,2.28169
chr1_1209165_1210265,2.28169
chr1_1209603_1210703,2.28169
chr1_1214816_1215916,2.28169
chr1_1242947_1244047,3.1760330000000003
chr1_1244889_1245989,3.1760330000000003
chr1_1253969_1255069,3.1760330000000003
chr1_1259136_1260236,3.1760330000000003
chr1_1259971_1261071,3.1760330000000003
chr1_1265694_1266794,3.1760330000000003
chr1_1284630_1285730,3.1760330000000003
chr1_1310775_1311875,4.431954
chr1_1333902_1335002,5.225026
chr1_1334608_1335708,5.225026
chr1_1341032_1342132,3.073366
chr1_1342593_1343693,3.073366
chr1_1343476_1344576,3.073366
chr1_1406143_1407243,11.120286
chr1_1446531_1447631,10.912944333333334
chr1_1475733_1476833,2.3398220000000003
chr1_1499804_1500904,8.681627
chr1_1509355_1510455,9.990877000000001
chr1_1510149_1511249,6.737752
chr1_1514136_1515236,2.3398220000000003
chr1_1549795_1550895,10.089186
chr1_1551075_1552175,10.089186
chr1_1624067_1625167,19.388552999999998
chr1_1654951_1656051,17.138682
chr1_1655666_1656766,17.138682
chr1_1677331_1678431,12.963076
chr1_1711796_1712896,3.181755
chr1_1821910_1823010,3.181755
chr1_1822395_1823495,3.181755
chr1_1845266_1846366,3.181755
chr1_2159134_2160234,2.18966
chr1_2323046_2324146,3.9342669999999997
chr1_2345136_2346236,2.342038
chr1_2424597_2425697,2.9180200000000003
chr1_2425818_2426918,2.9180200000000003
chr1_2457939_2459039,8.504159999999999
chr1_2461584_2462684,2.9180200000000003
chr1_3369990_3371090,1.631625
chr1_567137_568237,22.52941
chr1_567915_569015,10.687028
chr1_568076_569176,10.687028
chr1_568756_569856,12.388261
chr1_713150_714250,14.58346
chr1_713906_715006,14.58346
chr1_900877_901977,5.491783
chr1_933331_934431,4.322431
chr1_935452_936552,14.990341
chr1_947803_948903,5.772869
chr1_948473_949573,5.772869
chr1_954503_955603,2.432777
chr1_989413_990513,2.432777
chr1_994114_995214,2.432777
