name_P,DNaseI_P
chr1_1051641_1052741,203.0
chr1_1101484_1102584,22.0
chr1_1141971_1143071,25.0
chr1_1166629_1167729,173.33333333333334
chr1_1167311_1168411,237.0
chr1_1182002_1183102,38.5
chr1_1209165_1210265,101.0
chr1_1209603_1210703,27.0
chr1_1242947_1244047,148.0
chr1_1259136_1260236,131.0
chr1_1259971_1261071,98.33333333333333
chr1_1284630_1285730,102.33333333333333
chr1_1310775_1311875,427.0
chr1_1333902_1335002,134.5
chr1_1334608_1335708,139.5
chr1_1341032_1342132,27.0
chr1_1342593_1343693,119.0
chr1_1354625_1355725,83.0
chr1_1357049_1358149,21.0
chr1_1369241_1370341,38.666666666666664
chr1_1369853_1370953,32.5
chr1_1406143_1407243,114.66666666666667
chr1_1446531_1447631,199.0
chr1_1475733_1476833,195.0
chr1_1509355_1510455,105.33333333333333
chr1_1510149_1511249,115.5
chr1_1535376_1536476,22.0
chr1_1549795_1550895,358.0
chr1_1551075_1552175,150.0
chr1_1566474_1567574,32.666666666666664
chr1_1589786_1590886,144.5
chr1_1590373_1591473,258.0
chr1_1624067_1625167,112.33333333333333
chr1_1654951_1656051,271.0
chr1_1655666_1656766,271.0
chr1_1677331_1678431,91.33333333333333
chr1_1821910_1823010,104.75
chr1_1822395_1823495,144.33333333333334
chr1_1850612_1851712,335.0
chr1_1935176_1936276,59.0
chr1_1949780_1950880,64.5
chr1_1981409_1982509,21.0
chr1_2120237_2121337,248.0
chr1_2142962_2144062,141.5
chr1_2143913_2145013,124.33333333333333
chr1_2144059_2145159,124.33333333333333
chr1_2145520_2146620,45.0
chr1_2159134_2160234,158.25
chr1_2322267_2323367,224.5
chr1_2323046_2324146,146.66666666666666
chr1_2345136_2346236,53.333333333333336
chr1_2457939_2459039,110.0
chr1_2461584_2462684,31.0
chr1_2476904_2478004,210.0
chr1_2486078_2487178,46.333333333333336
chr1_2496849_2497949,21.0
chr1_2511999_2513099,46.0
chr1_2516930_2518030,157.66666666666666
chr1_2718186_2719286,18.0
chr1_2984732_2985832,23.5
chr1_2984901_2986001,31.0
chr1_3369990_3371090,90.0
chr1_3527959_3529059,65.66666666666667
chr1_3540566_3541666,186.5
chr1_3541207_3542307,199.5
chr1_3568084_3569184,20.0
chr1_565454_566554,50.5
chr1_567137_568237,75.0
chr1_568756_569856,9279.0
chr1_713150_714250,212.0
chr1_713906_715006,212.0
chr1_745441_746541,6.0
chr1_761988_763088,56.0
chr1_762802_763902,86.0
chr1_839214_840314,121.0
chr1_856296_857396,118.0
chr1_859260_860360,68.5
chr1_866345_867445,24.0
chr1_894589_895689,55.0
chr1_894967_896067,55.75
chr1_900877_901977,55.0
chr1_933331_934431,58.0
chr1_935452_936552,138.66666666666666
chr1_947803_948903,86.0
chr1_948473_949573,86.0
chr1_954503_955603,95.33333333333333
chr1_994114_995214,108.66666666666667
chr1_998568_999668,124.33333333333333
