name_P,H3k4me1_P
chr1_1009587_1010687,3.5716384999999997
chr1_1101484_1102584,10.025081
chr1_1141971_1143071,4.308917
chr1_1166629_1167729,5.26276
chr1_1186614_1187714,5.072369500000001
chr1_1209165_1210265,4.9570425
chr1_1209603_1210703,4.9570425
chr1_1214816_1215916,2.151698
chr1_1242947_1244047,10.764741
chr1_1244889_1245989,7.9496
chr1_1253969_1255069,10.77678
chr1_1259136_1260236,8.081820333333335
chr1_1259971_1261071,4.635566000000001
chr1_1265694_1266794,6.1531080000000005
chr1_1297057_1298157,8.266182
chr1_1310775_1311875,7.856258
chr1_1333902_1335002,6.373096
chr1_1334608_1335708,6.373096
chr1_1341032_1342132,8.349248
chr1_1343476_1344576,11.052294
chr1_1354625_1355725,8.432984
chr1_1357049_1358149,8.432984
chr1_1369241_1370341,7.764867500000001
chr1_1369853_1370953,7.764867500000001
chr1_1406143_1407243,4.97443
chr1_1446531_1447631,8.134872999999999
chr1_1510149_1511249,10.396705
chr1_1549795_1550895,8.537887
chr1_1551075_1552175,11.607004
chr1_1711796_1712896,5.8958639999999995
chr1_1822395_1823495,12.283392999999998
chr1_1850612_1851712,4.651484
chr1_1980909_1982009,4.377839
chr1_1981409_1982509,4.377839
chr1_2120237_2121337,3.6618910000000002
chr1_2142962_2144062,8.300421
chr1_2143913_2145013,8.300421
chr1_2144059_2145159,8.300421
chr1_2145520_2146620,8.300421
chr1_2323046_2324146,7.513431
chr1_2345136_2346236,8.78369
chr1_2424597_2425697,9.250845
chr1_2425818_2426918,9.250845
chr1_2457939_2459039,6.243059
chr1_2461584_2462684,6.243059
chr1_2476904_2478004,4.295566666666667
chr1_2486078_2487178,6.538361
chr1_2488370_2489470,4.118563
chr1_2516930_2518030,4.798566
chr1_3369990_3371090,7.577934
chr1_3540566_3541666,9.498448
chr1_3541207_3542307,10.320338000000001
chr1_751751_752851,11.453182
chr1_752992_754092,8.533977
chr1_845815_846915,8.884373
chr1_856296_857396,4.9228819999999995
chr1_894589_895689,1.9719229999999999
chr1_894967_896067,1.9719229999999999
chr1_900877_901977,3.352378
chr1_917397_918497,4.714708
chr1_933331_934431,3.3627019999999996
chr1_935452_936552,6.720539
chr1_947803_948903,7.940989999999999
chr1_948473_949573,7.694535999999999
chr1_989413_990513,2.10066
chr1_994114_995214,3.0571035
chr1_998568_999668,5.2103975
