name_E,Ctcf_E
chr10_3509617_3509911,2.45103
chr10_4386754_4387085,3.10166
chr10_4813646_4813900,4.56226
chr10_4891874_4892173,28.77275
chr10_5336164_5336286,26.24586
chr10_556579_556951,23.80059
chr10_557102_557353,23.80059
chr10_830904_831008,8.37064
chr1_101774729_101775525,27.15279
chr1_10269964_10270260,11.44986
chr1_10853986_10854555,15.88108
chr1_109104473_109104583,5.16785
chr1_10927237_10927380,22.618
chr1_110333273_110333688,6.9218
chr1_110334849_110335164,11.81479
chr1_110366477_110366702,3.3591
chr1_110420039_110420145,4.80388
chr1_110976504_110976901,5.11864
chr1_112050044_112050594,11.46168
chr1_112058803_112059167,6.91581
chr1_112901525_112901779,20.15465
chr1_115873164_115873576,5.19542
chr1_116088478_116088732,7.20084
chr1_11968510_11969143,2.76147
chr1_12243852_12244671,8.37111
chr1_12599928_12600179,5.27859
chr1_145058996_145059322,5.34822
chr1_148000699_148000802,7.518
chr1_150135231_150135764,3.46574
chr1_150592182_150592667,8.66296
chr1_152006910_152007460,6.10123
chr1_152007615_152008057,6.10123
chr1_153541018_153541368,18.24813
chr1_154910155_154910399,2.45473
chr1_154973335_154973935,2.63459
chr1_156629760_156630406,22.59764
chr1_159798443_159799254,4.25487
chr1_161352257_161352597,11.33699
chr1_162508612_162508929,4.47881
chr1_162603017_162603226,5.16785
chr1_167683554_167683813,4.25772
chr1_167766380_167766616,3.15552
chr1_170633923_170634526,6.1289
chr1_171110631_171110996,10.79713
chr1_172828423_172828792,3.3591
chr1_173398914_173399297,10.39084
chr1_175094142_175094504,28.50153
chr1_177150553_177151051,20.67718
chr1_178252303_178252477,14.50745
chr1_179555221_179555646,13.66037
chr1_181104473_181105818,2.26374
chr1_181122099_181122260,7.22208
chr1_181998739_181999134,6.71821
chr1_183578502_183578873,10.2809
chr1_1840449_1840835,23.99363
chr1_19248887_19249092,2.50286
chr1_19253034_19253391,3.91896
chr1_192549613_192549895,11.15224
chr1_192776947_192777226,2.33271
chr1_200321353_200321596,1.89727
chr1_201500233_201500477,17.47415
