name_E,H4k20me1_E
chr10_3137708_3138098,2.34133
chr10_3509617_3509911,3.9380300000000004
chr10_3510310_3510716,3.9380300000000004
chr10_3511181_3511689,3.9380300000000004
chr10_3524547_3524820,2.61758
chr10_3542742_3543014,2.8486599999999997
chr10_3568141_3568290,2.64537
chr10_3782727_3783283,3.19654
chr10_3797195_3797502,3.3403
chr10_3893365_3894190,2.82272
chr10_4289203_4289519,2.79182
chr10_4386754_4387085,2.98718
chr10_4705159_4705783,3.02615
chr10_4813646_4813900,2.96854
chr10_4989909_4990226,2.97221
chr10_5359534_5359986,2.9512400000000003
chr10_556579_556951,2.29871
chr10_557102_557353,2.29871
chr10_5590959_5591270,2.7942
chr10_593455_593774,2.13668
chr1_100820585_100820838,3.2046200000000002
chr1_10127211_10127315,2.06796
chr1_1014834_1015095,3.10563
chr1_108479405_108480123,3.34226
chr1_109104473_109104583,3.0661099999999997
chr1_109133637_109134097,2.73027
chr1_109246671_109246905,3.08642
chr1_109262615_109262764,3.27081
chr1_109841804_109842152,4.613919999999999
chr1_109842394_109842833,4.613919999999999
chr1_109938897_109939079,2.2385599999999997
chr1_109981518_109981703,2.6419799999999998
chr1_110454846_110455290,2.37163
chr1_110476602_110476703,2.73017
chr1_111162611_111162919,2.82267
chr1_112135698_112135869,3.2799699999999996
chr1_112163412_112163797,2.4529900000000002
chr1_112286281_112286588,3.2401400000000002
chr1_11236551_11236761,2.3486700000000003
chr1_112901525_112901779,2.95433
chr1_113014906_113015158,3.09918
chr1_113086746_113087141,4.00568
chr1_113584893_113585079,3.22898
chr1_114326143_114326379,2.658
chr1_114575620_114575801,3.3860099999999997
chr1_114997819_114998047,2.73937
chr1_115052481_115052766,3.01717
chr1_115641281_115641604,2.66434
chr1_115722074_115722498,2.94667
chr1_115732772_115733197,4.990530000000001
chr1_116088478_116088732,3.60969
chr1_116920378_116921129,2.1092400000000002
chr1_117051576_117051921,3.64895
chr1_11753086_11753651,2.90625
chr1_11968510_11969143,4.07864
chr1_120530787_120531205,2.68261
chr1_12213128_12213883,3.45626
chr1_12227833_12229578,3.1076799999999998
chr1_12237719_12238747,2.97715
chr1_12493910_12494304,2.81115
chr1_12579035_12579403,2.9119099999999998
chr1_12609717_12610039,3.07865
chr1_1295535_1296332,2.96368
chr1_142538903_142539547,2.29826
chr1_144908806_144909147,3.27965
chr1_145009158_145009716,2.85652
chr1_145023690_145024549,2.08143
chr1_145042783_145043227,2.37258
chr1_145058996_145059322,2.8365099999999996
chr1_145092450_145092883,2.62656
chr1_145113904_145114998,3.4952300000000003
chr1_145455122_145455741,3.2856400000000003
chr1_146764405_146764804,3.99986
chr1_149978692_149979077,2.68991
chr1_150135231_150135764,2.54616
chr1_150294873_150295138,3.18075
chr1_150577042_150577503,3.59732
chr1_150585815_150586394,3.27711
chr1_150592182_150592667,2.90287
chr1_150600412_150600701,3.01802
chr1_151172142_151172526,2.25747
chr1_151172620_151173197,2.25747
chr1_151284018_151284391,3.26843
chr1_151913574_151913780,3.50545
chr1_151913815_151914271,3.50545
chr1_151960875_151961433,2.07547
chr1_151961675_151962369,2.07547
chr1_152006910_152007460,2.67868
chr1_15335392_15335732,2.2676
chr1_153583449_153583810,2.91023
chr1_153715466_153715694,2.55024
chr1_153762591_153763309,3.7627
chr1_154154606_154155027,1.9391200000000002
chr1_154302207_154302441,2.2334099999999997
chr1_154391539_154392211,2.53785
chr1_154392646_154393050,2.53785
chr1_154404273_154404562,2.86856
chr1_154579303_154579782,1.8489099999999998
chr1_155944562_155945214,1.78125
chr1_155945743_155946196,1.78125
chr1_155946363_155946660,1.78125
chr1_156089405_156089622,2.20345
chr1_156251648_156251762,2.63492
chr1_156468556_156468776,1.88116
chr1_156541089_156541488,2.8085
chr1_156586355_156586564,2.60378
chr1_156629760_156630406,3.30902
chr1_15664307_15664455,2.81149
chr1_156645551_156645913,2.65109
chr1_15664580_15664866,2.81149
chr1_157106691_157107326,3.4467800000000004
chr1_157244599_157245063,2.8517799999999998
chr1_15738146_15738632,2.58497
chr1_157938818_157938961,3.5218599999999998
chr1_157964633_157965029,2.08929
chr1_157980631_157980890,2.38588
chr1_159851477_159851987,2.75973
chr1_159892447_159892988,2.01104
chr1_160989381_160990254,2.9064
chr1_161177017_161177202,3.60005
chr1_161500608_161500899,3.12488
chr1_16176617_16176801,2.9628900000000002
chr1_161973588_161973892,3.0430599999999997
chr1_16212759_16213091,2.98128
chr1_162508612_162508929,3.9815
chr1_162511455_162511984,3.12045
chr1_162659800_162660152,2.19545
chr1_16276028_16276482,2.36594
chr1_16291784_16292062,2.63452
chr1_16292565_16293101,2.63452
chr1_163005587_163006022,3.2133599999999998
chr1_164717528_164717907,4.17362
chr1_164734934_164735098,2.80871
chr1_164750243_164750515,2.6461
chr1_16502532_16502678,2.62607
chr1_165823413_165823808,2.18208
chr1_16677236_16677843,2.36295
chr1_167766380_167766616,3.45909
chr1_168050664_168051125,2.67523
chr1_168149052_168149361,2.89469
chr1_171110631_171110996,3.6089800000000003
chr1_1714020_1714715,2.4468799999999997
chr1_171712214_171712716,2.5474099999999997
chr1_172106187_172106635,3.15472
chr1_17231253_17231704,4.426159999999999
chr1_172327558_172328156,3.9861199999999997
chr1_172715484_172715760,3.3677099999999998
chr1_172878579_172879356,2.8351599999999997
chr1_172903010_172903534,4.08403
chr1_172938789_172938985,2.8137
chr1_173091914_173092434,3.1253599999999997
chr1_173092552_173092771,3.1253599999999997
chr1_173379915_173380349,2.50977
chr1_173398914_173399297,4.50842
chr1_173447359_173447668,2.54074
chr1_17454855_17455288,2.78988
chr1_17494378_17494745,3.1242099999999997
chr1_17495208_17495390,3.1242099999999997
chr1_17578205_17578469,2.97884
chr1_176174471_176174980,2.33989
chr1_177178348_177178736,3.20717
chr1_1772108_1772256,1.88022
chr1_177896186_177896486,3.847
chr1_178207948_178208160,3.13918
chr1_178252303_178252477,3.7563400000000002
chr1_178509347_178509739,2.4533
chr1_180895607_180895967,2.54315
chr1_181060502_181060611,2.07913
chr1_181104473_181105818,3.17982
chr1_181122099_181122260,3.4668400000000004
chr1_1814762_1815124,1.89135
chr1_182998797_182999044,1.98227
chr1_183132366_183132749,3.0154900000000002
chr1_183333168_183333467,2.6376
