name_P,DNaseI_P
chr1_1051641_1052741,9.4362
chr1_1166629_1167729,5.47906
chr1_1167311_1168411,5.47906
chr1_1209165_1210265,5.37937
chr1_1209603_1210703,5.37937
chr1_1242947_1244047,5.19759
chr1_1253969_1255069,10.12054
chr1_1259136_1260236,8.01117
chr1_1259971_1261071,8.01117
chr1_1265694_1266794,2.39569
chr1_1284630_1285730,3.2713900000000002
chr1_1297057_1298157,4.16167
chr1_1310775_1311875,10.445780000000001
chr1_1333902_1335002,9.115269999999999
chr1_1334608_1335708,9.115269999999999
chr1_1342593_1343693,6.61153
chr1_1343476_1344576,6.61153
chr1_1369853_1370953,5.49645
chr1_1406143_1407243,11.1071
chr1_1446531_1447631,9.66217
chr1_1475733_1476833,5.32262
chr1_1499804_1500904,3.77791
chr1_1509355_1510455,5.46629
chr1_1510149_1511249,5.46629
chr1_1549795_1550895,4.92146
chr1_1551075_1552175,4.92146
chr1_1566474_1567574,3.18723
chr1_1589786_1590886,12.82281
chr1_1590373_1591473,12.82281
chr1_1624067_1625167,6.8022100000000005
chr1_1654951_1656051,13.54205
chr1_1655666_1656766,13.54205
chr1_1677331_1678431,5.82102
chr1_1821910_1823010,4.7339
chr1_1822395_1823495,4.7339
chr1_1850612_1851712,8.38167
chr1_1935176_1936276,3.26955
chr1_1949780_1950880,2.89138
chr1_2120237_2121337,5.95354
chr1_2142962_2144062,4.49978
chr1_2143913_2145013,4.49978
chr1_2144059_2145159,4.49978
chr1_2145520_2146620,4.49978
chr1_2159134_2160234,5.87524
chr1_2322267_2323367,9.50658
chr1_2323046_2324146,9.50658
chr1_2425818_2426918,5.67724
chr1_2457939_2459039,5.04668
chr1_2476904_2478004,4.22232
chr1_2516930_2518030,7.683889999999999
chr1_267153_268253,4.11262
chr1_2984732_2985832,3.19443
chr1_2984901_2986001,3.19443
chr1_3369990_3371090,4.10827
chr1_3540566_3541666,5.25079
chr1_3541207_3542307,5.25079
chr1_564020_565120,2.25982
chr1_564290_565390,2.25982
chr1_565454_566554,2.25982
chr1_567137_568237,2.25982
chr1_567915_569015,2.25982
chr1_568076_569176,2.25982
chr1_568756_569856,2.25982
chr1_713150_714250,12.07466
chr1_713906_715006,12.07466
chr1_751751_752851,5.39634
chr1_752992_754092,5.39634
chr1_761988_763088,5.62908
chr1_762802_763902,5.62908
chr1_812183_813283,2.85982
chr1_839214_840314,4.9981800000000005
chr1_845815_846915,3.43022
chr1_856296_857396,4.06142
chr1_859260_860360,4.05374
chr1_894589_895689,7.42647
chr1_894967_896067,3.39994
chr1_900877_901977,4.23724
chr1_935452_936552,4.45087
chr1_947803_948903,6.52861
chr1_948473_949573,6.52861
chr1_954503_955603,4.130380000000001
chr1_994114_995214,2.62555
chr1_998568_999668,6.43289
