name_E,H3k9ac_E,DNaseI_E,H3k4me3_E,H3k27ac_E,H3k36me3_E,Ctcf_E,H3k79me2_E,H4k20me1_E,H3k4me1_E,H3k27me3_E,H3k4me2_E
chr10_1100843_1101035,9.0040715,28.0,31.955539,12.713523,4.105412,0.0,6.183088,0.0,5.375597,0.0,11.967712
chr10_1112826_1113160,5.728507,0.0,0.0,0.0,4.105412,0.0,6.183088,0.0,0.0,0.0,0.0
chr10_2256285_2256680,3.668019,7.0,0.0,11.4683685,0.0,0.0,0.0,0.0,4.784318,0.0,7.504185
chr10_3133662_3133717,8.969041,64.0,0.0,13.515794,5.352022,0.0,7.236524,1.349534,10.021014,0.0,10.464659
chr10_3137708_3138098,8.405122,102.0,4.500014,13.515794,5.352022,0.0,7.236524,1.349534,10.021014,0.0,10.929252
chr10_3497590_3497951,5.286214,11.0,0.0,13.354945999999998,0.0,1.631329,0.0,0.0,5.567492,0.0,6.8038820000000015
chr10_3509617_3509911,19.343626,84.0,9.162612,48.909959,0.0,9.007956,0.0,0.0,6.333892,0.0,10.469301
chr10_3510310_3510716,19.343626,47.0,9.204416499999999,48.909959,0.0,1.631329,0.0,0.0,6.333892,0.0,10.469301
chr10_3511181_3511689,19.343626,83.0,9.108118,48.909959,0.0,1.631329,0.0,0.0,6.333892,0.0,10.469301
chr10_3524547_3524820,9.615821,70.0,8.335923,8.88762,0.0,0.0,0.0,0.0,6.793295,0.0,11.41843
chr10_3528683_3528786,9.077386,99.0,0.0,8.601184,0.0,10.264978,0.0,0.0,7.478391999999999,0.0,10.272528
chr10_3542742_3543014,6.106028,0.0,0.0,5.647818,0.0,0.0,0.0,0.0,9.088593,0.0,11.542337
chr10_3710838_3711066,17.009342,52.0,14.398299,12.58215,0.0,0.0,0.0,0.0,8.136292666666668,0.0,16.201244
chr10_3782727_3783283,3.875926,92.0,2.984432,14.299371,0.0,0.0,0.0,4.263979,5.00571,0.0,7.166646000000001
chr10_3797195_3797502,8.1323755,119.0,6.445709,20.708938,0.0,0.0,0.0,0.0,11.182835,0.0,7.082201
chr10_3800307_3800531,8.1323755,137.0,11.470398,20.708938,0.0,0.0,0.0,0.0,11.182835,0.0,7.082201
chr10_3807382_3807563,9.8689035,0.0,0.0,15.742781,0.0,0.0,0.0,0.0,10.119022,0.0,6.896864999999999
chr10_3811743_3812009,6.242971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3845250_3845852,18.929876,8.0,0.0,51.162048,0.0,0.0,0.0,0.0,9.218549,0.0,0.0
chr10_3845999_3846426,18.929876,0.0,0.0,51.162048,0.0,0.0,0.0,0.0,9.218549,0.0,0.0
chr10_3846443_3847038,18.929876,0.0,0.0,51.162048,0.0,0.0,0.0,0.0,9.218549,0.0,6.640271
chr10_3848037_3849536,18.929876,96.5,3.145357,51.162048,0.0,0.0,0.0,0.0,13.0624545,0.0,6.640271
chr10_3850308_3850795,18.929876,0.0,0.0,51.162048,0.0,0.0,0.0,0.0,12.989577,0.0,6.640271
chr10_3852273_3852886,18.929876,78.0,3.207867,51.162048,0.0,0.0,0.0,0.0,11.489944,0.0,7.491478999999999
chr10_3853393_3854169,18.929876,32.0,3.207867,51.162048,0.0,0.0,0.0,0.0,10.813005,0.0,7.491478999999999
