name_E,H3k27ac_E
chr1_1014834_1015095,6.700595
chr1_1093610_1093958,10.393802
chr1_1295535_1296332,10.305083999999999
chr1_1772108_1772256,9.544533
chr1_1840449_1840835,10.929864
chr1_2162325_2162996,11.282338000000001
chr1_2478276_2478817,10.866775
chr1_2574343_2574764,9.430052
chr1_3620035_3620325,7.880358
chr1_3817648_3818071,12.206425
chr1_4729528_4729775,10.310902
chr1_6359789_6360186,11.785669
chr1_6360191_6360625,11.785669
chr1_6362597_6362955,11.785669
chr1_6661008_6661639,46.359567
chr1_7359415_7359679,3.323727
chr1_7461964_7462325,10.372938000000001
chr1_7531062_7531540,11.884317
chr1_956563_956812,21.548289
