name_E,H3k79me2_E
chr10_1100843_1101035,8.907325
chr10_2256285_2256680,1.773897
chr10_3133662_3133717,4.940344
chr10_3137708_3138098,4.940344
chr10_3145163_3145536,4.940344
chr10_3870489_3871262,7.524081
chr10_5590010_5590295,4.00258
chr1_100113534_100114036,1.620673
chr1_100512510_100512716,10.797317
chr1_10127211_10127315,4.936748
chr1_101486133_101486158,2.305856
chr1_10556105_10556527,3.635956
chr1_10557233_10557456,3.635956
chr1_10558276_10558621,3.635956
chr1_10585199_10585569,3.635956
chr1_108695322_108695861,6.939353
chr1_108741685_108742156,8.266903
chr1_109100040_109100237,10.35851
chr1_109104473_109104583,10.35851
chr1_109127044_109127234,10.35851
chr1_109133120_109133338,10.35851
chr1_109133637_109134097,10.35851
chr1_109572587_109572654,2.951677
chr1_109800134_109800539,4.917771500000001
chr1_109913179_109913623,3.000327
chr1_109938897_109939079,7.339864
chr1_110364881_110365302,2.842065
chr1_110366477_110366702,2.842065
chr1_110537379_110537528,6.562332
chr1_110879130_110879445,9.560485
chr1_112163412_112163797,6.78839
chr1_112163826_112164071,6.78839
chr1_112196411_112196803,6.78839
chr1_112291453_112291811,3.276852
chr1_112942216_112942335,8.489129
chr1_113525578_113525919,8.1678
chr1_114326143_114326379,6.342653
chr1_114997819_114998047,8.665988
chr1_115025085_115025405,8.665988
chr1_115052481_115052766,8.665988
chr1_116221756_116221883,4.683337
chr1_116520279_116520650,7.395825
chr1_116918925_116919548,12.510027
chr1_116920378_116921129,12.510027
chr1_116923407_116923493,12.510027
chr1_117050808_117051139,4.088301
chr1_117074509_117074935,6.697026
chr1_117081238_117081452,7.493422
chr1_117100772_117101124,8.046402
chr1_117111804_117112156,8.046402
chr1_117112460_117112738,8.046402
chr1_120255895_120256325,10.580448
chr1_120275491_120275880,6.898786
chr1_12046023_12046196,7.968817
chr1_12050736_12051137,8.894488
chr1_120525502_120525838,1.825724
chr1_120530787_120531205,5.0985035
chr1_12675687_12675874,8.249074
chr1_1295535_1296332,10.215803
chr1_142538903_142539547,4.595152
chr1_144533627_144534178,3.031407
chr1_144927217_144927550,4.535481
chr1_144988079_144988414,7.534154
chr1_145023690_145024549,2.669965
chr1_145042783_145043227,3.892502
chr1_145058996_145059322,3.241733
chr1_145090155_145090603,6.874228
chr1_145113904_145114998,5.70151
chr1_145437595_145437817,14.85491
chr1_145455122_145455741,9.015227
chr1_149978692_149979077,8.268592
chr1_149981648_149981889,8.268592
chr1_150135231_150135764,9.676896
chr1_150294873_150295138,21.231216
chr1_150577042_150577503,3.220541
chr1_150585815_150586394,3.220541
chr1_150592182_150592667,5.079947
chr1_150600412_150600701,5.9237175
chr1_150949569_150950014,7.001919
chr1_151166314_151166527,7.743436
chr1_151172142_151172526,9.001282
chr1_151172620_151173197,9.001282
chr1_151284018_151284391,3.69156
chr1_151871280_151871437,7.643345
chr1_151877533_151877895,4.007529
chr1_151945068_151945221,5.471568
chr1_151960875_151961433,5.471568
chr1_151961675_151962369,5.471568
chr1_151968368_151968560,5.471568
chr1_152006910_152007460,14.575001
chr1_152007615_152008057,14.575001
chr1_153504746_153504953,7.574639
chr1_153525322_153525412,7.574639
chr1_153583449_153583810,9.319943
chr1_153936554_153936861,12.124483
chr1_154154606_154155027,13.1211485
chr1_154391539_154392211,2.008275
chr1_154392646_154393050,2.008275
chr1_154397743_154397997,2.008275
chr1_154404273_154404562,2.008275
chr1_154405181_154405498,2.008275
chr1_154579303_154579782,14.526877
chr1_154582047_154582244,14.526877
chr1_154972628_154972915,5.503762
chr1_154973036_154973200,5.503762
chr1_154973335_154973935,5.503762
chr1_154977099_154977253,5.503762
chr1_154978035_154978657,5.503762
chr1_154979104_154979305,5.503762
chr1_15519488_15519688,2.480701
chr1_155283531_155283932,6.9182125
chr1_155469100_155469412,6.630158
chr1_155496665_155497012,6.630158
chr1_155535083_155535193,6.630158
chr1_155944562_155945214,8.4025655
chr1_155945743_155946196,8.4025655
chr1_155946363_155946660,8.4025655
chr1_156066868_156067143,8.760403
chr1_156073142_156073699,8.760403
chr1_156073854_156074351,8.760403
chr1_156074715_156075305,8.760403
chr1_156089405_156089622,8.760403
chr1_156095033_156095181,8.760403
chr1_156103413_156103690,8.760403
chr1_156251648_156251762,13.728567
chr1_156468556_156468776,14.45879
chr1_156472693_156472952,14.45879
chr1_156473111_156473378,14.45879
chr1_156474686_156475018,14.45879
chr1_156541089_156541488,10.08785
chr1_156629760_156630406,8.38895
chr1_156718467_156719136,23.302937
chr1_156719450_156719815,23.302937
chr1_157076072_157076782,9.339861
chr1_157106691_157107326,12.316983
chr1_15738146_15738632,9.467996
chr1_15738661_15738986,9.467996
chr1_15742467_15743324,9.467996
chr1_157964633_157965029,5.482822
chr1_157980631_157980890,5.482822
chr1_157989414_157989935,5.482822
chr1_158970513_158970716,3.667687
chr1_158982200_158982857,5.9162265000000005
chr1_158994687_158995148,4.5990385
chr1_15946733_15946892,10.888823
chr1_159851477_159851987,10.443382
chr1_159892447_159892988,10.888167
chr1_160182240_160182579,2.424136
chr1_160202735_160202981,3.093843
chr1_160316870_160317108,13.532564
chr1_160682568_160682866,7.277308
chr1_160989381_160990254,5.787409
chr1_161170933_161171185,7.083393
chr1_161321309_161321798,10.547816
chr1_16156384_16156536,5.56682
chr1_16176617_16176801,5.56682
chr1_16212759_16213091,5.56682
chr1_16276028_16276482,5.56682
chr1_16277350_16278224,5.56682
chr1_16291784_16292062,5.56682
chr1_16292565_16293101,5.56682
chr1_164686304_164686686,4.845896
chr1_164717528_164717907,4.845896
chr1_164723371_164723492,4.845896
chr1_164734934_164735098,4.845896
chr1_164736884_164737252,4.845896
chr1_164750243_164750515,4.845896
chr1_16478939_16479163,13.018062
chr1_16479299_16479465,13.018062
chr1_165797615_165798367,15.47108
chr1_165823413_165823808,15.47108
chr1_165868061_165868423,15.47108
chr1_16670445_16670837,5.288804
chr1_16677236_16677843,8.1173255
chr1_167313306_167313474,4.739776
chr1_167518258_167518508,4.559228
chr1_167520671_167521013,5.890001333333333
chr1_167683554_167683813,4.842105
chr1_167730247_167730494,4.842105
chr1_167954240_167954407,5.299468
chr1_168149052_168149361,5.392868
chr1_169071998_169072131,7.451524
chr1_169860308_169860488,6.531817
chr1_1714020_1714715,6.202486
chr1_17231253_17231704,1.777194
chr1_172878579_172879356,5.672723
chr1_173398914_173399297,2.67881
chr1_173447359_173447668,8.8885485
chr1_173984193_173984403,5.497174
chr1_175145439_175145838,2.010508
chr1_175158150_175158288,2.010508
chr1_175160901_175161109,4.7347470000000005
chr1_176174471_176174980,5.772262
chr1_1772108_1772256,6.202486
chr1_178121154_178121309,1.910943
chr1_17865185_17865523,2.128736
chr1_17896198_17896624,2.128736
chr1_179110934_179111289,3.765648
chr1_179153644_179153909,3.765648
chr1_179160106_179160405,3.765648
chr1_179290775_179290979,5.00811
chr1_179296885_179297079,5.00811
chr1_1793829_1793862,6.202486
chr1_180120187_180120425,1.760216
chr1_181060502_181060611,11.208788
chr1_181104473_181105818,9.008228
chr1_1814762_1815124,6.202486
chr1_182998797_182999044,5.483096
chr1_183578502_183578873,3.830926
chr1_186818504_186818763,7.094307
chr1_192776947_192777226,9.913361
chr1_19280139_19280583,2.72757
chr1_19762527_19762798,5.703583
chr1_19778785_19779174,5.703583
chr1_19794978_19795283,5.703583
chr1_19803336_19803680,5.703583
chr1_19803913_19804113,5.703583
chr1_19804974_19805167,5.703583
chr1_198090244_198090551,6.689202
chr1_198124316_198124670,9.098454
chr1_198128112_198128944,9.098454
chr1_198136529_198137056,9.098454
chr1_19926811_19926972,6.732384
chr1_201463619_201463933,7.961285
chr1_201472589_201472996,7.961285
chr1_201987611_201988279,6.224105
chr1_202030255_202030391,7.342608
chr1_203481982_203482534,5.915964
chr1_203598711_203598999,6.441782
chr1_203599092_203599518,6.441782
chr1_203617500_203617713,3.613182
chr1_203619380_203619832,3.613182
chr1_203622445_203622560,10.947062
chr1_203643182_203643803,3.963172
chr1_203661733_203662076,6.343491
chr1_204049581_204049822,10.845763
chr1_204058173_204058362,10.845763
chr1_204071387_204071653,10.845763
chr1_204073791_204074252,10.845763
chr1_204238647_204239007,5.11912
chr1_204254999_204255106,5.11912
chr1_204289566_204289863,5.11912
chr1_204317952_204318184,5.11912
chr1_204330284_204330553,5.11912
chr1_204332438_204332553,5.11912
chr1_204358316_204358342,5.11912
chr1_204363456_204363666,5.11912
chr1_204386444_204387188,5.11912
chr1_204387566_204387645,5.11912
chr1_204389721_204389989,5.11912
chr1_204430759_204431008,5.11912
chr1_204432329_204432499,5.11912
chr1_204434923_204435081,5.11912
chr1_204449745_204450007,5.11912
chr1_204486309_204486424,11.201894
chr1_205173095_205173476,3.559953
chr1_205270500_205270865,7.755502
chr1_205283024_205283394,10.483941999999999
chr1_205288770_205288915,10.483941999999999
chr1_205709805_205710150,5.776642
chr1_206688246_206688461,4.7237435
chr1_206748515_206748888,1.477787
chr1_206748926_206749451,1.477787
chr1_206751685_206751882,1.477787
chr1_206754982_206755508,1.477787
chr1_206859136_206859493,8.368875
chr1_206859748_206860259,8.368875
chr1_206897147_206897463,8.368875
chr1_206910483_206910789,8.368875
chr1_207203424_207203586,4.078829
chr1_207489914_207490291,8.356795
chr1_207509006_207509478,8.356795
chr1_207997315_207997832,2.008019
chr1_207999163_207999611,5.7410525
chr1_208021631_208021781,2.008019
chr1_208028503_208028730,2.008019
chr1_208412497_208412696,1.685429
chr1_208418631_208418859,1.685429
chr1_20924301_20924404,2.324953
chr1_20930711_20931037,2.324953
chr1_209820544_209820823,7.639907
chr1_209822403_209823008,7.639907
chr1_211500826_211501119,2.303646
chr1_211517513_211517976,2.303646
chr1_211753366_211753524,14.68353
chr1_211823764_211823781,8.996697
chr1_211988342_211989080,6.213736
chr1_212256975_212257253,2.585623
chr1_212261904_212262125,2.585623
chr1_212291571_212291809,2.585623
chr1_21348947_21349299,3.060184
chr1_21349725_21349786,3.060184
chr1_214612784_214613126,3.930863
chr1_214648804_214649025,10.142131
chr1_21475659_21476054,3.060184
chr1_215741534_215741966,10.050276
chr1_21588176_21588724,4.176498
chr1_21588829_21589430,4.176498
chr1_21611199_21611583,4.176498
chr1_2162325_2162996,7.546384
chr1_21643831_21644195,4.176498
chr1_21649091_21649481,4.176498
chr1_21650806_21651685,4.176498
chr1_21660622_21661187,4.176498
chr1_21663991_21664182,4.176498
chr1_21664400_21664833,4.176498
chr1_21664947_21665143,4.176498
chr1_2171824_2171946,7.546384
chr1_2172142_2172385,7.546384
chr1_2177615_2177829,7.546384
chr1_2190530_2190674,7.546384
chr1_220393257_220393560,2.742729
chr1_220427006_220427444,2.742729
chr1_221877654_221878134,3.241452
chr1_221881394_221881826,3.241452
chr1_221882292_221882723,3.241452
chr1_221887766_221888016,3.241452
chr1_221899063_221899285,3.241452
chr1_221913881_221914483,3.241452
chr1_221916049_221916599,3.241452
chr1_2221868_2222548,7.546384
chr1_22260274_22260656,10.575533
chr1_2230678_2230895,7.546384
chr1_2231691_2232185,7.546384
chr1_2232428_2232896,7.546384
chr1_223892678_223892997,4.172757
chr1_223901276_223901546,4.172757
chr1_223903033_223903347,4.172757
chr1_223904365_223904567,4.172757
chr1_223914239_223914747,4.172757
chr1_224014874_224015267,4.71887
chr1_224019430_224020596,4.71887
chr1_224023477_224023773,4.71887
chr1_224032316_224032686,4.71887
chr1_224545542_224546006,6.228358
chr1_225613143_225613456,10.533223
chr1_225778250_225778416,2.637778
chr1_226187685_226188168,10.782433
chr1_226189681_226190319,8.309729
chr1_227128899_227129131,5.398714
chr1_227405146_227405174,8.060558
chr1_227751865_227752213,6.43021
chr1_228273480_228273740,25.319761
chr1_228783266_228783899,4.462904
chr1_229409656_229409997,10.64892
chr1_229690998_229691240,5.818157
chr1_229692979_229693368,5.818157
chr1_230220475_230220731,10.436905
chr1_230240540_230240902,10.436905
chr1_230241590_230241986,10.436905
chr1_230248068_230248475,10.436905
chr1_230249347_230250007,10.436905
chr1_230258907_230259286,10.436905
chr1_230279464_230279771,10.436905
chr1_230282048_230282189,10.436905
chr1_230289705_230290142,10.436905
chr1_231002258_231002436,1.494694
chr1_231113054_231113423,6.010757333333333
chr1_231665787_231666093,7.258088
chr1_233250723_233251216,3.609176
chr1_233750790_233751092,4.592266
chr1_233763307_233763375,4.592266
chr1_23387479_23387794,5.322797
chr1_23426690_23427100,3.627956
chr1_23429944_23430077,3.627956
chr1_234737347_234737653,14.062066
chr1_234738546_234738834,14.062066
chr1_234746093_234747674,6.326389
chr1_234857710_234858181,3.733887
chr1_235460869_235461278,4.901697
chr1_235468552_235468724,4.901697
chr1_236022018_236022676,7.0934155
chr1_236025805_236026204,5.601602
chr1_236026265_236026446,6.1713435
chr1_236026992_236027471,3.1124
chr1_237645107_237645291,7.813197
chr1_23849183_23849405,5.336264
chr1_23882500_23882866,7.977627
chr1_23888678_23889201,7.977627
chr1_23961555_23961694,3.971492
chr1_240306890_240307603,4.160874
chr1_240307621_240308162,11.772116
chr1_243428005_243428394,6.596856
chr1_243431437_243431793,6.596856
chr1_245958364_245958743,3.873945
chr1_246588477_246588670,1.621144
chr1_246591935_246592203,1.621144
chr1_246730569_246731007,4.4235795
chr1_246732690_246733040,4.4235795
chr1_246743297_246743408,2.5551595
chr1_246749077_246749442,2.5551595
chr1_246751015_246751281,1.621144
chr1_246760708_246760962,1.621144
chr1_246772310_246772610,1.621144
chr1_247035132_247035504,8.128562500000001
chr1_247093396_247093478,14.080962
chr1_247315116_247315371,4.104113
chr1_249117788_249118228,8.640922
chr1_24970685_24970736,7.3305565
chr1_25095502_25095845,7.688571
chr1_25559638_25560067,7.577277
chr1_26201699_26201757,4.163155
chr1_26319994_26320468,4.156775
chr1_27024638_27025138,10.740094
chr1_27112764_27112917,1.955527
chr1_27154485_27154771,3.628716
chr1_27154983_27155478,3.628716
chr1_27191386_27191927,10.955432
chr1_27691785_27692261,7.885991
chr1_27762936_27763307,5.272066
chr1_27775351_27775365,5.272066
chr1_27869425_27869556,3.4284355
chr1_27890194_27890387,6.371922
chr1_27916292_27916674,4.683657
chr1_27924204_27924421,4.683657
chr1_29101544_29101853,8.162948
chr1_29214759_29214998,2.66557
chr1_29253461_29253677,2.030808
chr1_29504261_29504387,7.786113
chr1_29563709_29564430,4.679335
chr1_29565515_29565732,4.679335
chr1_29565762_29566055,4.679335
chr1_31401933_31402089,9.156445
chr1_31537719_31538012,9.156445
chr1_32108020_32108204,6.318275
chr1_32253647_32254040,5.4420335
chr1_32263216_32263220,3.039105
chr1_32405536_32405898,8.13427
chr1_32420307_32420572,8.13427
chr1_32421622_32422096,8.13427
chr1_32423598_32423720,8.13427
chr1_33203093_33203146,4.86109
chr1_33220297_33220575,4.86109
chr1_33221272_33221671,4.86109
chr1_33225777_33226084,4.86109
chr1_33226574_33226719,4.86109
chr1_33227148_33227387,4.86109
chr1_33804359_33804743,7.14757
chr1_36183411_36183689,4.844865
chr1_36555347_36555633,9.712275
chr1_36626561_36626969,6.724524
chr1_36627717_36628369,6.724524
chr1_36839449_36839891,5.1870674999999995
chr1_36840093_36840535,7.482218
chr1_36849527_36849580,6.7027205
chr1_36866636_36866899,2.873911
chr1_37932554_37932910,10.873178
chr1_37937293_37937526,10.873178
chr1_37942874_37943354,10.873178
chr1_37944084_37944971,10.873178
chr1_38009784_38010404,3.082892
chr1_38010731_38010979,3.082892
chr1_38311465_38311868,3.301315
chr1_38317043_38317898,3.301315
chr1_38465723_38465839,9.801732
chr1_39598118_39598362,6.456002
chr1_39598673_39599090,6.456002
chr1_39633654_39634014,3.679161
chr1_39857791_39857995,4.895335
chr1_39874208_39874673,6.570321
chr1_40561233_40561752,7.756341
chr1_40841336_40841595,2.213838
chr1_40848967_40849502,2.213838
chr1_40851431_40851768,2.213838
chr1_40860574_40860824,2.213838
chr1_40866111_40866454,2.213838
chr1_41164800_41165075,10.28685
chr1_41178788_41178979,10.28685
chr1_41650800_41651168,1.4752
chr1_42774668_42774801,5.902883
chr1_43400932_43401203,7.861485
chr1_43402214_43402581,7.861485
chr1_43402778_43403133,7.861485
chr1_43405621_43405821,7.861485
chr1_43406108_43407009,7.861485
chr1_43407355_43407700,7.861485
chr1_43426742_43427095,7.861485
chr1_43427522_43427762,7.861485
chr1_43428386_43429108,7.861485
chr1_43429290_43429917,7.861485
chr1_43432863_43433109,7.861485
chr1_43997843_43998152,4.536111
chr1_44015731_44016125,3.351157
chr1_44176533_44177122,3.030473
chr1_45670767_45670868,5.5714215
chr1_46111666_46112048,6.250071
chr1_46573980_46574380,4.139258
chr1_46575103_46575175,4.139258
chr1_47800262_47800514,3.840824
chr1_51215461_51215472,6.814766
chr1_51245588_51245972,6.814766
chr1_51312022_51312165,6.814766
chr1_51703075_51703494,5.438895
chr1_52110368_52110491,3.414254
chr1_52132018_52132585,3.414254
chr1_52173889_52173954,3.414254
chr1_53020482_53020832,4.078945
chr1_54739679_54739787,2.536102
chr1_54744858_54745090,2.536102
chr1_54868582_54868776,4.305231
chr1_55340144_55340359,7.807083500000001
chr1_55678785_55679185,4.971783
chr1_56991269_56991531,2.130418
chr1_57024882_57025247,2.130418
chr1_57042744_57043185,3.9843465
chr1_57043287_57044160,6.872670666666667
chr1_59050239_59050578,7.183766
chr1_59083966_59084335,4.4417405
chr1_59228706_59229186,2.941908
chr1_59758328_59758666,7.857707
chr1_6053603_6054107,5.855968
chr1_6054896_6055025,5.855968
chr1_6088225_6088518,5.14424
chr1_61543611_61543877,3.135377
chr1_61549054_61549253,3.135377
chr1_61649786_61650305,3.135377
chr1_61768031_61768305,3.135377
chr1_65363729_65364057,4.239285
chr1_65364183_65364439,4.239285
chr1_65381647_65381826,4.239285
chr1_65383044_65383557,4.239285
chr1_65387772_65388547,4.239285
chr1_65398951_65399446,4.239285
chr1_65888047_65888596,8.609628
chr1_6661008_6661639,9.575422
chr1_68189225_68189635,2.889204
chr1_68257818_68258216,5.398112
chr1_68285768_68286070,5.398112
chr1_68640572_68640736,5.2494115
chr1_70691921_70692281,7.734653
chr1_70709017_70709466,7.4403875
chr1_7558449_7558725,4.153257
chr1_78469106_78469287,5.01338
chr1_8070132_8070398,5.974573
chr1_84971050_84971209,14.957129
chr1_85038681_85038996,2.909851
chr1_8571636_8571856,3.856633
chr1_85737728_85738105,7.0158285
chr1_85744584_85744829,4.686969
chr1_85794698_85795078,4.360482
chr1_85795855_85796291,6.849231
chr1_85796595_85797055,7.266443
chr1_85991291_85991622,1.743938
chr1_87171187_87171726,8.768506
chr1_8720526_8720683,3.856633
chr1_8724042_8724475,3.856633
