name,H3k27ac_E,Ctcf_E,H3k4me2_E,DNaseI_E,H3k4me3_E,H3k79me2_E,H3k9ac_E,H3k36me3_E,H4k20me1_E,H3k27me3_E,H3k4me1_E,H3k27me3_P,Ctcf_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k9ac_P,H3k4me1_P,H4k20me1_P,H3k4me2_P,H3k4me3_P,DNaseI_P,corr,distance,css,label
chr1_2406489_2406881-chr1_695291_696391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8021978021978022,1710098,0.0,1
chr1_2505035_2505361-chr1_1535376_1536476,0.0,0.0,3.051437,0.0,0.0,0.0,0.0,0.0,0.0,4.1806470000000004,0.0,6.082221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.631297,0.0,22.0,0.48901098901098905,968559,0.0,1
chr1_2172142_2172385-chr1_567915_569015,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,0,0,0,0,0,0,0,0,0,0,0,-0.08791208791208782,1603127,0.0,1
chr1_2140151_2140337-chr1_2457939_2459039,8.994553,0.0,4.002841,24.0,0.0,0.0,0.0,0.0,0.0,0.0,10.960051,0.0,0.0,7.815966,16.199271,2.6318490000000003,19.805608,10.669856500000002,0.0,4.398471,19.022627,110.0,-0.01098901098901095,317602,0.48,1
chr1_2082729_2083012-chr1_1343476_1344576,0,0,0,0,0,0,0,0,0,0,0,0.0,12.476536999999999,9.921762,9.943745,3.38975,24.203705,9.62055,0.0,9.975552,23.092319,0.0,0.6758241758241759,738153,0.0,1
chr1_2171824_2171946-chr1_1446531_1447631,4.6817150000000005,2.2124040000000003,0.0,0.0,0.0,19.443424,0.0,2.420665,2.764168,0.0,4.52117,0.0,0.0,18.964918,4.951414,2.4666639999999997,28.857769,9.689631,0.0,24.937874,15.745107999999998,199.0,-0.18131868131868134,724193,0.46,1
chr1_3077832_3078221-chr1_1265694_1266794,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.672343,2.217135,0.0,0.0,3.4393910000000005,0.0,0.0,0.0,0.6703296703296704,1811038,0.48,1
chr1_1014834_1015095-chr1_2145520_2146620,7.447241,0.0,11.790187,90.0,4.90876,0.0,13.230414000000001,0.0,0.0,0.0,7.193385000000001,0.0,0.0,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,0.0,45.0,-0.3351648351648351,1130425,0.0,1
chr1_3232812_3232866-chr1_2315811_2316911,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.311289,0.0,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,915901,0.48,1
chr1_2230678_2230895-chr1_745441_746541,12.347356,2.0324150000000003,0.0,24.0,0.0,19.443424,8.264994,2.423616,2.764168,0.0,10.087439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.48901098901098905,1484137,0.0,1
chr1_1840449_1840835-chr1_989413_990513,9.08579,21.857543,13.46124,152.0,8.044628,0.0,9.38278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.117953,0.0,0.0,0.0,0.0,0.0,0.0,-0.2197802197802199,849936,0.02,1
chr1_1136667_1137146-chr1_1590373_1591473,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.336752666666666,21.5981905,0.0,0.0,32.033013000000004,0.0,0.0,3.7158010000000004,12.9879675,258.0,0.1923076923076923,453227,0.0,1
chr1_1840449_1840835-chr1_140239_141339,9.08579,21.857543,13.46124,152.0,8.044628,0.0,9.38278,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,-0.2197802197802199,1699110,0.0,1
chr1_3309990_3310261-chr1_3569225_3570325,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,7.599481,0.0,9.069137,0.0,0.0,0.0,2.608632,0.0,0.0,0.0,0.0,0.0,0.0,0.42307692307692313,258964,0.02,1
chr1_3267475_3267612-chr1_2984732_2985832,0,0,0,0,0,0,0,0,0,0,0,9.317907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.5164835164835164,281643,0.48,1
chr1_1368471_1368786-chr1_173762_174862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24725274725274726,1193609,0.0,1
chr1_2082729_2083012-chr1_1265694_1266794,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4.672343,2.217135,0.0,0.0,3.4393910000000005,0.0,0.0,0.0,0.6923076923076923,815935,0.02,1
chr1_4079242_4079460-chr1_2142962_2144062,0,0,0,0,0,0,0,0,0,0,0,0.0,17.278075,47.248141,0.0,0.0,30.883162,13.543331,0.0,10.473068,9.130525,141.5,-0.13736263736263732,1935180,0.0,1
chr1_1952050_1952360-chr1_663427_664527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.052112333333335,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1287523,0.0,1
chr1_1060905_1061095-chr1_1259971_1261071,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,8.293345,4.672343,2.217135,16.283860999999998,6.743864,0.0,9.40805,13.705770000000001,98.33333333333331,-0.4835164835164836,198876,0.46,1
chr1_1368471_1368786-chr1_856296_857396,0,0,0,0,0,0,0,0,0,0,0,3.241933,13.909782,0.0,0.0,0.0,0.0,4.646876,0.0,0.0,0.0,118.0,-0.098901098901099,511075,0.0,1
chr1_2246556_2246763-chr1_1406143_1407243,0.0,11.528645,0.0,137.0,0.0,19.443424,7.234244,2.423616,0.0,0.0,0.0,0.0,5.007924,6.789086999999999,7.1883339999999984,0.0,12.352769,10.834506,0.0,20.17432,19.527251,114.66666666666669,-0.13186813186813184,839313,1.85,1
chr1_2478276_2478817-chr1_659830_660930,8.079839,12.256718,6.787425999999999,160.0,7.8244940000000005,3.1753,14.926932999999998,0.0,0.0,0.0,7.672366999999999,0,0,0,0,0,0,0,0,0,0,0,-0.06593406593406592,1817346,0.0,1
chr1_2406489_2406881-chr1_2511999_2513099,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,9.673910000000001,0.0,0.0,10.831491999999999,9.931911,0.0,9.362773,5.3482815000000015,46.0,0.5769230769230769,105118,0.0,1
chr1_1063914_1064111-chr1_1103385_1104485,0,0,0,0,0,0,0,0,0,0,0,2.365455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5659340659340659,39274,2.29,1
