name_P,H3k4me3_P,H3k9ac_P,H3k4me2_P,H4k20me1_P,Smc3_P,H3k27ac_P,Ctcf_P,H3k4me1_P,DNaseI_P,H3k27me3_P,H3k36me3_P,H3k79me2_P
chr1_1051641_1052741,7.160075999999999,12.8022645,11.243129,1.823085,5.79959,0.0,0.0,0.0,0.5521,4.81084,0.0,6.699783
chr1_1166629_1167729,38.016252,23.892593,20.263416,1.724152,5.43711,20.943561,7.800393,5.3389205,0.6865,0.0,2.430067,14.703578
chr1_1167311_1168411,24.1066915,23.892593,20.263416,1.724152,5.43711,20.943561,7.800393,4.757756,0.6865,0.0,2.430067,14.703578
chr1_1209165_1210265,13.691497,22.97288,28.038913,2.5049650000000003,9.51495,12.284457000000002,4.002632,7.615239500000001,0.3489,0.0,2.606298,13.17838
chr1_1209603_1210703,13.691497,22.97288,28.038913,2.5049650000000003,9.51495,12.284457000000002,4.002632,7.615239500000001,0.3489,0.0,2.606298,13.17838
chr1_1242947_1244047,13.960679,11.925823,22.084221,2.5049650000000003,4.34969,11.557747,10.479968,10.627976,0.467,0.0,3.153054,6.008417
chr1_1244889_1245989,13.960679,11.925823,22.084221,2.5049650000000003,10.14928,11.557747,5.109378,6.6437740000000005,0.467,0.0,3.153054,6.008417
chr1_1259136_1260236,13.978955,12.137364,13.954996,2.5049650000000003,5.79959,16.290447,0.0,6.224705,0.51,0.0,3.153054,6.008417
chr1_1259971_1261071,16.409659,12.137364,13.954996,2.5049650000000003,0.0,16.290447,0.0,11.328963,0.51,0.0,3.153054,6.008417
chr1_1284630_1285730,13.613042000000002,12.069983,18.185941,2.5049650000000003,20.5371,15.852172666666664,14.086811,0.0,0.3429,0.0,0.0,13.253033499999999
chr1_1310775_1311875,16.188579,23.774065,22.196889,0.0,9.42433,18.992077,19.726244,7.771135000000001,0.32805,0.0,7.456111999999999,9.067246
chr1_1313046_1314146,16.188579,23.774065,22.196889,0.0,0.0,18.992077,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1333902_1335002,25.318822,24.235487,30.197562,2.344394,10.51176,20.254645,10.339412,5.836583,0.3805,0.0,6.486889,15.306453
chr1_1334608_1335708,25.318822,24.235487,30.197562,2.344394,10.51176,20.254645,16.407154000000002,5.836583,0.3805,0.0,8.245929499999999,15.306453
chr1_1341032_1342132,20.136499,23.855675,21.309497,2.344394,15.22393,16.760011,0.0,8.680909,0.0293,0.0,10.9089475,15.306453
chr1_1342593_1343693,20.136499,23.855675,21.309497,2.344394,9.498515,16.760011,7.1730220000000005,0.0,0.2861,0.0,4.102405,15.306453
chr1_1343476_1344576,20.136499,23.855675,21.309497,2.344394,0.0,16.760011,7.1730220000000005,9.495851,0.0,0.0,4.102405,15.306453
chr1_1369241_1370341,6.211463,5.306358,9.75221,0.0,0.0,9.9540225,0.0,8.016117,0.4913,0.0,0.0,0.0
chr1_1369853_1370953,6.211463,5.306358,9.75221,0.0,0.0,9.389079,10.63094,8.016117,0.4913,0.0,0.0,9.031344
chr1_137865_138965,9.2519915,10.74064025,3.930661,0.0,0.0,14.4422165,14.251003,0.0,0.0,0.0,0.0,13.205832999999998
chr1_1406143_1407243,15.105088,13.011656,17.669985999999994,0.0,0.0,21.161758,0.0,10.115146,0.2262,0.0,2.1070740000000003,11.478022
chr1_1446531_1447631,14.340589,23.914954,18.40335,0.0,14.317739999999999,15.8702,11.427022,6.605809,0.3979,0.0,2.7806610000000003,7.0074070000000015
chr1_1509355_1510455,22.945198,38.208928,30.871377000000006,2.4224330000000003,5.5730400000000015,31.257179,11.807072,2.19302,0.2065,0.0,2.7806610000000003,8.322797999999999
chr1_1510149_1511249,22.945198,38.208928,30.871377000000006,2.4224330000000003,4.8934,31.257179,11.807072,5.715298000000001,0.2065,0.0,2.7806610000000003,8.322797999999999
chr1_1535376_1536476,7.7203789999999985,0.0,5.557575,1.65195,0.0,0.0,0.0,5.733271,0.2777,0.0,0.0,0.0
chr1_1549795_1550895,18.30057,15.761807999999998,24.211927,1.65195,0.0,18.083189,0.0,7.279414999999998,0.2462,0.0,4.558942,5.44957
chr1_1551075_1552175,18.30057,15.761807999999998,24.211927,1.65195,4.71216,18.083189,0.0,6.018108,0.3983,0.0,0.0,5.44957
chr1_1589786_1590886,15.174589,13.494617000000002,13.316721,0.0,0.0,35.39272000000001,11.391944,0.0,0.3689,0.0,0.0,3.041938
chr1_1590373_1591473,11.29803375,15.743834333333332,10.627909666666667,0.0,0.0,21.167801333333333,13.095810333333333,0.0,0.1988,0.0,0.0,0.0
chr1_1624067_1625167,7.89872,14.628469,9.14265,0.0,0.0,6.619558500000001,10.979015,0.0,0.5317,0.0,0.0,0.0
chr1_1654951_1656051,12.997621,16.129440000000002,13.789404,2.2242610000000003,0.0,12.5632125,18.099462,0.0,0.3635,0.0,0.0,6.2262355000000005
chr1_1655666_1656766,12.744442999999999,12.188412666666665,14.3501845,2.2242610000000003,0.0,17.209321,21.56966,0.0,0.19535,0.0,0.0,0.0
chr1_1677331_1678431,8.303499,16.412453499999998,11.2021,2.2242610000000003,0.0,18.177002,14.402470999999998,0.0,0.5297,0.0,0.0,0.0
chr1_1711796_1712896,13.274832,13.597508,17.686485,2.2242610000000003,0.0,13.864192,11.934735,10.079697,0.04665,0.0,0.0,8.357634
chr1_1821910_1823010,11.191042,14.10385,13.595503,2.2242610000000003,0.0,12.094848,0.0,0.0,0.3313,0.0,0.0,6.830738
chr1_1822395_1823495,11.191042,14.10385,13.595503,2.2242610000000003,0.0,12.094848,0.0,9.781679,0.3313,0.0,0.0,6.830738
