name_E,DNaseI_E
chr1_1014834_1015095,0.2322
chr1_1060905_1061095,0.0448
chr1_1093610_1093958,0.3138
chr1_1136075_1136463,0.0326
chr1_1143531_1144198,0.3116
chr1_1173386_1173736,0.1232
chr1_1295535_1296332,0.0525
chr1_1368471_1368786,0.0449
chr1_1714020_1714715,0.0598
chr1_1840449_1840835,0.161
chr1_1952050_1952360,0.0265
chr1_2140151_2140337,0.061
chr1_2162325_2162996,0.0388
chr1_2171824_2171946,0.0289
chr1_2230678_2230895,0.0362
chr1_2232428_2232896,0.026
chr1_2246556_2246763,0.152
chr1_2254081_2254230,0.0323
chr1_2406489_2406881,0.0616
chr1_2478276_2478817,0.2021
chr1_2509702_2510198,0.0301
chr1_2574343_2574764,0.2894
chr1_2772559_2772713,0.027
chr1_3077832_3078221,0.02605
chr1_3086923_3087330,0.031
chr1_3133891_3134283,0.0292
chr1_3229711_3230157,0.2534
chr1_3237165_3237518,0.0286
chr1_3267475_3267612,0.0461
chr1_3309990_3310261,0.0252
chr1_3420761_3421065,0.2477
chr1_3421438_3421558,0.2477
chr1_3459907_3460197,0.1632
chr1_3463934_3464260,0.1049
chr1_3620035_3620325,0.0621
chr1_3634737_3634863,0.0385
chr1_3817648_3818071,0.2311
chr1_4079242_4079460,0.024
chr1_6053603_6054107,0.442
chr1_6230950_6231173,0.0748
chr1_6321567_6321961,0.1994
chr1_6336471_6336830,0.0255
chr1_6350184_6350543,0.0319
chr1_6373523_6373899,0.0234
chr1_6661008_6661639,0.1223
chr1_7289758_7290075,0.0229
chr1_7359415_7359679,0.0816
chr1_7461964_7462325,0.2099
chr1_7531062_7531540,0.2865
chr1_7538871_7539273,0.059
chr1_941791_942135,0.0866
chr1_956563_956812,0.1027
