name_E,DNaseI_E
chr10_1281519_1281707,0.0439
chr10_3028046_3028193,0.0375
chr10_3137708_3138098,0.1269
chr10_3524547_3524820,0.0585
chr10_3568141_3568290,0.0555
chr10_3598970_3599136,0.0248
chr10_3710838_3711066,0.1031
chr10_3782727_3783283,0.0601
chr10_3797195_3797502,0.0371
chr10_3807382_3807563,0.0489
chr10_3845250_3845852,0.0304
chr10_3845999_3846426,0.0302
chr10_3848037_3849536,0.036
chr10_3852273_3852886,0.0426
chr10_3867491_3867713,0.0294
chr10_3870489_3871262,0.0463
chr10_3878027_3878387,0.05
chr10_3911352_3911510,0.0307
chr10_4705159_4705783,0.0635
chr10_4855217_4855416,0.0419
chr10_4891874_4892173,0.0901
chr10_5113786_5114179,0.0954
chr10_5333644_5334212,0.0834
chr10_5336164_5336286,0.0416
chr10_5359534_5359986,0.0757
chr10_5553514_5553674,0.0391
chr10_556579_556951,0.1262
chr10_557102_557353,0.1262
chr10_5587810_5588190,0.0533
chr10_5590959_5591270,0.1924
chr10_5593718_5593999,0.1132
chr10_830904_831008,0.0326
chr1_100113534_100114036,0.0452
chr1_100494312_100494735,0.0267
chr1_1005293_1005547,0.5019
chr1_100678369_100678762,0.0307
chr1_100820585_100820838,0.0399
chr1_100828525_100828922,0.1346
chr1_100905821_100906168,0.0815
chr1_10127211_10127315,0.0309
chr1_1014834_1015095,0.2122
chr1_101774729_101775525,0.0659
chr1_10269964_10270260,0.3747
chr1_103126263_103126396,0.0467
chr1_1060905_1061095,0.0369
chr1_1063914_1064111,0.0298
chr1_10695291_10695734,0.0465
chr1_10700424_10700580,0.0491
chr1_10757179_10757344,0.5555
chr1_10813352_10813797,0.0404
chr1_10816030_10816223,0.0638
chr1_10853986_10854555,0.0374
chr1_108622242_108622251,0.2019
chr1_108661190_108661332,0.0361
chr1_108741685_108742156,0.0242
chr1_109104473_109104583,0.0441
chr1_109262615_109262764,0.0316
chr1_10927237_10927380,0.1989
chr1_1093610_1093958,0.5457
chr1_109800134_109800539,0.0384
chr1_109842394_109842833,0.027
chr1_109981518_109981703,0.0519
chr1_110333273_110333688,0.0872
chr1_110334849_110335164,0.0807
chr1_110336950_110337403,0.0307
chr1_110339466_110339959,0.0451
chr1_110363861_110364229,0.0255
chr1_110364881_110365302,0.141
chr1_110366477_110366702,0.1107
chr1_110406868_110407271,0.0441
chr1_110444415_110444738,0.1844
chr1_110672728_110673048,0.0495
chr1_110963862_110964269,0.0331
chr1_110976504_110976901,0.1184
chr1_112050044_112050594,0.1348
chr1_112058803_112059167,0.0571
chr1_112135698_112135869,0.1216
chr1_112438367_112438956,0.0269
chr1_112901525_112901779,0.0561
chr1_1136075_1136463,0.306
chr1_1136667_1137146,0.306
