name_E,H4k20me1_E
chr10_1100843_1101035,2.139439
chr10_1112826_1113160,2.139439
chr10_3133662_3133717,2.602042
chr10_3216614_3216797,1.9423810000000001
chr10_3734925_3735183,1.165427
chr10_3751135_3751444,1.165427
chr10_3762746_3763172,1.165427
chr10_3782727_3783283,1.165427
chr10_3797195_3797502,1.165427
chr10_3800307_3800531,1.165427
chr10_3807382_3807563,1.165427
chr10_3811743_3812009,1.165427
chr10_431640_432008,1.612579
chr10_556579_556951,1.8503040000000002
chr10_557102_557353,1.8503040000000002
chr10_564401_564761,1.8503040000000002
chr10_652657_652929,1.8083810000000002
chr10_699938_700531,2.026958
chr1_100494312_100494735,1.27934
chr1_100512510_100512716,1.27934
chr1_1005293_1005547,2.529923
chr1_101000887_101001063,1.991702
chr1_101313094_101313246,1.257127
chr1_101392986_101393260,1.257127
chr1_1014834_1015095,2.529923
chr1_101486133_101486158,1.257127
chr1_101577594_101578108,1.257127
chr1_101774729_101775525,1.6811740000000002
chr1_101776223_101776281,1.6811740000000002
chr1_10245595_10245867,1.4813889999999998
chr1_10261395_10261566,1.4813889999999998
chr1_10269964_10270260,1.4813889999999998
chr1_10496880_10497075,1.562967
chr1_10556105_10556527,1.562967
chr1_10557233_10557456,1.562967
chr1_10558276_10558621,1.562967
chr1_10585199_10585569,1.562967
chr1_10726049_10726261,2.000718
chr1_10757179_10757344,2.07199
chr1_10813352_10813797,1.641288
chr1_10816030_10816223,1.641288
chr1_108479405_108480123,5.33645
chr1_10849807_10850141,1.962034
chr1_108741685_108742156,1.9175200000000001
chr1_109246671_109246905,2.699325
chr1_109467804_109468470,1.255179
chr1_109515208_109515609,1.255179
chr1_109572587_109572654,1.255179
chr1_109938897_109939079,2.223446
chr1_110429456_110429734,1.7333830000000001
chr1_110444415_110444738,1.7333830000000001
chr1_110447199_110447636,1.7333830000000001
chr1_110448900_110449220,1.7333830000000001
chr1_110451717_110451917,1.7333830000000001
chr1_110454846_110455290,1.7333830000000001
chr1_11050864_11051128,1.516571
chr1_110537379_110537528,1.9879490000000002
chr1_110626726_110627062,2.0785669999999996
chr1_110672728_110673048,2.0785669999999996
chr1_110694968_110695154,2.0785669999999996
