name_E,DNaseI_E
chr1_1005293_1005547,0.3004
chr1_1014834_1015095,0.1473
chr1_1093610_1093958,0.4261
chr1_1136075_1136463,0.1284
chr1_1136667_1137146,0.1284
chr1_1143531_1144198,0.102
chr1_1173386_1173736,0.0419
chr1_1368471_1368786,0.239
chr1_1714020_1714715,0.0415
chr1_1840449_1840835,0.2549
chr1_1952050_1952360,0.0614
chr1_2162325_2162996,0.4747
chr1_2177615_2177829,0.0268
chr1_2190530_2190674,0.0523
chr1_2221868_2222548,0.1349
chr1_2231691_2232185,0.3652
chr1_2232428_2232896,0.3652
chr1_2246556_2246763,0.2461
chr1_2406489_2406881,0.0396
chr1_2478276_2478817,0.2971
chr1_2509702_2510198,0.2173
chr1_2574343_2574764,0.6481
chr1_3077832_3078221,0.0368
chr1_3133891_3134283,0.0322
chr1_3229711_3230157,0.0392
chr1_3237165_3237518,0.0343
chr1_3309990_3310261,0.0252
chr1_3459907_3460197,0.0363
chr1_3463934_3464260,0.0312
chr1_3581269_3581645,0.0268
chr1_3620035_3620325,0.0346
chr1_3634737_3634863,0.1101
chr1_3817648_3818071,0.3116
chr1_6053603_6054107,0.752
chr1_6054896_6055025,0.752
chr1_6088225_6088518,0.0924
chr1_6221566_6221669,0.0507
chr1_6230950_6231173,0.0257
chr1_6321567_6321961,0.222
chr1_6341896_6342142,0.0265
chr1_6350184_6350543,0.1477
chr1_6351007_6351537,0.1477
chr1_6359789_6360186,0.0341
chr1_6360191_6360625,0.0253
chr1_6362597_6362955,0.0254
chr1_6661008_6661639,0.1315
chr1_7461964_7462325,0.0266
chr1_7531062_7531540,0.0829
chr1_7538871_7539273,0.0884
chr1_858256_858648,0.0769
chr1_956563_956812,0.2379
