name_P,H3k27ac_P
chr1_1051641_1052741,5.332068
chr1_1101484_1102584,13.589489000000002
chr1_1149418_1150518,10.863004499999999
chr1_1166629_1167729,23.0499045
chr1_1167311_1168411,23.0499045
chr1_1186614_1187714,20.595251
chr1_1209165_1210265,13.048259
chr1_1209603_1210703,13.048259
chr1_1242947_1244047,11.266123
chr1_1244889_1245989,11.266123
chr1_1259136_1260236,17.843253
chr1_1259971_1261071,17.843253
chr1_1284630_1285730,8.2884
chr1_1310775_1311875,12.272897
chr1_1333902_1335002,15.245844
chr1_1334608_1335708,15.245844
chr1_1341032_1342132,17.577619
chr1_1342593_1343693,17.577619
chr1_1343476_1344576,17.577619
chr1_1354625_1355725,9.573392
chr1_1406143_1407243,8.29328125
chr1_1446531_1447631,15.786959
chr1_1475733_1476833,22.455861
chr1_1509355_1510455,20.043154
chr1_1510149_1511249,20.043154
chr1_1549795_1550895,20.340961
chr1_1551075_1552175,20.340961
chr1_1589786_1590886,37.418281
chr1_1590373_1591473,24.649132
chr1_1624067_1625167,15.051707
chr1_1654951_1656051,9.239241999999999
chr1_1655666_1656766,9.239241999999999
chr1_1677331_1678431,21.152861
chr1_1711796_1712896,22.123217
chr1_1821910_1823010,14.0412545
chr1_1822395_1823495,14.0412545
chr1_1949780_1950880,38.687763000000004
chr1_1980909_1982009,6.139327
chr1_1981409_1982509,6.139327
chr1_2120237_2121337,5.896045
chr1_2159134_2160234,16.139265
chr1_2322267_2323367,10.634103999999999
chr1_2323046_2324146,10.634103999999999
chr1_2345136_2346236,13.344981
chr1_2457939_2459039,10.5695585
chr1_2461584_2462684,14.438832000000001
chr1_2476904_2478004,34.594827
chr1_2486078_2487178,31.004694
chr1_2488370_2489470,31.004694
chr1_2511999_2513099,18.983297
chr1_2516930_2518030,22.532173
chr1_3540566_3541666,13.040594
chr1_3541207_3542307,13.040594
chr1_3568084_3569184,14.527060999999998
chr1_3569225_3570325,14.527060999999998
chr1_3585236_3586336,14.527060999999998
chr1_713150_714250,11.636453999999999
chr1_713906_715006,11.636453999999999
chr1_761988_763088,17.340813
chr1_762802_763902,17.340813
chr1_894589_895689,14.320926
chr1_933331_934431,13.284597
chr1_947803_948903,25.841711
chr1_948473_949573,25.841711
chr1_954503_955603,40.010393
chr1_998568_999668,13.72774
