name_E,H3k27ac_E
chr10_3133662_3133717,2.22404
chr10_3137708_3138098,2.38844
chr10_3509617_3509911,3.37819
chr10_3510310_3510716,3.37819
chr10_3511181_3511689,3.37819
chr10_3524547_3524820,2.6318599999999996
chr10_3526849_3527147,3.4569699999999997
chr10_3542742_3543014,7.053160000000001
chr10_3568141_3568290,3.98461
chr10_3710838_3711066,3.74131
chr10_3762746_3763172,3.8251699999999995
chr10_3782727_3783283,3.13632
chr10_3797195_3797502,3.02773
chr10_3848037_3849536,2.15305
chr10_3852273_3852886,3.83495
chr10_3853393_3854169,3.83495
chr10_3870489_3871262,3.59018
chr10_3878027_3878387,4.7832099999999995
chr10_3893365_3894190,2.85601
chr10_3928866_3929216,2.96622
chr10_3929991_3930887,2.96622
chr10_3936015_3936390,3.54092
chr10_3948614_3948936,3.41329
chr10_3984866_3985563,4.85384
chr10_3985648_3985956,4.85384
chr10_4163748_4164495,2.97155
chr10_4172866_4173257,5.3077
chr10_4173688_4174411,5.3077
chr10_4289203_4289519,3.61996
chr10_4358748_4358982,3.7872800000000004
chr10_4386754_4387085,4.35771
chr10_4414900_4415114,3.95676
chr10_4705159_4705783,3.60315
chr10_4712833_4713220,4.8505199999999995
chr10_4728868_4729211,2.67987
chr10_4813646_4813900,3.3177199999999996
chr10_4852300_4852352,3.5373
chr10_4891874_4892173,2.84039
chr10_4989909_4990226,4.51117
chr10_5113786_5114179,4.491569999999999
chr10_5333644_5334212,4.83012
chr10_556579_556951,4.9259900000000005
chr10_557102_557353,4.9259900000000005
chr10_5587810_5588190,3.6811800000000003
chr10_5590010_5590295,2.43716
chr10_5590959_5591270,2.43716
chr10_5607602_5608000,2.88576
chr10_830904_831008,4.8186
chr1_100996437_100996829,3.1581
chr1_101202267_101202571,2.6067099999999996
chr1_10127211_10127315,3.1666
chr1_101313094_101313246,4.30296
chr1_1014834_1015095,4.65287
chr1_10269964_10270260,4.0122599999999995
chr1_108661190_108661332,4.32185
