name_E,H3k9ac_E,Smc3_E,H3k27ac_E,H4k20me1_E,H3k4me1_E,H3k79me2_E,Ctcf_E,H3k4me3_E,H3k36me3_E,DNaseI_E,H3k4me2_E,H3k27me3_E
chr10_1100843_1101035,20.725546,0.0,15.222563,2.393363,6.965929,7.568444,0.0,20.119845,11.527101666666669,0.0,24.991444,0.0
chr10_3137708_3138098,20.459669,0.0,31.501663,0.0,4.541707,8.173663,1.636436,10.577793,4.615299,0.1269,15.256021,0.0
chr10_3710838_3711066,6.425543,0.0,12.449206,0.0,11.961742,0.0,5.419977,9.477646,0.0,0.1031,15.629896,0.0
chr10_3807382_3807563,8.301718,0.0,7.696477,1.560744,7.431653499999999,0.0,0.0,13.17497,2.973199,0.0489,13.969281,0.0
chr10_3839963_3840160,12.705155,0.0,0.0,0.0,8.236428,0.0,0.0,0.0,1.996782,0.0,0.0,0.0
chr10_3845250_3845852,12.705155,0.0,32.735589,0.0,8.236428,0.0,5.832391,9.179607,1.996782,0.0304,15.251139,0.0
chr10_3845999_3846426,12.705155,0.0,32.735589,0.0,8.236428,0.0,5.832391,9.179607,1.996782,0.0302,15.251139,0.0
chr10_3846443_3847038,12.705155,3.42371,32.735589,0.0,8.236428,0.0,0.0,9.179607,1.996782,0.0,15.251139,0.0
chr10_3848037_3849536,12.705155,0.0,32.735589,0.0,8.236428,0.0,0.0,9.179607,1.996782,0.036,15.251139,0.0
chr10_3850308_3850795,12.705155,0.0,32.735589,0.0,8.236428,0.0,0.0,9.90039,1.996782,0.0,15.251139,3.578994
chr10_3852273_3852886,12.705155,0.0,32.735589,0.0,8.236428,0.0,3.535797,9.90039,1.996782,0.0426,15.251139,0.0
chr10_3853393_3854169,12.705155,0.0,32.735589,0.0,8.236428,0.0,0.0,9.90039,1.996782,0.0,15.251139,0.0
chr10_3856317_3856712,12.705155,0.0,0.0,0.0,4.160065,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3867491_3867713,4.221343,0.0,0.0,0.0,5.8410925,0.0,0.0,0.0,0.0,0.0294,3.546354,0.0
chr10_3870489_3871262,12.08881,0.0,16.738126,0.0,5.8410925,0.0,0.0,17.133544,6.874064499999999,0.0463,13.338825,0.0
chr10_3878027_3878387,9.917924,0.0,8.041089,0.0,5.630857000000001,0.0,1.662964,12.765809,0.0,0.05,10.315931,0.0
chr10_3893365_3894190,8.13663,0.0,13.745174,0.0,7.1643145,0.0,0.0,8.686777,0.0,0.0,10.719512,0.0
chr10_3928866_3929216,3.255219,0.0,0.0,0.0,5.9554675,0.0,0.0,2.426467,0.0,0.0,16.359813,0.0
chr10_3929991_3930887,3.255219,0.0,0.0,0.0,5.9554675,0.0,0.0,2.426467,0.0,0.0,0.0,0.0
chr10_3932191_3932411,4.858247,0.0,7.319845,0.0,5.9554675,0.0,0.0,2.426467,0.0,0.0,8.64625,0.0
chr10_3936015_3936390,8.709406,0.0,4.826526,0.0,5.9554675,0.0,0.0,2.426467,0.0,0.0,11.619186,0.0
chr10_4705159_4705783,4.71554,0.0,6.761209,1.124652,11.280793,0.0,0.0,5.532845,0.0,0.0635,11.668692,1.658221
chr10_4891874_4892173,11.232872,17.65914,34.182928,0.0,13.111921,3.222488,115.735616,8.483607,2.66243,0.0901,16.061122,0.0
chr10_4989909_4990226,3.135114,0.0,0.0,0.0,3.585096,0.0,0.0,0.0,1.843232,0.0,0.0,0.0
chr10_5113786_5114179,12.981178,0.0,40.37603,0.0,10.932014,0.0,0.0,8.605256,5.879787,0.0954,15.980016,0.0
chr10_5333644_5334212,9.388852,0.0,17.868661,0.0,12.074708,0.0,0.0,3.5875325,1.891482,0.0834,16.927701,0.0
chr10_5359534_5359986,4.157959,0.0,12.312641,0.0,10.33797,0.0,0.0,0.0,0.0,0.0757,10.672932,0.0
chr10_5587810_5588190,5.507239,0.0,6.764241500000001,1.50033,10.446526,0.0,1.722754,2.836954,0.0,0.0533,0.0,0.0
chr10_5588881_5589169,5.507239,0.0,4.069833,1.50033,10.446526,0.0,1.722754,2.836954,0.0,0.0,12.853392,0.0
chr10_5590010_5590295,5.507239,0.0,9.1496245,1.50033,10.446526,0.0,1.722754,6.052505,0.0,0.0,12.853392,0.0
chr10_5590959_5591270,5.507239,3.01021,9.1496245,1.50033,10.446526,4.147854,1.722754,6.052505,0.0,0.1924,12.853392,0.0
chr10_5888274_5888577,7.927575,0.0,0.0,0.0,7.470504,0.0,0.0,0.0,0.0,0.0,12.070481,0.0
chr1_100000188_100000393,3.575394,0.0,0.0,0.0,6.048231,0.0,0.0,0.0,0.0,0.0,4.765984,0.0
chr1_100113534_100114036,10.917062,4.34969,9.957174,0.0,5.416693,3.443992,19.117451,9.670508,0.0,0.0452,14.092487,0.0
chr1_1005293_1005547,6.708567,0.0,3.317273,1.760547,5.576514,0.0,0.0,6.659984,0.0,0.5019,10.081361,0.0
chr1_100820585_100820838,9.0435175,0.0,7.83523,1.783438,6.523381,6.111813,0.0,10.859723,3.744142,0.0399,14.036718,0.0
chr1_100827551_100827774,9.8303885,0.0,7.83523,1.783438,6.523381,6.111813,0.0,9.6427605,3.744142,0.0,13.319219,0.0
chr1_100828525_100828922,9.8303885,0.0,7.83523,1.783438,6.523381,6.111813,0.0,9.6427605,3.744142,0.1346,13.319219,0.0
chr1_100905821_100906168,2.844947,0.0,4.080084,1.783438,6.965455000000001,6.111813,0.0,3.142824,3.744142,0.0815,10.880832,0.0
chr1_10127211_10127315,6.745762,0.0,8.601428,1.988155,9.248133,5.341301,0.0,7.122415,3.150884,0.0309,8.108036,0.0
chr1_1014834_1015095,10.025632,0.0,5.541582,1.760547,8.565115,0.0,0.0,8.743612,0.0,0.2122,12.54675,0.0
chr1_101725356_101725679,3.255043,0.0,0.0,0.0,5.97799,0.0,0.0,1.8312,0.0,0.0,0.0,0.0
chr1_10269964_10270260,7.905648,17.40146,7.283767,1.988155,0.0,4.537215,27.842465,16.612959,0.0,0.3747,23.585623,1.930257
chr1_103126263_103126396,6.731255,0.0,6.465502666666667,0.0,0.0,0.0,0.0,8.825083,0.0,0.0467,5.785785000000001,0.0
chr1_108741685_108742156,12.442002,0.0,8.924167,1.767679,4.335344,5.949752,4.472649,18.371418,2.215237,0.0242,24.328018,0.0
chr1_109100040_109100237,4.6722195,0.0,0.0,0.0,6.781,0.0,0.0,4.270969,2.047313,0.0,10.4936075,0.0
chr1_109104473_109104583,6.8913355,15.87638,9.957004,3.846299,6.781,6.220723,17.080878,13.0332245,2.047313,0.0441,16.1527005,0.0
chr1_109127044_109127234,2.677653,0.0,0.0,2.36412,5.1921015,3.489654,0.0,4.46453,2.047313,0.0,3.434447,0.0
chr1_109262615_109262764,6.192831,0.0,3.858684,3.81818,6.828979,0.0,0.0,0.0,0.0,0.0316,8.396744,2.384525
chr1_1093610_1093958,17.527932,0.0,19.339045,1.790919,4.701251,0.0,0.0,16.408805,0.0,0.5457,23.484675,0.0
chr1_109515208_109515609,4.002055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.889376,0.0,0.0,0.0
chr1_109841804_109842152,8.072667,0.0,8.448716,1.876137,4.711192,0.0,0.0,4.34396,4.539427,0.0,10.604192,1.632362
chr1_109913179_109913623,5.782774,0.0,11.895244,4.6421055,6.511045,16.116168,0.0,4.632536,4.539427,0.0,0.0,0.0
chr1_109933790_109934137,10.247573,0.0,18.284195,1.860581,8.451849,16.116168,1.956151,12.990334,4.539427,0.0,18.759479,0.0
chr1_109938897_109939079,10.247573,0.0,18.284195,4.344609,8.451849,16.116168,1.956151,12.990334,4.539427,0.0,18.759479,0.0
chr1_109981518_109981703,3.881619,0.0,9.333191,0.0,10.915515,0.0,0.0,0.0,0.0,0.0519,7.195702,2.474493
chr1_110160052_110160461,15.954663,0.0,9.188116,2.155552,6.369106,0.0,0.0,0.0,2.279106,0.0,0.0,0.0
chr1_110333273_110333688,4.624713,7.20418,6.282694,1.784161,7.732495999999999,0.0,11.69707,0.0,0.0,0.0872,7.0703895,0.0
chr1_110334849_110335164,4.624713,14.03676,6.282694,1.784161,7.732495999999999,0.0,11.69707,6.264874,0.0,0.0807,5.1809215,0.0
chr1_110335775_110336041,4.624713,0.0,6.282694,1.784161,7.732495999999999,0.0,11.69707,5.307469,0.0,0.0,5.1809215,0.0
chr1_110336950_110337403,4.624713,0.0,6.282694,1.784161,7.732495999999999,0.0,0.0,5.307469,0.0,0.0307,5.1809215,0.0
chr1_110339466_110339959,8.917475,0.0,10.788932,0.0,7.732495999999999,0.0,0.0,4.250145,0.0,0.0451,5.300167,0.0
chr1_110363861_110364229,8.3591095,0.0,15.097315,0.0,9.560521,0.0,0.0,2.685031,0.0,0.0255,12.253936,0.0
chr1_110364881_110365302,8.3591095,7.24949,15.097315,0.0,9.560521,0.0,0.0,6.1652475,0.0,0.141,12.253936,0.0
chr1_110366477_110366702,8.3591095,7.24949,15.097315,0.0,9.560521,2.69491,3.131585,6.013698,4.358167,0.1107,12.253936,0.0
chr1_110406868_110407271,6.371807,0.0,9.908984,0.0,5.558775499999999,0.0,0.0,10.513114,0.0,0.0441,8.200372,0.0
chr1_110420039_110420145,3.031759,0.0,4.584823,0.0,4.651877,0.0,12.531894,0.0,0.0,0.0,0.0,0.0
chr1_110429456_110429734,3.031759,0.0,4.584823,1.59491,7.166852499999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0
