name_E,Ctcf_E
chr10_1100843_1101035,1.100408
chr10_1112826_1113160,1.100408
chr10_3526849_3527147,4.182188
chr10_3800307_3800531,1.797279
chr10_3929991_3930887,11.77471
chr10_3944367_3944901,9.411318
chr10_4891874_4892173,45.329232
chr10_5336164_5336286,10.305008
chr10_556579_556951,40.867303
chr10_557102_557353,40.867303
chr10_830904_831008,1.100408
chr10_990446_990769,1.100408
chr1_101577594_101578108,8.182429
chr1_101774729_101775525,36.838657
chr1_10269964_10270260,30.161558
chr1_108478082_108478329,10.299686
chr1_109104473_109104583,34.485116
chr1_10927237_10927380,18.372412
chr1_110160052_110160461,9.728485
chr1_110333273_110333688,15.497648
chr1_110358971_110359415,3.330949
chr1_110672728_110673048,10.107706
chr1_111162611_111162919,24.720513
chr1_111170436_111170835,3.269601
chr1_111329904_111330079,3.599762
chr1_111417124_111417532,1.799589
chr1_111735402_111735659,2.852063
chr1_111735691_111736003,2.852063
chr1_111757482_111757860,2.852063
chr1_111758440_111759106,2.852063
chr1_111764327_111764759,6.987862
chr1_112013331_112014031,2.22303
chr1_112048437_112048734,4.516282
chr1_112050044_112050594,21.358607
chr1_112058341_112058601,11.41052
chr1_112058803_112059167,11.41052
chr1_112286281_112286588,3.320768
chr1_112291453_112291811,3.320768
chr1_112901525_112901779,31.970989
chr1_113683682_113683919,33.759516
chr1_11376903_11377179,1.478955
chr1_114575620_114575801,13.699775
chr1_116088478_116088732,8.869731
chr1_116918925_116919548,1.83109
chr1_116920378_116921129,1.83109
chr1_116923407_116923493,1.83109
chr1_117100772_117101124,2.838417
chr1_117111804_117112156,2.838417
chr1_117112460_117112738,12.8854775
chr1_117424835_117425013,13.958261
chr1_118197244_118197521,1.906852
chr1_118197868_118198044,1.906852
chr1_118198788_118199247,1.906852
chr1_11968510_11969143,21.221201
chr1_12112067_12112502,2.577407
chr1_12124472_12125118,7.576831
chr1_12127865_12128182,2.577407
chr1_12210430_12211346,1.545637
chr1_12213128_12213883,1.545637
chr1_12221931_12222397,1.545637
chr1_12225396_12225718,1.545637
chr1_12227833_12229578,1.545637
chr1_12231693_12231881,1.545637
chr1_12232096_12232448,1.545637
chr1_12233600_12234159,1.545637
chr1_12243852_12244671,7.76652
chr1_14029077_14029879,3.58262
chr1_14154959_14155163,24.581363
chr1_142538903_142539547,8.711425
chr1_144533627_144534178,6.131384
chr1_144536201_144536370,3.126854
chr1_144871122_144871347,2.058837
chr1_144908312_144908601,2.058837
chr1_144908806_144909147,2.058837
chr1_144927217_144927550,4.720603
chr1_144986415_144987071,2.058837
chr1_144987154_144987391,2.058837
chr1_144988079_144988414,2.058837
chr1_145009158_145009716,2.058837
chr1_145012331_145013054,2.058837
chr1_145023690_145024549,2.058837
chr1_145042783_145043227,2.058837
chr1_145054975_145055306,2.058837
chr1_145058996_145059322,24.886291999999997
chr1_145064438_145064839,2.058837
chr1_145090155_145090603,2.058837
chr1_145092450_145092883,6.612723
chr1_145113904_145114998,8.728638
chr1_145455122_145455741,11.628875
chr1_148000699_148000802,10.62758
chr1_149981648_149981889,1.581033
chr1_149984633_149984917,1.581033
chr1_150135231_150135764,8.4426555
chr1_150185878_150186128,9.0503505
chr1_150294873_150295138,3.136301
chr1_150592182_150592667,10.331644
chr1_150949569_150950014,2.981988
chr1_151485676_151485841,2.297449
chr1_151486181_151486300,2.297449
chr1_151809390_151809745,21.296796
chr1_152006910_152007460,23.343989
chr1_152007615_152008057,23.343989
chr1_153541018_153541368,48.633852
chr1_154579303_154579782,1.504046
chr1_154582047_154582244,1.504046
chr1_154910155_154910399,7.683536
chr1_154973335_154973935,6.581666
chr1_155830201_155830522,4.300757
chr1_155944562_155945214,4.045392
chr1_155945743_155946196,4.045392
chr1_155946363_155946660,4.045392
chr1_156066868_156067143,24.196273
chr1_156426931_156427503,7.449859
chr1_156468556_156468776,2.419505
chr1_156472693_156472952,2.419505
chr1_156473111_156473378,2.419505
chr1_156474686_156475018,2.419505
chr1_156629760_156630406,35.929088
chr1_157106691_157107326,3.575428
chr1_15742467_15743324,4.182047
chr1_158253654_158254229,4.671291
chr1_158942717_158942925,14.94355
chr1_159798443_159799254,19.127343
chr1_159892447_159892988,1.876809
chr1_160316870_160317108,1.776157
chr1_160332348_160332525,1.776157
chr1_160510042_160510238,2.493364
chr1_160537909_160538272,1.543222
chr1_160544770_160545265,1.543222
chr1_160546217_160546501,1.543222
chr1_160546747_160547109,1.543222
chr1_160615019_160615411,1.924476
chr1_160674845_160675222,9.305508
chr1_160677742_160679048,3.163937
chr1_160696081_160696317,34.981815
chr1_160711095_160711588,2.784405
chr1_160712184_160712818,2.784405
chr1_160713171_160713322,2.784405
chr1_160714037_160714549,6.0855915
chr1_160737478_160737714,30.12547
chr1_160807359_160807588,13.192007
chr1_161352257_161352597,20.092033
chr1_161706477_161706712,3.361037
chr1_161709776_161710006,3.361037
chr1_162603017_162603226,9.663412
chr1_16277350_16278224,12.32351
chr1_165797615_165798367,5.321642
chr1_167602083_167602470,1.597675
chr1_167635730_167635903,2.022349
chr1_167649050_167649342,2.022349
chr1_167683554_167683813,3.339864
chr1_168050664_168051125,13.099532
chr1_17027024_17027386,4.607973
chr1_172324588_172324814,1.789219
chr1_172327070_172327187,1.789219
chr1_172327558_172328156,1.789219
chr1_172369341_172369683,10.665291
chr1_173164805_173165199,1.91441
chr1_173398914_173399297,26.039197
chr1_175094142_175094504,31.527817
chr1_175158150_175158288,1.749268
chr1_175160901_175161109,1.749268
chr1_176501841_176501939,1.157512
chr1_177150553_177151051,26.579524
chr1_178550500_178550885,7.407453
chr1_181056649_181057124,1.886345
chr1_181060502_181060611,1.886345
chr1_181065454_181065797,1.886345
chr1_181068595_181069000,1.886345
chr1_181074349_181074924,1.886345
chr1_181075648_181075933,1.886345
chr1_181096103_181096331,3.703469
chr1_181097947_181098672,5.1214845
chr1_181100547_181100997,3.703469
chr1_181104473_181105818,5.217226500000001
chr1_181110732_181111003,5.391873
chr1_181122099_181122260,16.360381
chr1_181451162_181451821,2.751725
chr1_181454376_181454805,2.751725
chr1_181998739_181999134,11.565417
chr1_182764012_182764230,4.154171
chr1_183549376_183549721,11.357989
chr1_183557915_183558504,1.794145
chr1_183562649_183562759,1.794145
chr1_183578502_183578873,23.866555
chr1_183762956_183763089,1.256172
chr1_183776671_183777014,1.256172
chr1_183811794_183811833,1.256172
chr1_183836661_183836955,1.256172
chr1_183846576_183846867,1.256172
chr1_183855028_183855346,1.256172
chr1_183861530_183861762,1.256172
chr1_183865521_183866190,1.256172
