name_P,Smc3_P
chr1_1051641_1052741,5.79959
chr1_1166629_1167729,5.43711
chr1_1167311_1168411,5.43711
chr1_1209165_1210265,9.51495
chr1_1209603_1210703,9.51495
chr1_1242947_1244047,4.34969
chr1_1244889_1245989,10.149280000000001
chr1_1259136_1260236,5.79959
chr1_1284630_1285730,20.5371
chr1_1310775_1311875,9.42433
chr1_1333902_1335002,10.51176
chr1_1334608_1335708,10.51176
chr1_1341032_1342132,15.22393
chr1_1342593_1343693,9.498515
chr1_1446531_1447631,14.31774
chr1_1509355_1510455,5.573040000000001
chr1_1510149_1511249,4.8934
chr1_1551075_1552175,4.71216
chr1_1850612_1851712,11.96166
chr1_2120237_2121337,14.1365
chr1_2143913_2145013,12.6866
chr1_2144059_2145159,12.6866
chr1_2322267_2323367,8.4819
chr1_2323046_2324146,11.3092
chr1_2345136_2346236,18.690089999999998
chr1_2486078_2487178,23.19837
chr1_2516930_2518030,10.87423
chr1_2718186_2719286,24.19517
chr1_3369990_3371090,12.052275
chr1_3540566_3541666,9.786810000000001
chr1_3541207_3542307,9.243095
chr1_568756_569856,72.85738
chr1_713150_714250,13.48405
chr1_713906_715006,13.48405
chr1_839214_840314,29.63229
chr1_856296_857396,20.62725
chr1_859260_860360,11.41794
chr1_935452_936552,12.689485000000001
chr1_954503_955603,7.611960000000001
chr1_994114_995214,22.984460000000002
chr1_998568_999668,24.28579
