name_E,Pol2_E
chr1_1014834_1015095,3.24209
chr1_1093610_1093958,3.7606699999999997
chr1_1136075_1136463,3.7907599999999997
chr1_1136667_1137146,3.7907599999999997
chr1_1143531_1144198,2.51097
chr1_1840449_1840835,8.90863
chr1_2162325_2162996,2.45414
chr1_2177615_2177829,2.46907
chr1_2221868_2222548,2.21397
chr1_2231691_2232185,3.10204
chr1_2232428_2232896,3.10204
chr1_2253622_2253773,1.8733400000000002
chr1_2478276_2478817,3.82401
chr1_3229711_3230157,3.17864
chr1_3231556_3231634,3.17864
chr1_3459907_3460197,2.48684
chr1_3817648_3818071,2.2404
chr1_6661008_6661639,7.05905
chr1_7327634_7328033,2.49072
chr1_7359415_7359679,4.43577
chr1_7461964_7462325,1.77345
chr1_7531062_7531540,4.45594
chr1_7538871_7539273,3.06659
chr1_956563_956812,2.54472
