name_P,H3k9ac_P
chr1_1051641_1052741,4.9937309999999995
chr1_1166629_1167729,17.127553
chr1_1167311_1168411,17.127553
chr1_1209165_1210265,10.128706
chr1_1209603_1210703,10.128706
chr1_1242947_1244047,6.2446545
chr1_1244889_1245989,7.092908
chr1_1259136_1260236,13.903478
chr1_1259971_1261071,12.465122000000001
chr1_1284630_1285730,13.195020999999999
chr1_1310775_1311875,14.592531
chr1_1333902_1335002,12.318710000000001
chr1_1334608_1335708,12.318710000000001
chr1_1341032_1342132,11.793482000000001
chr1_1342593_1343693,11.793482000000001
chr1_1343476_1344576,11.793482000000001
chr1_1406143_1407243,15.133671000000001
chr1_1446531_1447631,20.218864
chr1_1509355_1510455,20.447415
chr1_1510149_1511249,20.447415
chr1_1549795_1550895,9.135786
chr1_1551075_1552175,9.135786
chr1_1589786_1590886,18.611877999999997
chr1_1590373_1591473,22.146476
chr1_1624067_1625167,15.592826
chr1_1654951_1656051,14.304031
chr1_1655666_1656766,14.304031
chr1_1677331_1678431,14.032352
chr1_1821910_1823010,21.034893
chr1_1980909_1982009,13.917848999999999
chr1_1981409_1982509,14.576975000000001
chr1_2120237_2121337,10.1633335
chr1_2142962_2144062,13.229161999999999
chr1_2143913_2145013,13.229161999999999
chr1_2144059_2145159,13.229161999999999
chr1_2159134_2160234,12.3941895
chr1_2322267_2323367,19.190045
chr1_2323046_2324146,19.341871
chr1_2345136_2346236,10.223723
chr1_2457939_2459039,11.009685000000001
chr1_2488370_2489470,10.498565
chr1_2516930_2518030,13.090795
chr1_3540566_3541666,6.065549
chr1_3541207_3542307,5.6456265000000005
chr1_3630762_3631862,1.605988
chr1_713150_714250,17.048621
chr1_713906_715006,18.421737
chr1_751751_752851,7.641769000000001
chr1_752992_754092,1.862396
chr1_761988_763088,8.0811975
chr1_762802_763902,8.0811975
chr1_894589_895689,20.199962
chr1_900877_901977,12.359375
chr1_935452_936552,11.197937
chr1_947803_948903,13.728418
chr1_948473_949573,13.728418
chr1_954503_955603,6.883292
