name_E,H3k27ac_E
chr10_1100843_1101035,15.222563
chr10_3094057_3094288,12.311867
chr10_3133662_3133717,3.698109
chr10_3137708_3138098,31.501663
chr10_3284966_3285255,5.424007
chr10_3598970_3599136,14.700977
chr10_3710838_3711066,12.449206
chr10_3782727_3783283,5.779824
chr10_3807382_3807563,7.696477
chr10_3845250_3845852,32.735589
chr10_3845999_3846426,32.735589
chr10_3846443_3847038,32.735589
chr10_3848037_3849536,32.735589
chr10_3850308_3850795,32.735589
chr10_3852273_3852886,32.735589
chr10_3853393_3854169,32.735589
chr10_3870489_3871262,16.738126
chr10_3878027_3878387,8.041089
chr10_3893365_3894190,13.745174
chr10_3932191_3932411,7.319845
chr10_3936015_3936390,4.826526
chr10_3984866_3985563,5.241517
chr10_4705159_4705783,6.761209
chr10_4855217_4855416,3.926372
chr10_4891874_4892173,34.182928
chr10_5113786_5114179,40.37603
chr10_5333644_5334212,17.868661
chr10_5334474_5334640,17.868661
chr10_5359534_5359986,12.312641
chr10_5577499_5577735,4.069833
chr10_5587810_5588190,6.764241500000001
chr10_5588881_5589169,4.069833
chr10_5590010_5590295,9.1496245
chr10_5590959_5591270,9.1496245
chr10_5593718_5593999,4.069833
chr10_5596279_5596669,4.069833
chr1_100113534_100114036,9.957174
chr1_1005293_1005547,3.317273
chr1_100820585_100820838,7.83523
chr1_100827551_100827774,7.83523
chr1_100828525_100828922,7.83523
chr1_100905821_100906168,4.080084
chr1_10127211_10127315,8.601428
chr1_1014834_1015095,5.541582
chr1_101577594_101578108,9.17365
chr1_10269964_10270260,7.283767
chr1_103126263_103126396,6.465502666666667
chr1_108741685_108742156,8.924167
chr1_109104473_109104583,9.957004
chr1_109189516_109189718,2.918847
chr1_109262615_109262764,3.858684
chr1_1093610_1093958,19.339045
chr1_109800134_109800539,6.934879
chr1_109841804_109842152,8.448716
chr1_109842394_109842833,4.983743
chr1_109913179_109913623,11.895244
chr1_109933790_109934137,18.284195
chr1_109938897_109939079,18.284195
chr1_109981518_109981703,9.333191
chr1_110160052_110160461,9.188116
chr1_110333273_110333688,6.282694
chr1_110334849_110335164,6.282694
chr1_110335775_110336041,6.282694
chr1_110336950_110337403,6.282694
chr1_110339466_110339959,10.788931999999999
chr1_110363861_110364229,15.097315
chr1_110364881_110365302,15.097315
chr1_110366477_110366702,15.097315
chr1_110406868_110407271,9.908984
chr1_110420039_110420145,4.584823
chr1_110429456_110429734,4.584823
chr1_110444415_110444738,4.96314
