name_E,H3k4me1_E
chr1_1005293_1005547,5.5765139999999995
chr1_1014834_1015095,8.565114999999999
chr1_1093610_1093958,4.701251
chr1_1136075_1136463,6.069087000000001
chr1_1143531_1144198,9.185646
chr1_1295535_1296332,4.8510800000000005
chr1_1368471_1368786,8.016117
chr1_1714020_1714715,10.079697
chr1_1814762_1815124,12.335543
chr1_2162325_2162996,6.4402025
chr1_2171824_2171946,3.983068
chr1_2172142_2172385,3.983068
chr1_2190530_2190674,4.8816180000000005
chr1_2221868_2222548,5.24563
chr1_2478276_2478817,9.738202000000001
chr1_2509702_2510198,4.622257
chr1_3229711_3230157,8.911389
chr1_6053603_6054107,6.283515
chr1_6054896_6055025,6.283515
chr1_6321567_6321961,1.7635580000000002
chr1_6336471_6336830,6.374942
chr1_6373523_6373899,7.7251710000000005
chr1_6661008_6661639,6.52985
chr1_858256_858648,2.578462
chr1_941791_942135,8.2778725
chr1_956563_956812,6.040724
