name_P,H3k27ac_P
chr1_1009587_1010687,5.626129
chr1_1166629_1167729,14.017778
chr1_1167311_1168411,14.017778
chr1_1209165_1210265,6.963935500000001
chr1_1209603_1210703,6.963935500000001
chr1_1214816_1215916,2.145061
chr1_1242947_1244047,10.971179
chr1_1244889_1245989,10.971179
chr1_1253969_1255069,9.053034
chr1_1259136_1260236,12.193287
chr1_1259971_1261071,12.193287
chr1_1265694_1266794,10.501339999999999
chr1_1284630_1285730,17.647584
chr1_1310775_1311875,15.164098000000001
chr1_1333902_1335002,14.268776
chr1_1334608_1335708,14.268776
chr1_1341032_1342132,15.041998999999999
chr1_1342593_1343693,15.041998999999999
chr1_1343476_1344576,15.041998999999999
chr1_1406143_1407243,8.958055
chr1_1446531_1447631,18.979495999999997
chr1_1509355_1510455,29.620603000000003
chr1_1510149_1511249,29.620603000000003
chr1_1549795_1550895,14.628561999999999
chr1_1551075_1552175,14.628561999999999
chr1_1589786_1590886,22.580602000000003
chr1_1590373_1591473,21.038906333333333
chr1_1624067_1625167,18.916147
chr1_1654951_1656051,22.466079
chr1_1655666_1656766,18.2157395
chr1_1677331_1678431,14.272332
chr1_1711796_1712896,10.120409
chr1_1821910_1823010,23.943331
chr1_1822395_1823495,16.3285185
chr1_1850612_1851712,2.661245
chr1_1980909_1982009,7.369077000000001
chr1_1981409_1982509,7.512264500000001
chr1_2142962_2144062,34.885368
chr1_2143913_2145013,34.885368
chr1_2144059_2145159,34.885368
chr1_2145520_2146620,34.885368
chr1_2159134_2160234,10.058061
chr1_2322267_2323367,14.91472
chr1_2323046_2324146,14.91472
chr1_2345136_2346236,14.645348
chr1_2424597_2425697,3.547471
chr1_2425818_2426918,3.547471
chr1_2457939_2459039,9.0631735
chr1_2476904_2478004,7.211671000000001
chr1_2516930_2518030,8.661259
chr1_3369990_3371090,7.027225
chr1_3540566_3541666,9.047759
chr1_3541207_3542307,8.6097755
chr1_713150_714250,8.613033
chr1_713906_715006,8.613033
chr1_761988_763088,15.067321
chr1_762802_763902,15.067321
chr1_859260_860360,5.182904
chr1_894589_895689,17.889013000000002
chr1_900877_901977,17.483083999999998
chr1_933331_934431,20.862444
chr1_935452_936552,20.862444
chr1_947803_948903,13.60118
chr1_948473_949573,13.60118
chr1_954503_955603,11.284781
chr1_994114_995214,3.87989
chr1_998568_999668,5.419936
