name_E,H3k79me2_E
chr1_1714020_1714715,16.996735
chr1_1772108_1772256,16.996735
chr1_1793829_1793862,16.996735
chr1_1814762_1815124,16.996735
chr1_2162325_2162996,19.443424
chr1_2171824_2171946,19.443424
chr1_2172142_2172385,19.443424
chr1_2177615_2177829,19.443424
chr1_2190530_2190674,19.443424
chr1_2221868_2222548,19.443424
chr1_2230678_2230895,19.443424
chr1_2231691_2232185,19.443424
chr1_2232428_2232896,19.443424
chr1_2246556_2246763,19.443424
chr1_2478276_2478817,3.1753
chr1_3817648_3818071,11.354719000000001
chr1_6053603_6054107,1.678405
chr1_6054896_6055025,1.678405
chr1_6661008_6661639,10.263721
