name_E,H3k27me3_E,H3k27ac_E,Pol2_E,H3k36me3_E,H3k9ac_E,H3k79me2_E,H4k20me1_E,DNaseI_E,H3k4me2_E,Ctcf_E,H3k4me3_E,H3k4me1_E
chr10_1240958_1241356,1.709101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3094057_3094288,2.177238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3283578_3283803,2.24322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776995
chr10_3284966_3285255,2.24322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.776995
chr10_3306877_3306999,2.24322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3441336_3441600,1.865643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3634689_3634961,1.703687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_5553514_5553674,3.891669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_556579_556951,1.811687,0.0,0.0,0.0,5.138373,0.0,1.850304,16.0,7.726304,63.473,5.428069,7.09835
chr10_557102_557353,1.811687,0.0,0.0,0.0,5.138373,0.0,1.850304,61.0,7.726304,63.473,0.0,7.09835
chr10_5883027_5883237,1.903039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_830904_831008,2.368777,0.0,3.328529,0.0,5.0149,0.0,0.0,39.0,8.3787925,17.247584,13.434968,0.0
chr10_990446_990769,2.199013,3.282301,0.0,0.0,9.309522,0.0,0.0,41.0,12.29115,0.0,5.444571,10.965932
chr1_1005293_1005547,4.58371,0.0,0.0,0.0,3.448802,0.0,2.529923,29.0,8.432566,0.0,0.0,2.5350085
chr1_100996437_100996829,4.007417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_101000887_101001063,4.007417,0.0,0.0,0.0,0.0,0.0,1.991702,0.0,0.0,0.0,0.0,0.0
chr1_1014834_1015095,3.156103,6.700595,5.508389,0.0,10.00079,0.0,2.529923,153.0,8.211755,0.0,10.066729,6.689671
chr1_101764288_101764549,2.447859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_101774729_101775525,8.1798335,0.0,0.0,0.0,0.0,0.0,1.681174,23.0,18.965868,54.593208,10.567209,6.144679999999999
chr1_101776223_101776281,2.447859,0.0,0.0,0.0,0.0,0.0,1.681174,0.0,0.0,0.0,0.0,1.894927
chr1_10261395_10261566,6.131837,0.0,0.0,2.297697,0.0,0.0,1.481389,0.0,0.0,0.0,0.0,0.0
chr1_103572619_103572906,6.740046,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.533649,0.0,12.2388,7.054694
chr1_1060905_1061095,3.298329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1063914_1064111,3.298329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_10757179_10757344,6.049883,0.0,1.694462,2.297697,0.0,1.766333,2.07199,0.0,0.0,0.0,0.0,5.577803
chr1_10849807_10850141,2.88922,0.0,0.0,0.0,0.0,2.796135,1.962034,0.0,0.0,0.0,0.0,0.0
chr1_10853986_10854555,8.5028065,0.0,0.0,0.0,5.451051,2.796135,0.0,34.0,12.107538,13.291895,9.578351,3.988029
chr1_10927237_10927380,2.333538,0.0,0.0,0.0,4.430451,0.0,0.0,56.0,9.233592,12.541546,5.130055,0.0
chr1_109841804_109842152,2.264105,4.893853,0.0,0.0,0.0,0.0,0.0,40.0,5.466663,0.0,3.678106,7.882445
chr1_109842394_109842833,2.264105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466663,0.0,0.0,7.882445
chr1_109913179_109913623,2.043801,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,7.993434
chr1_109938897_109939079,11.744686,0.0,0.0,3.024056,0.0,0.0,2.223446,0.0,7.239577,0.0,0.0,0.0
chr1_109981518_109981703,4.251371,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
chr1_110336950_110337403,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.067695
chr1_110339466_110339959,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110358971_110359415,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110363861_110364229,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.594238,0.0,0.0,7.727233
chr1_110364881_110365302,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.594238,0.0,0.0,7.727233
chr1_110366477_110366702,2.064844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.594238,0.0,0.0,4.635278
chr1_110406868_110407271,4.406994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110420039_110420145,3.235963,0.0,0.0,0.0,0.0,0.0,0.0,18.0,5.007392,0.0,0.0,0.0
chr1_110429456_110429734,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,0.0,0.0,0.0,0.0,0.0
chr1_110444415_110444738,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,32.0,0.0,0.0,0.0,6.63792
chr1_110447199_110447636,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,0.0,0.0,0.0,0.0,0.0
chr1_110448900_110449220,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,0.0,0.0,0.0,0.0,0.0
chr1_110451717_110451917,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,0.0,0.0,0.0,0.0,0.0
chr1_110454846_110455290,3.235963,0.0,0.0,0.0,0.0,0.0,1.733383,0.0,7.856217,0.0,0.0,0.0
chr1_110476602_110476703,1.979517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_11050864_11051128,2.486854,0.0,0.0,0.0,0.0,0.0,1.516571,12.0,0.0,0.0,0.0,0.0
chr1_110626726_110627062,8.686378,0.0,0.0,0.0,0.0,0.0,2.078567,10.0,8.181086,0.0,10.064008,4.913335
chr1_110672728_110673048,5.153956,0.0,0.0,0.0,0.0,0.0,2.078567,19.0,0.0,14.283827,0.0,0.0
chr1_110694968_110695154,5.153956,0.0,0.0,0.0,0.0,0.0,2.078567,18.0,0.0,0.0,0.0,0.0
chr1_110711375_110711549,5.153956,0.0,0.0,0.0,0.0,0.0,2.078567,0.0,0.0,0.0,0.0,0.0
chr1_110963862_110964269,2.932165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110976504_110976901,2.932165,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,10.946266,0.0,0.0
chr1_111053467_111053812,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111057770_111058076,3.247215,0.0,0.0,0.0,0.0,0.0,1.9044,0.0,0.0,0.0,0.0,0.0
chr1_111162611_111162919,7.228874,0.0,0.0,0.0,0.0,0.0,2.092463,0.0,0.0,0.0,0.0,0.0
chr1_111163364_111163623,7.228874,0.0,0.0,0.0,0.0,0.0,2.092463,0.0,0.0,0.0,0.0,0.0
chr1_111170436_111170835,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111177471_111177854,3.247215,0.0,0.0,0.0,0.0,0.0,2.006862,42.0,0.0,0.0,0.0,3.034822
chr1_111178912_111179243,3.247215,0.0,0.0,0.0,0.0,0.0,2.006862,0.0,0.0,0.0,0.0,0.0
chr1_111182665_111183078,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111189973_111190443,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111211165_111211475,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111212876_111213052,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111249875_111250151,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111329904_111330079,3.247215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111417124_111417532,2.03064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_112048437_112048734,2.608464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.655136
chr1_112050044_112050594,2.608464,0.0,0.0,0.0,8.718161,0.0,0.0,17.0,11.142198,34.101212,9.899656,3.6522
chr1_112058341_112058601,2.608464,0.0,0.0,0.0,0.0,0.0,0.0,34.0,7.190065,20.459775,10.315608,4.477068
chr1_112058803_112059167,2.608464,0.0,0.0,0.0,0.0,0.0,0.0,26.0,7.190065,20.459775,10.315608,4.477068
chr1_112276731_112276883,2.235965,5.067934,0.0,2.482483,0.0,0.0,2.083022,0.0,0.0,0.0,0.0,5.94842
chr1_112286281_112286588,2.235965,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0
chr1_112291453_112291811,2.235965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_112438367_112438956,2.235965,0.0,0.0,0.0,0.0,0.0,1.772969,18.0,0.0,0.0,0.0,0.0
chr1_112901525_112901779,2.235965,0.0,5.394366,0.0,0.0,0.0,0.0,53.0,0.0,35.102535,0.0,10.556846
chr1_112918897_112919196,2.235965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_112942216_112942335,2.235965,0.0,0.0,2.827316,0.0,6.248723,2.006121,0.0,17.401965,0.0,0.0,7.213396
chr1_1136075_1136463,4.290325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_1136667_1137146,4.290325,0.0,0.0,0.0,4.945909,0.0,0.0,35.5,10.892559,0.0,0.0,0.0
chr1_113732794_113733063,2.286423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_113734243_113734639,2.286423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_11415566_11415939,3.243789,0.0,0.0,0.0,0.0,0.0,1.674305,0.0,0.0,0.0,0.0,0.0
chr1_1143531_1144198,4.290325,0.0,0.0,0.0,0.0,0.0,2.058531,50.0,9.952106,0.0,0.0,0.0
chr1_114575620_114575801,2.264388,0.0,3.959984,0.0,0.0,0.0,3.568736,75.0,10.002996,23.416768,0.0,8.309122
chr1_114665635_114666029,4.111476,11.111722,5.961792,0.0,5.303986,0.0,0.0,83.0,9.326548,0.0,0.0,7.333824
chr1_11559549_11559947,3.243789,0.0,0.0,0.0,0.0,0.0,1.656151,0.0,0.0,0.0,0.0,0.0
chr1_115873164_115873576,1.820108,6.413128,2.72939,0.0,5.329966,1.425951,0.0,50.0,7.7361585,22.720534,15.252364,7.397252
chr1_117017908_117018073,2.271123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_117030831_117031034,2.271123,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,13.196058
chr1_1173386_1173736,13.88376,0.0,2.087635,0.0,8.679890499999999,4.954655,2.058531,26.0,8.85601,0.0,3.499074,4.569777
chr1_11753086_11753651,11.411115,0.0,0.0,0.0,0.0,0.0,1.656151,96.0,10.3446805,0.0,1.86829,8.885345
