name_P,H4k20me1_P
chr1_1009587_1010687,2.529923
chr1_1051641_1052741,2.529923
chr1_1101484_1102584,2.386882
chr1_1102243_1103343,2.386882
chr1_1103385_1104485,2.386882
chr1_1103737_1104837,2.386882
chr1_1108264_1109364,2.386882
chr1_1141971_1143071,2.0585310000000003
chr1_1149418_1150518,2.0585310000000003
chr1_1166629_1167729,2.0585310000000003
chr1_1167311_1168411,2.0585310000000003
chr1_1186614_1187714,2.163595
chr1_1209165_1210265,2.163595
chr1_1209603_1210703,2.163595
chr1_1214816_1215916,2.163595
chr1_1242947_1244047,2.822954
chr1_1244889_1245989,2.822954
chr1_1253969_1255069,2.822954
chr1_1259136_1260236,2.822954
chr1_1259971_1261071,2.822954
chr1_1265694_1266794,2.822954
chr1_1313046_1314146,2.122343
chr1_1333902_1335002,2.122343
chr1_1334608_1335708,2.122343
chr1_1341032_1342132,2.122343
chr1_1342593_1343693,2.122343
chr1_1343476_1344576,2.122343
chr1_1475733_1476833,2.7982549999999997
chr1_1499804_1500904,8.824981000000001
chr1_1509355_1510455,2.7982549999999997
chr1_1510149_1511249,2.7982549999999997
chr1_1514136_1515236,2.7982549999999997
chr1_1549795_1550895,1.7319
chr1_1551075_1552175,1.7319
chr1_1711796_1712896,4.124376
chr1_1821910_1823010,4.124376
chr1_1822395_1823495,4.124376
chr1_1946869_1947969,1.604878
chr1_1949780_1950880,1.604878
chr1_2076618_2077718,1.7916310000000002
chr1_2159134_2160234,3.5427730000000004
chr1_2283196_2284296,1.954653
chr1_2284159_2285259,1.954653
chr1_2306692_2307792,1.9749900000000002
chr1_2309699_2310799,1.9749900000000002
chr1_2322267_2323367,2.769763
chr1_2323046_2324146,2.769763
chr1_2356419_2357519,3.480511
chr1_2424597_2425697,3.480511
chr1_2425818_2426918,3.480511
chr1_2457939_2459039,3.480511
chr1_2461584_2462684,3.480511
chr1_3369990_3371090,1.339545
chr1_3402810_3403910,1.339545
chr1_3477254_3478354,1.339545
chr1_3527959_3529059,1.339545
chr1_3540566_3541666,1.339545
chr1_3541207_3542307,1.339545
chr1_3568084_3569184,1.339545
chr1_3569225_3570325,1.339545
chr1_3585236_3586336,1.339545
chr1_3630762_3631862,1.339545
chr1_845815_846915,2.741156
chr1_848551_849651,2.741156
chr1_856296_857396,2.741156
chr1_859260_860360,2.741156
chr1_866345_867445,2.741156
chr1_894589_895689,2.741156
chr1_894967_896067,2.741156
chr1_933331_934431,1.945403
chr1_954503_955603,2.529923
chr1_989413_990513,2.529923
chr1_994114_995214,2.529923
chr1_998568_999668,2.529923
