name_P,H3k9ac_P
chr1_1009587_1010687,4.486067
chr1_1051641_1052741,9.4652825
chr1_1166629_1167729,17.077115
chr1_1167311_1168411,17.077115
chr1_1209165_1210265,11.576922
chr1_1209603_1210703,11.576922
chr1_1214816_1215916,4.079618
chr1_1242947_1244047,11.200712
chr1_1244889_1245989,11.200712
chr1_1253969_1255069,7.5843705
chr1_1259136_1260236,16.150710999999998
chr1_1259971_1261071,16.150710999999998
chr1_1265694_1266794,7.35475
chr1_1284630_1285730,15.807723000000001
chr1_1310775_1311875,19.525894
chr1_1333902_1335002,25.257979000000002
chr1_1334608_1335708,25.257979000000002
chr1_1341032_1342132,25.273195
chr1_1342593_1343693,25.273195
chr1_1343476_1344576,25.273195
chr1_1406143_1407243,11.996286999999999
chr1_1446531_1447631,19.248421
chr1_1509355_1510455,33.994919
chr1_1510149_1511249,33.994919
chr1_1549795_1550895,16.811753
chr1_1551075_1552175,16.811753
chr1_1589786_1590886,7.867871000000001
chr1_1590373_1591473,7.867871000000001
chr1_1624067_1625167,12.124667
chr1_1654951_1656051,10.740506
chr1_1655666_1656766,11.080585
chr1_1677331_1678431,13.730634
chr1_1711796_1712896,8.1223435
chr1_1821910_1823010,15.187884
chr1_1822395_1823495,15.187884
chr1_1850612_1851712,3.5323459999999995
chr1_1980909_1982009,5.455514
chr1_1981409_1982509,5.455514
chr1_2120237_2121337,5.162314
chr1_2142962_2144062,12.074393999999998
chr1_2143913_2145013,12.074393999999998
chr1_2144059_2145159,12.074393999999998
chr1_2145520_2146620,12.074393999999998
chr1_2159134_2160234,15.55747
chr1_2322267_2323367,14.494763
chr1_2323046_2324146,14.494763
chr1_2345136_2346236,19.549086
chr1_2424597_2425697,2.442158
chr1_2425818_2426918,2.442158
chr1_2457939_2459039,3.6040300000000003
chr1_2461584_2462684,3.6040300000000003
chr1_2476904_2478004,11.538965
chr1_2516930_2518030,6.6443509999999995
chr1_3369990_3371090,8.294696
chr1_3540566_3541666,7.487732
chr1_3541207_3542307,7.487732
chr1_568756_569856,8.409028999999999
chr1_713150_714250,12.443543
chr1_713906_715006,12.443543
chr1_761988_763088,15.996626000000001
chr1_762802_763902,15.996626000000001
chr1_839214_840314,2.7416099999999997
chr1_859260_860360,13.129072
chr1_894589_895689,27.938178
chr1_894967_896067,7.388816
chr1_900877_901977,14.524818
chr1_933331_934431,19.807249
chr1_935452_936552,19.807249
chr1_947803_948903,13.800188
chr1_948473_949573,13.800188
chr1_954503_955603,7.3767190000000005
chr1_994114_995214,5.121707
chr1_998568_999668,5.278098
