name_E,H3k27ac_E
chr1_1005293_1005547,3.317273
chr1_1014834_1015095,5.541582
chr1_1093610_1093958,19.339045000000002
chr1_1136667_1137146,11.173539
chr1_1295535_1296332,7.694499
chr1_1368471_1368786,10.518966
chr1_1714020_1714715,13.864192000000001
chr1_1840449_1840835,12.2823025
chr1_2140151_2140337,5.427852
chr1_2162325_2162996,8.717087
chr1_2221868_2222548,4.591169
chr1_2478276_2478817,10.147254
chr1_2574343_2574764,11.87657
chr1_3229711_3230157,7.977086999999999
chr1_3817648_3818071,32.136618
chr1_6053603_6054107,9.297016000000001
chr1_6054896_6055025,9.297016000000001
chr1_6661008_6661639,41.939202
