name_P,H4k20me1_P
chr1_1186614_1187714,1.7459209999999998
chr1_1209165_1210265,1.7459209999999998
chr1_1209603_1210703,1.7459209999999998
chr1_1253969_1255069,4.6239419999999996
chr1_1265694_1266794,3.4393910000000005
chr1_1333902_1335002,2.0623669999999996
chr1_1334608_1335708,2.0623669999999996
chr1_1341032_1342132,2.0623669999999996
chr1_1499804_1500904,5.447274999999999
chr1_1509355_1510455,2.15271
chr1_1510149_1511249,2.15271
chr1_1514136_1515236,2.15271
chr1_1549795_1550895,3.283861
chr1_1551075_1552175,1.955169
chr1_1711796_1712896,3.6210839999999997
chr1_1821910_1823010,3.6210839999999997
chr1_1822395_1823495,3.6210839999999997
chr1_2159134_2160234,2.764168
chr1_2322267_2323367,1.650927
chr1_2323046_2324146,1.650927
chr1_817043_818143,1.626325
