name_E,H3k27ac_E
chr10_1100843_1101035,20.559575
chr10_2939911_2940338,9.757205
chr10_3133662_3133717,32.077033
chr10_3137708_3138098,32.077033
chr10_3145163_3145536,32.077033
chr10_3306877_3306999,21.871816
chr10_3441336_3441600,12.222933
chr10_3497590_3497951,29.507871
chr10_3507725_3507898,43.197031
chr10_3509617_3509911,43.197031
chr10_3510310_3510716,43.197031
chr10_3511181_3511689,43.197031
chr10_3782727_3783283,11.003547
chr10_3797195_3797502,29.902914
chr10_3845250_3845852,53.953973
chr10_3845999_3846426,53.953973
chr10_3846443_3847038,53.953973
chr10_3848037_3849536,53.953973
chr10_3850308_3850795,53.953973
chr10_3852273_3852886,53.953973
chr10_3853393_3854169,53.953973
chr10_3870489_3871262,12.166957
chr10_3878027_3878387,9.866728
chr10_3893365_3894190,26.280229
chr10_3902646_3902838,18.986346
chr10_3928866_3929216,39.599536
chr10_3929991_3930887,39.599536
chr10_3932191_3932411,39.599536
chr10_3936015_3936390,39.599536
chr10_3938329_3938538,39.599536
chr10_3984866_3985563,4.288837
chr10_3991165_3991394,3.257117
chr10_4172866_4173257,20.925407
chr10_4173688_4174411,20.925407
chr10_4289203_4289519,43.514187
chr10_4396174_4396330,15.82939
chr10_4414900_4415114,8.250316
chr10_4685784_4686138,9.518828
chr10_4705159_4705783,24.558905999999997
chr10_4711881_4712067,9.518828
chr10_4712833_4713220,9.518828
chr10_4813646_4813900,32.822953
chr10_4852300_4852352,15.549766
chr10_4855217_4855416,10.792751
chr10_4891874_4892173,8.276172
chr10_5333644_5334212,22.528589
chr10_5334474_5334640,22.528589
chr10_5336164_5336286,9.866728
chr10_5359534_5359986,3.269206
chr10_5587810_5588190,28.603385
chr10_5588881_5589169,28.603385
chr10_5590010_5590295,28.603385
chr10_5590959_5591270,28.603385
chr10_5596279_5596669,10.009211
chr10_5638863_5639270,13.253294
chr10_5888274_5888577,9.27327
chr10_699938_700531,12.109724
chr10_830904_831008,4.325376
chr10_990446_990769,12.436959
chr1_100104444_100104686,12.800949
chr1_100113534_100114036,27.967462
chr1_100138206_100138591,6.140054
chr1_100820585_100820838,16.948246
chr1_100905821_100906168,4.452583
chr1_100911126_100911538,11.161999
chr1_10127211_10127315,15.295448
chr1_1014834_1015095,7.447241
chr1_101577594_101578108,14.475203
chr1_101725356_101725679,13.441464
chr1_101764288_101764549,13.857529
chr1_10269964_10270260,20.658365
chr1_108479405_108480123,16.225737
chr1_108741685_108742156,21.9009
chr1_109127044_109127234,6.326523
chr1_109133120_109133338,29.621053
chr1_109133637_109134097,29.621053
chr1_109262615_109262764,7.250908
chr1_1093610_1093958,13.423648
chr1_110160052_110160461,25.095267
chr1_110333273_110333688,6.962897
chr1_110334849_110335164,6.962897
chr1_110335775_110336041,6.962897
chr1_110336950_110337403,6.962897
chr1_110476602_110476703,11.305299
chr1_110879130_110879445,24.202539
chr1_112050044_112050594,18.016338
chr1_112058341_112058601,9.707644
chr1_112058803_112059167,9.707644
chr1_112163412_112163797,7.099754
chr1_112163826_112164071,7.099754
chr1_112276731_112276883,18.510484
chr1_112942216_112942335,26.057826
chr1_113086746_113087141,16.939338
chr1_113584893_113585079,15.142077
chr1_113683682_113683919,5.105578
chr1_114997819_114998047,2.253195
chr1_115052481_115052766,9.728765
chr1_115605190_115605611,18.142615
chr1_115605746_115606114,18.142615
chr1_115627657_115627928,6.482437
chr1_115709526_115709713,12.280176
chr1_115722074_115722498,5.053116
chr1_115732772_115733197,9.73176
chr1_115968975_115969167,9.094787
chr1_116088478_116088732,5.329939
chr1_116918925_116919548,23.208157
chr1_116920378_116921129,23.208157
chr1_116923407_116923493,23.208157
chr1_117030831_117031034,10.0615525
chr1_117032033_117032296,10.0615525
chr1_117050808_117051139,8.055215
chr1_117051576_117051921,8.055215
chr1_117111804_117112156,8.727877
chr1_117112460_117112738,8.727877
chr1_117421623_117422020,7.951413
chr1_117422443_117422644,7.951413
chr1_117493512_117493635,4.250193
chr1_117533270_117533527,10.018312
chr1_11968510_11969143,25.427343
chr1_11990003_11990329,9.990571
chr1_120255895_120256325,8.587591
chr1_12046023_12046196,23.700152
chr1_12050736_12051137,3.255467
chr1_12193120_12193399,7.951542
chr1_12213128_12213883,11.169738
chr1_12221931_12222397,14.029491
chr1_12227833_12229578,5.939372
chr1_12233600_12234159,25.235671
chr1_12235070_12235463,25.235671
chr1_12236326_12236421,25.235671
chr1_12237719_12238747,25.235671
chr1_12238984_12239461,25.235671
chr1_12240401_12240902,25.235671
chr1_12243852_12244671,14.848694
chr1_12245348_12245387,14.848694
chr1_12493313_12493712,24.930129
chr1_12493910_12494304,24.930129
chr1_12508783_12509005,8.165606
chr1_12509354_12509466,8.165606
chr1_12533412_12533678,8.165606
chr1_12546528_12546819,8.165606
chr1_12599928_12600179,5.463169
chr1_12600525_12600853,5.463169
chr1_12609717_12610039,14.945007
chr1_12675687_12675874,19.531801
chr1_142538903_142539547,5.242497
chr1_144533627_144534178,8.285633
chr1_144536201_144536370,8.285633
chr1_144908312_144908601,28.756694
chr1_144908806_144909147,28.756694
chr1_144927217_144927550,10.14744
chr1_145009158_145009716,2.534713
chr1_145012331_145013054,2.534713
chr1_145042783_145043227,7.864843
chr1_145090155_145090603,15.892026
chr1_145092450_145092883,15.892026
chr1_145113904_145114998,2.566576
chr1_145226678_145226829,6.2249894999999995
chr1_145437595_145437817,5.901766
chr1_145454760_145454851,19.511351
chr1_145455122_145455741,19.511351
chr1_145526126_145526326,9.468784
chr1_147806841_147807184,11.567536
chr1_149215297_149215704,8.523516
chr1_149981648_149981889,19.5511
chr1_150135231_150135764,8.041483
chr1_150185878_150186128,6.814075
chr1_150294873_150295138,22.262916
chr1_150577042_150577503,47.045191
chr1_150585815_150586394,36.887437
chr1_150592182_150592667,9.182711
chr1_150600412_150600701,18.292267
chr1_150735950_150736336,15.890999
chr1_150949569_150950014,14.737471
chr1_151166314_151166527,13.149613
chr1_151168297_151168505,13.149613
chr1_151172142_151172526,13.149613
chr1_151172620_151173197,13.149613
chr1_151284018_151284391,8.824001
chr1_151445792_151446161,7.001526
