name_E,H3k4me2_E
chr10_1100843_1101035,7.628777
chr10_1112826_1113160,7.628777
chr10_3028046_3028193,9.850385
chr10_3078434_3078646,12.487552
chr10_3133662_3133717,5.485935
chr10_3137708_3138098,12.550196
chr10_3216614_3216797,7.647181
chr10_3497590_3497951,4.203065
chr10_3526849_3527147,20.596502
chr10_3800307_3800531,10.037457
chr10_3807382_3807563,16.244056
chr10_3845250_3845852,11.25232
chr10_3845999_3846426,11.25232
chr10_3846443_3847038,11.25232
chr10_3848037_3849536,11.25232
chr10_3852273_3852886,11.998412
chr10_3853393_3854169,11.998412
chr10_3870489_3871262,14.217723333333334
chr10_3878027_3878387,16.61006
chr10_3893365_3894190,9.626787
chr10_3907871_3908141,7.41762
chr10_3908597_3908886,7.41762
chr10_3911352_3911510,7.431601
chr10_3917358_3918120,21.282699
chr10_3928866_3929216,9.044012
chr10_3929991_3930887,9.044012
chr10_3944367_3944901,7.294065
chr10_4088404_4088528,3.997511
chr10_4162773_4163003,2.83893
chr10_4163748_4164495,9.4059535
chr10_4172866_4173257,5.431207
chr10_4173688_4174411,5.431207
chr10_4556552_4557090,12.909836
chr10_4891874_4892173,12.77102
chr10_5593718_5593999,6.51154
chr10_5883027_5883237,11.261098
chr10_5888274_5888577,11.261098
chr10_990446_990769,16.887709
chr1_100512510_100512716,10.086355
chr1_1005293_1005547,4.556933
chr1_100820585_100820838,13.082382
chr1_100996437_100996829,9.877085
chr1_101000887_101001063,7.754905
chr1_10127211_10127315,9.922789
chr1_1014834_1015095,12.014924500000001
chr1_101577594_101578108,13.661996
chr1_101774729_101775525,15.538213
chr1_101776223_101776281,15.538213
chr1_10269964_10270260,10.899113
chr1_10556105_10556527,10.619454
chr1_10557233_10557456,10.619454
chr1_10558276_10558621,10.619454
chr1_10757179_10757344,4.365026
chr1_108329022_108329589,10.581901
chr1_108478082_108478329,5.24112
chr1_108479405_108480123,5.24112
chr1_108483614_108484145,5.24112
chr1_10853986_10854555,5.630476
chr1_108741685_108742156,11.407424
chr1_109100040_109100237,7.2882375
chr1_109104473_109104583,7.2882375
chr1_109127044_109127234,4.063651
chr1_10927237_10927380,7.329771
chr1_1093610_1093958,19.315676
chr1_109913179_109913623,11.451734
chr1_109933790_109934137,8.566467
chr1_109938897_109939079,9.104892
chr1_110358971_110359415,11.565369333333335
chr1_110363861_110364229,2.609032
chr1_110364881_110365302,2.609032
chr1_110366477_110366702,2.609032
chr1_110406868_110407271,6.090178
chr1_110429456_110429734,4.067681
chr1_110448900_110449220,10.025925
chr1_110451717_110451917,12.505925
chr1_110454846_110455290,12.505925
chr1_110626726_110627062,13.917385
chr1_110879130_110879445,7.105403
chr1_110927812_110928210,9.413466
chr1_111162611_111162919,9.530585499999999
chr1_111163364_111163623,9.530585499999999
chr1_111170436_111170835,5.744533499999999
chr1_111177471_111177854,9.4746995
chr1_111178912_111179243,9.4746995
chr1_111182665_111183078,5.498053
chr1_111189973_111190443,5.498053
chr1_111211165_111211475,15.425273
chr1_111212876_111213052,15.425273
chr1_111329904_111330079,11.683414
chr1_111417124_111417532,18.588062
chr1_111735402_111735659,7.591547
chr1_111735691_111736003,7.591547
chr1_111757482_111757860,7.591547
chr1_111758440_111759106,7.591547
chr1_111764327_111764759,7.591547
