name_E,H3k9ac_E,H3k79me2_E,H3k4me2_E,H3k4me3_E,DNaseI_E,H3k4me1_E,Pol2_E,H3k36me3_E,H3k27ac_E,H3k27me3_E,Ctcf_E,H4k20me1_E
chr1_1005293_1005547,3.448802,0.0,8.432566,0.0,29.0,2.5350085,0.0,0.0,0.0,4.58371,0.0,2.529923
chr1_1014834_1015095,10.00079,0.0,8.211755,10.066729,153.0,6.689671000000001,5.508389,0.0,6.700595,3.156103,0.0,2.529923
chr1_1093610_1093958,24.484659,0.0,11.953523,13.741314,0.0,8.26741,0.0,0.0,10.393802,0.0,0.0,0.0
chr1_1136667_1137146,4.945909,0.0,10.892559,0.0,35.5,0.0,0.0,0.0,0.0,4.290325,0.0,0.0
chr1_1173386_1173736,8.679890499999999,4.954655000000002,8.856010000000003,3.499074,26.0,4.569776999999998,2.087635,0.0,0.0,13.88376,0.0,2.0585310000000003
chr1_1295535_1296332,4.4129830000000005,0.0,4.999432,0.0,70.0,8.266182,5.978118,0.0,10.305084,0.0,0.0,0.0
chr1_1714020_1714715,10.833736,14.197309,8.158011,6.085439,37.0,7.631455,3.181755,0.0,0.0,0.0,0.0,4.124376
chr1_1840449_1840835,11.403361,0.0,14.677473,7.615338,99.5,0.0,3.181755,0.0,10.929864,3.2633240000000003,13.062724,0.0
chr1_2162325_2162996,16.834481,13.419211,14.866867,14.740470000000002,20.0,7.890152,2.18966,2.424852,11.282338,0.0,3.929321,3.5427730000000004
chr1_2171824_2171946,3.283259,13.419211,0.0,0.0,20.0,5.85309,2.18966,2.424852,0.0,0.0,1.797538,3.5427730000000004
chr1_2172142_2172385,3.283259,13.419211,0.0,0.0,0.0,0.0,2.18966,2.424852,0.0,0.0,1.797538,3.5427730000000004
chr1_2246556_2246763,4.925407,0.0,0.0,5.623128,51.0,0.0,0.0,2.424852,0.0,3.374871,21.695586,0.0
chr1_2478276_2478817,7.289279,0.0,7.8772509999999984,7.040214999999999,134.0,4.7882815,0.0,0.0,10.866775,2.110391,13.203869,0.0
