name_P,H3k4me1_P
chr1_1009587_1010687,9.630155
chr1_1101484_1102584,4.374925
chr1_1102243_1103343,2.201677
chr1_1103385_1104485,2.201677
chr1_1103737_1104837,2.201677
chr1_1108264_1109364,2.201677
chr1_1114835_1115935,2.201677
chr1_1141971_1143071,3.4725265000000003
chr1_1149418_1150518,2.026313
chr1_1166629_1167729,11.690641000000001
chr1_1167311_1168411,11.690641000000001
chr1_1182002_1183102,9.537557000000001
chr1_1186614_1187714,13.685862
chr1_1209165_1210265,6.681878
chr1_1209603_1210703,6.681878
chr1_1242947_1244047,10.1206
chr1_1244889_1245989,7.154610000000001
chr1_1253969_1255069,5.646319999999999
chr1_1259971_1261071,7.134806
chr1_1265694_1266794,8.901905000000001
chr1_1297057_1298157,14.155164000000001
chr1_1310775_1311875,10.576300999999999
chr1_1333902_1335002,5.673909
chr1_1334608_1335708,5.673909
chr1_1341032_1342132,9.119066666666667
chr1_1343476_1344576,9.732201
chr1_1354625_1355725,8.177385000000001
chr1_1357049_1358149,8.177385000000001
chr1_1369241_1370341,7.093497999999999
chr1_1369853_1370953,7.093497999999999
chr1_1406143_1407243,8.106923
chr1_1446531_1447631,8.710098
chr1_1510149_1511249,6.521406
chr1_1535376_1536476,10.039534
chr1_1549795_1550895,5.48094
chr1_1551075_1552175,7.2646630000000005
chr1_1711796_1712896,5.6327704999999995
chr1_1822395_1823495,7.696011
chr1_1850612_1851712,10.173394
chr1_1946869_1947969,7.917311
chr1_1980909_1982009,9.825233
chr1_1981409_1982509,9.825233
chr1_2120237_2121337,6.049221
chr1_2142962_2144062,8.08258
chr1_2143913_2145013,8.08258
chr1_2144059_2145159,8.08258
chr1_2145520_2146620,8.08258
chr1_2159134_2160234,7.865108
chr1_2283196_2284296,7.569966
chr1_2284159_2285259,7.569966
chr1_2306692_2307792,10.218811
chr1_2323046_2324146,5.019767
chr1_2345136_2346236,9.537557000000001
chr1_2424597_2425697,9.175517999999999
chr1_2425818_2426918,9.175517999999999
chr1_2457939_2459039,8.357659
chr1_2461584_2462684,8.357659
chr1_2476904_2478004,5.743967
chr1_2486078_2487178,7.151901
chr1_2488370_2489470,7.151901
chr1_2511999_2513099,1.676668
chr1_2516930_2518030,5.448153
chr1_3369990_3371090,5.925127
chr1_3402810_3403910,4.151687
chr1_3527959_3529059,8.847995000000001
chr1_3540566_3541666,5.201302
chr1_3541207_3542307,5.7130305
chr1_3568084_3569184,4.040671
chr1_3569225_3570325,4.040671
chr1_3585236_3586336,9.208675999999999
chr1_3630762_3631862,9.822808
chr1_751751_752851,9.129969000000001
chr1_752992_754092,10.128378999999999
chr1_839214_840314,6.17136
chr1_856296_857396,8.003828
chr1_859260_860360,4.500991
chr1_900877_901977,9.841333
chr1_933331_934431,2.9162220000000003
chr1_935452_936552,2.9162220000000003
chr1_943509_944609,2.9162220000000003
chr1_947803_948903,6.3846609999999995
chr1_948473_949573,6.3846609999999995
chr1_954503_955603,2.9162220000000003
chr1_994114_995214,10.4668095
chr1_998568_999668,10.750079
