name_E,H3k4me1_E,H3k27me3_E,DNaseI_E,H3k4me3_E,H3k36me3_E,H3k4me2_E,H3k79me2_E,H4k20me1_E,Ctcf_E,H3k27ac_E,H3k9ac_E
chr10_1100843_1101035,5.375597,0.0,28.0,31.955539,4.105412,11.967712,6.183088,0.0,0.0,12.713523,9.0040715
chr10_2159978_2160127,5.233036,0.0,21.0,0.0,0.0,4.794402,0.0,0.0,0.0,9.337827,0.0
chr10_2256285_2256680,4.784318,0.0,7.0,0.0,0.0,7.504185,0.0,0.0,0.0,11.4683685,3.668019
chr10_3028046_3028193,5.941447,0.0,30.0,4.549912,0.0,9.194672,0.0,1.349534,12.224912,0.0,0.0
chr10_3133662_3133717,10.021014,0.0,64.0,0.0,5.352022,10.464659,7.236524,1.349534,0.0,13.515794,8.969041
chr10_3137708_3138098,10.021014,0.0,102.0,4.500014,5.352022,10.929252,7.236524,1.349534,0.0,13.515794,8.405122
chr10_3441336_3441600,12.034149,2.152654,65.0,0.0,0.0,10.718917,0.0,0.0,0.0,0.0,0.0
chr10_3497590_3497951,5.567492,0.0,11.0,0.0,0.0,6.803882,0.0,0.0,1.631329,13.354946,5.286214
chr10_3507725_3507898,6.333892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.631329,0.0,0.0
chr10_3509617_3509911,6.333892,0.0,84.0,9.162612,0.0,10.469301,0.0,0.0,9.007956,48.909959,19.343626
chr10_3510310_3510716,6.333892,0.0,47.0,9.2044165,0.0,10.469301,0.0,0.0,1.631329,48.909959,19.343626
chr10_3511181_3511689,6.333892,0.0,83.0,9.108118,0.0,10.469301,0.0,0.0,1.631329,48.909959,19.343626
chr10_3524547_3524820,6.793295,0.0,70.0,8.335923,0.0,11.41843,0.0,0.0,0.0,8.88762,9.615821
chr10_3528683_3528786,7.478392,0.0,99.0,0.0,0.0,10.272528,0.0,0.0,10.264978,8.601184,9.077386
chr10_3542742_3543014,9.088593,0.0,0.0,0.0,0.0,11.542337,0.0,0.0,0.0,5.647818,6.106028
chr10_3568141_3568290,9.801266,0.0,72.0,0.0,0.0,7.232698,0.0,0.0,0.0,4.996007,0.0
chr10_3710838_3711066,8.136292666666668,0.0,52.0,14.398299,0.0,16.201244,0.0,0.0,0.0,12.58215,17.009342
chr10_3762746_3763172,6.88015,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3782727_3783283,5.00571,0.0,92.0,2.984432,0.0,7.166646,0.0,4.263979,0.0,14.299371,3.875926
chr10_3797195_3797502,11.182835,0.0,119.0,6.445709,0.0,7.082201,0.0,0.0,0.0,20.708938,8.1323755
chr10_3800307_3800531,11.182835,0.0,137.0,11.470398,0.0,7.082201,0.0,0.0,0.0,20.708938,8.1323755
chr10_3807382_3807563,10.119022,0.0,0.0,0.0,0.0,6.896865,0.0,0.0,0.0,15.742781,9.8689035
chr10_3845250_3845852,9.218549,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,51.162048,18.929876
