name_E,DNaseI_E
chr10_2939911_2940338,89.0
chr10_3028046_3028193,38.0
chr10_3133662_3133717,54.0
chr10_3137708_3138098,123.0
chr10_3145163_3145536,117.0
chr10_3441336_3441600,53.0
chr10_3497590_3497951,19.0
chr10_3509617_3509911,153.0
chr10_3511181_3511689,17.0
chr10_3524547_3524820,38.0
chr10_3568141_3568290,131.0
chr10_3598970_3599136,6.0
chr10_3797195_3797502,57.0
chr10_3846443_3847038,18.0
chr10_3848037_3849536,35.0
chr10_3852273_3852886,74.0
chr10_3853393_3854169,29.0
chr10_3870489_3871262,34.0
chr10_3878027_3878387,22.0
chr10_3893365_3894190,33.0
chr10_3928866_3929216,80.0
chr10_3929991_3930887,98.0
chr10_3932191_3932411,21.0
chr10_3944367_3944901,9.0
chr10_3984866_3985563,19.0
chr10_3991165_3991394,41.0
chr10_4172866_4173257,25.0
chr10_4173688_4174411,53.0
chr10_4289203_4289519,23.0
chr10_4396174_4396330,59.0
chr10_4414900_4415114,64.0
chr10_4705159_4705783,62.0
chr10_4813646_4813900,32.0
chr10_4855217_4855416,30.0
chr10_4891874_4892173,71.0
chr10_4989909_4990226,28.0
chr10_500969_501047,50.0
chr10_5113786_5114179,10.0
chr10_5333644_5334212,35.0
chr10_5336164_5336286,11.0
chr10_5359534_5359986,9.0
chr10_557102_557353,120.0
chr10_5587810_5588190,77.0
chr10_5588881_5589169,30.0
chr10_5590010_5590295,13.0
chr10_5590959_5591270,102.0
chr10_5596279_5596669,40.0
chr10_5638863_5639270,13.0
chr10_5888274_5888577,58.0
chr10_652657_652929,16.0
chr10_699938_700531,29.0
chr10_830904_831008,102.0
chr10_990446_990769,90.0
chr1_100000188_100000393,18.0
chr1_100104444_100104686,47.0
chr1_100113534_100114036,84.0
chr1_100678369_100678762,12.0
chr1_100820585_100820838,28.0
chr1_101202267_101202571,27.0
chr1_10127211_10127315,51.0
chr1_101313094_101313246,41.0
chr1_1014834_1015095,90.0
chr1_101577594_101578108,106.0
chr1_101725356_101725679,39.0
chr1_101764288_101764549,61.0
chr1_101774729_101775525,44.0
chr1_10269964_10270260,57.0
chr1_103572619_103572906,17.0
chr1_10700424_10700580,24.0
chr1_108479405_108480123,47.5
chr1_10853986_10854555,47.0
chr1_108600214_108600460,9.0
chr1_108741685_108742156,46.0
chr1_109104473_109104583,24.0
chr1_109127044_109127234,13.0
chr1_109133120_109133338,48.0
chr1_109133637_109134097,144.0
chr1_109262615_109262764,46.0
chr1_10927237_10927380,118.0
chr1_1093610_1093958,87.0
chr1_109933790_109934137,17.0
chr1_109981518_109981703,24.0
chr1_110160052_110160461,121.0
chr1_110333273_110333688,142.0
chr1_110334849_110335164,85.0
chr1_110363861_110364229,23.0
chr1_110420039_110420145,30.0
chr1_110444415_110444738,23.0
chr1_110454846_110455290,16.0
chr1_110476602_110476703,23.0
chr1_110694968_110695154,14.0
chr1_111735691_111736003,12.0
chr1_112050044_112050594,38.0
chr1_112058341_112058601,58.0
chr1_112058803_112059167,51.0
chr1_112135698_112135869,34.0
chr1_112163412_112163797,22.0
chr1_112276731_112276883,21.0
chr1_112286281_112286588,14.0
chr1_112901525_112901779,32.0
chr1_112942216_112942335,36.0
chr1_113086746_113087141,102.0
chr1_1136667_1137146,53.0
chr1_1143531_1144198,32.0
chr1_114665635_114666029,14.0
chr1_115605190_115605611,34.0
chr1_115605746_115606114,11.0
chr1_115627657_115627928,56.0
chr1_115709526_115709713,28.0
chr1_115968975_115969167,44.0
chr1_116088478_116088732,29.0
chr1_116221756_116221883,14.0
chr1_116370977_116371565,40.0
chr1_116918925_116919548,49.333333333333336
chr1_116920378_116921129,92.0
chr1_117032033_117032296,81.0
chr1_117040346_117040781,11.0
chr1_117051576_117051921,28.5
chr1_117080047_117080432,12.0
chr1_117081238_117081452,14.0
chr1_117130518_117130699,20.0
chr1_117132073_117132239,30.0
chr1_117421623_117422020,25.0
chr1_11753086_11753651,187.0
chr1_117533270_117533527,57.0
chr1_118197244_118197521,11.0
chr1_11968510_11969143,52.0
chr1_11990003_11990329,28.0
chr1_12046023_12046196,76.0
chr1_12112067_12112502,33.0
chr1_12127865_12128182,20.0
chr1_12193120_12193399,71.0
chr1_12213128_12213883,30.0
chr1_12221931_12222397,151.0
chr1_12227833_12229578,41.666666666666664
chr1_12235070_12235463,27.0
chr1_12237719_12238747,52.0
chr1_12238984_12239461,110.0
chr1_12243852_12244671,145.0
chr1_12493313_12493712,60.0
chr1_12493910_12494304,44.5
chr1_12579035_12579403,19.0
chr1_12599928_12600179,34.0
chr1_12600525_12600853,41.0
chr1_12609717_12610039,145.0
chr1_12616547_12616769,14.0
chr1_12681925_12682190,34.0
chr1_1295535_1296332,36.0
chr1_142538903_142539547,30.0
chr1_144533627_144534178,95.0
chr1_144536201_144536370,35.0
chr1_144908312_144908601,32.0
chr1_144908806_144909147,42.5
chr1_144927217_144927550,22.5
chr1_145009158_145009716,125.0
chr1_145042783_145043227,119.0
chr1_145058996_145059322,82.5
chr1_145090155_145090603,82.0
chr1_145092450_145092883,102.0
chr1_145437595_145437817,35.0
chr1_145454760_145454851,34.0
chr1_145455122_145455741,181.0
chr1_147775754_147775884,32.0
chr1_147806841_147807184,34.0
chr1_148000699_148000802,30.0
chr1_149215297_149215704,36.0
chr1_149981648_149981889,70.0
chr1_150135231_150135764,124.0
chr1_150185878_150186128,97.0
chr1_150577042_150577503,155.0
chr1_150585815_150586394,94.0
chr1_150592182_150592667,47.0
chr1_150949569_150950014,67.0
chr1_151172620_151173197,22.0
chr1_151284018_151284391,125.0
chr1_151445792_151446161,35.0
chr1_151486181_151486300,27.0
chr1_151809390_151809745,14.0
chr1_151871280_151871437,22.0
chr1_151877533_151877895,31.0
chr1_151913815_151914271,59.0
chr1_151945068_151945221,22.0
chr1_151960875_151961433,52.0
chr1_151961675_151962369,34.0
chr1_152006910_152007460,38.5
chr1_152007615_152008057,27.0
chr1_15335392_15335732,104.0
chr1_153504746_153504953,23.0
chr1_153541018_153541368,88.0
chr1_153670755_153671012,134.0
chr1_153762591_153763309,55.0
chr1_154154606_154155027,56.0
chr1_15416988_15417263,64.0
chr1_154391539_154392211,132.0
chr1_154392646_154393050,127.0
chr1_154404273_154404562,26.0
chr1_154468503_154468634,30.0
chr1_154699087_154699216,27.0
chr1_154731745_154732111,13.0
chr1_154972628_154972915,24.0
chr1_154973335_154973935,102.0
chr1_155830201_155830522,91.0
chr1_15587144_15587415,52.0
chr1_155916072_155916212,17.0
chr1_155944562_155945214,20.0
chr1_155945743_155946196,24.0
chr1_155946363_155946660,22.0
chr1_156066868_156067143,101.0
chr1_156073142_156073699,47.0
chr1_156073854_156074351,111.0
chr1_156074715_156075305,23.0
chr1_156089405_156089622,50.0
chr1_156118146_156118395,50.0
chr1_156426931_156427503,143.0
chr1_156468556_156468776,91.0
chr1_156472693_156472952,169.0
chr1_156473111_156473378,135.0
chr1_156474686_156475018,97.0
chr1_15649550_15649749,10.0
chr1_156541089_156541488,65.0
chr1_156586355_156586564,33.0
chr1_156629760_156630406,246.0
chr1_156634807_156635020,25.0
chr1_15664307_15664455,78.0
chr1_156645551_156645913,45.0
chr1_15664580_15664866,57.0
chr1_15666999_15667145,22.0
chr1_156718467_156719136,29.0
chr1_156864713_156865066,57.0
chr1_157076072_157076782,88.0
chr1_157082632_157083078,11.0
chr1_157106691_157107326,31.5
