name_E,DNaseI_E
chr1_1005293_1005547,52.0
chr1_1014834_1015095,242.0
chr1_1093610_1093958,224.0
chr1_1136075_1136463,38.0
chr1_1136667_1137146,141.5
chr1_1143531_1144198,186.5
chr1_1173386_1173736,183.5
chr1_1295535_1296332,222.0
chr1_1368471_1368786,161.0
chr1_1714020_1714715,37.0
chr1_1840449_1840835,397.0
chr1_2162325_2162996,45.0
chr1_2171824_2171946,80.0
chr1_2172142_2172385,35.0
chr1_2177615_2177829,33.0
chr1_2221868_2222548,160.0
chr1_2230678_2230895,91.5
chr1_2231691_2232185,40.0
chr1_2246556_2246763,205.0
chr1_2253622_2253773,130.0
chr1_2254081_2254230,73.0
chr1_2406489_2406881,77.0
chr1_2478276_2478817,218.0
chr1_2509702_2510198,114.0
chr1_2574343_2574764,230.0
chr1_2989176_2989511,40.0
chr1_3077832_3078221,26.0
chr1_3086923_3087330,24.0
chr1_3133891_3134283,20.0
chr1_3136013_3136207,41.0
chr1_3229711_3230157,172.0
chr1_3237165_3237518,29.0
chr1_3459907_3460197,142.0
chr1_3463934_3464260,108.0
chr1_3581269_3581645,37.0
chr1_3620035_3620325,113.0
chr1_3634737_3634863,90.0
chr1_3817648_3818071,199.5
chr1_6053603_6054107,39.0
chr1_6230950_6231173,42.0
chr1_6321567_6321961,32.0
chr1_6360191_6360625,21.0
chr1_6362597_6362955,101.0
chr1_6661008_6661639,186.0
chr1_7359415_7359679,61.0
chr1_7461964_7462325,269.5
chr1_7531062_7531540,134.0
chr1_7538871_7539273,21.5
chr1_7551468_7551846,51.0
chr1_918449_918555,38.0
chr1_941791_942135,38.5
chr1_956563_956812,118.0
