name_E,H3k27ac_E
chr10_1100843_1101035,22.608182
chr10_1541138_1541906,6.409403
chr10_1989680_1990030,14.512464000000001
chr10_2256285_2256680,26.306008000000002
chr10_3028046_3028193,11.565401
chr10_3133662_3133717,14.840044
chr10_3137708_3138098,14.840044
chr10_3509617_3509911,11.136484
chr10_3510310_3510716,11.136484
chr10_3511181_3511689,11.136484
chr10_3598970_3599136,8.584197
chr10_3710838_3711066,21.024262
chr10_3762746_3763172,6.152963
chr10_3782727_3783283,6.491956
chr10_3797195_3797502,8.632085666666667
chr10_3845250_3845852,20.864558
chr10_3845999_3846426,20.864558
chr10_3846443_3847038,20.864558
chr10_3848037_3849536,20.864558
chr10_3850308_3850795,20.864558
chr10_3852273_3852886,20.864558
chr10_3853393_3854169,20.864558
chr10_3867491_3867713,12.414482000000001
chr10_3870489_3871262,12.414482000000001
chr10_3893365_3894190,11.755111
chr10_3928866_3929216,8.976989999999999
chr10_3929991_3930887,8.1322285
chr10_3936015_3936390,5.98292
chr10_3938329_3938538,5.98292
chr10_4172866_4173257,5.008731
chr10_4173688_4174411,7.3051319999999995
chr10_4386754_4387085,14.198049
chr10_4396174_4396330,18.705510999999998
chr10_4705159_4705783,12.064721
chr10_4813646_4813900,6.957288
chr10_4891874_4892173,5.904168
chr10_4989909_4990226,5.495426
chr10_5113786_5114179,11.544277000000001
chr10_5333644_5334212,30.720053999999998
chr10_5334474_5334640,30.720053999999998
chr10_5359534_5359986,8.693082
chr10_5587810_5588190,38.614519
chr10_5588881_5589169,38.614519
chr10_5590010_5590295,38.614519
chr10_5590959_5591270,38.614519
chr10_5596279_5596669,8.451694
chr10_5638863_5639270,5.976054
chr1_100000188_100000393,6.3031440000000005
chr1_100113534_100114036,9.289429
chr1_100138206_100138591,8.176517
chr1_100169951_100170218,6.835524
chr1_1014834_1015095,24.463707
chr1_101725356_101725679,6.723358999999999
chr1_10269964_10270260,13.688554000000002
chr1_10695291_10695734,4.533961
chr1_108479405_108480123,3.5938839999999996
chr1_108741685_108742156,42.33255
chr1_109100040_109100237,7.591144
chr1_109104473_109104583,7.591144
chr1_109127044_109127234,7.591144
chr1_109133120_109133338,7.591144
chr1_109133637_109134097,7.591144
chr1_109189516_109189718,17.649669
chr1_109262615_109262764,4.702635
chr1_1093610_1093958,17.452682
chr1_10960432_10960567,9.97432
chr1_109981518_109981703,9.451037
chr1_110160052_110160461,8.377417999999999
chr1_110333273_110333688,6.446015
chr1_110334849_110335164,6.446015
chr1_110335775_110336041,6.446015
chr1_110336950_110337403,6.446015
chr1_110339466_110339959,4.93313
chr1_110358971_110359415,19.465587
chr1_110363861_110364229,19.465587
chr1_110364881_110365302,19.465587
chr1_110366477_110366702,19.465587
chr1_110420039_110420145,21.499445
chr1_110444415_110444738,10.099794000000001
chr1_110537379_110537528,3.856304
chr1_110879130_110879445,36.79599
chr1_112050044_112050594,13.493841
chr1_112135698_112135869,6.623945
chr1_112163412_112163797,12.869983
chr1_112163826_112164071,12.869983
chr1_113086746_113087141,12.953964
chr1_113683682_113683919,4.150368
chr1_114656563_114656717,6.295586
chr1_114997819_114998047,9.450713
chr1_115052481_115052766,17.770179000000002
chr1_115605190_115605611,9.867543
chr1_115605746_115606114,9.867543
chr1_115722074_115722498,5.221151
chr1_115732772_115733197,5.100656
chr1_115968975_115969167,17.170574
chr1_116039640_116039989,11.411211
chr1_116088478_116088732,7.735032
chr1_116221756_116221883,2.014943
chr1_116520279_116520650,35.68598
chr1_116918925_116919548,11.372909
chr1_116920378_116921129,11.372909
chr1_117046366_117046546,12.070833
chr1_117047053_117047428,12.070833
chr1_117050808_117051139,12.070833
chr1_117051576_117051921,12.070833
chr1_117080047_117080432,4.02171
chr1_117111804_117112156,32.758089
chr1_117112460_117112738,32.758089
chr1_117129425_117129671,3.56947
chr1_11753086_11753651,9.248378
chr1_118153815_118153988,1.466703
chr1_118197244_118197521,7.577911
chr1_118197868_118198044,7.577911
chr1_118198788_118199247,7.577911
chr1_11968510_11969143,23.909731
chr1_11990003_11990329,10.386481
chr1_120255895_120256325,9.150097
chr1_120530787_120531205,2.7654400000000003
chr1_12193120_12193399,7.9648
chr1_12210430_12211346,2.962868
chr1_12213128_12213883,2.962868
chr1_12221931_12222397,10.427299
chr1_12225396_12225718,2.962868
chr1_12227833_12229578,2.962868
chr1_12231693_12231881,2.962868
chr1_12232096_12232448,2.962868
chr1_12599928_12600179,6.096008
chr1_12600525_12600853,6.096008
chr1_12609717_12610039,6.876297
chr1_12675687_12675874,13.221901
chr1_142538903_142539547,5.675947
chr1_144533627_144534178,36.422326
chr1_144908312_144908601,2.753878
chr1_144908806_144909147,2.753878
chr1_144927217_144927550,3.547099
chr1_144986415_144987071,1.626387
chr1_144987154_144987391,1.626387
chr1_144988079_144988414,1.626387
chr1_145009158_145009716,1.6424400000000001
chr1_145012331_145013054,1.6424400000000001
chr1_145023690_145024549,1.6590509999999998
chr1_145058996_145059322,1.648854
chr1_145064438_145064839,1.648854
chr1_145090155_145090603,4.9683399999999995
chr1_145092450_145092883,4.9683399999999995
chr1_145113904_145114998,6.8359215
chr1_145433530_145433648,3.927475
chr1_145435103_145435641,18.21424
chr1_145437595_145437817,18.21424
chr1_145454760_145454851,34.64846
chr1_145455122_145455741,34.64846
chr1_147806841_147807184,33.963474
chr1_148000699_148000802,6.3131260000000005
chr1_149215297_149215704,4.001110499999999
chr1_149981648_149981889,22.856344
chr1_150159099_150159241,10.43036
chr1_150185878_150186128,11.990476
chr1_150231710_150231944,5.028477
chr1_150294873_150295138,20.029988
chr1_150577042_150577503,25.823683
chr1_150585815_150586394,34.994946
chr1_150592182_150592667,5.371948000000001
chr1_150600412_150600701,16.641189999999998
chr1_150735950_150736336,7.699302
chr1_150949569_150950014,8.645709
chr1_151166314_151166527,33.7466425
chr1_151168297_151168505,33.7466425
chr1_151172142_151172526,33.7466425
chr1_151172620_151173197,33.7466425
chr1_151284018_151284391,6.501734
chr1_151809390_151809745,8.819799
chr1_151913142_151913275,40.675737
chr1_151913574_151913780,40.675737
chr1_151913815_151914271,40.675737
chr1_151916920_151917624,40.675737
chr1_151918898_151919222,40.675737
chr1_151945068_151945221,11.9588815
chr1_151960875_151961433,35.1425735
chr1_151961675_151962369,35.1425735
chr1_151968368_151968560,35.1425735
chr1_152006910_152007460,70.76209
chr1_152007615_152008057,70.76209
chr1_152010545_152011004,70.76209
chr1_152022022_152022514,51.643374
chr1_153337774_153338142,4.187505000000001
chr1_153488459_153488748,35.18734
chr1_153504746_153504953,24.234088
chr1_153525322_153525412,24.234088
chr1_153526279_153526545,24.234088
chr1_153541018_153541368,86.827104
chr1_153545866_153546049,5.565423
chr1_153583449_153583810,47.104251
chr1_153670755_153671012,23.673594
chr1_153715466_153715694,1.47043
chr1_153716388_153716727,1.47043
chr1_153936554_153936861,28.727504999999997
chr1_154154606_154155027,50.520024
chr1_154299137_154299452,5.560548000000001
chr1_154391539_154392211,14.573088
chr1_154392646_154393050,14.573088
chr1_154404273_154404562,8.229611
chr1_154405181_154405498,5.784391
