name_P,H3k36me3_P
chr1_1182002_1183102,2.578818
chr1_1186614_1187714,2.578818
chr1_1209165_1210265,2.578818
chr1_1209603_1210703,2.578818
chr1_1242947_1244047,2.184012
chr1_1244889_1245989,2.184012
chr1_1253969_1255069,2.184012
chr1_1259136_1260236,2.184012
chr1_1259971_1261071,2.184012
chr1_1265694_1266794,2.184012
chr1_1310775_1311875,4.690033000000001
chr1_1333902_1335002,6.050418
chr1_1341032_1342132,8.176442
chr1_1342593_1343693,5.1349849999999995
chr1_1343476_1344576,7.212568333333333
chr1_1475733_1476833,3.010263
chr1_1499804_1500904,3.010263
chr1_1509355_1510455,3.010263
chr1_1510149_1511249,3.010263
chr1_1602429_1603529,5.525187
chr1_1603714_1604814,5.525187
chr1_1677331_1678431,3.89313
chr1_1711796_1712896,3.89313
chr1_1821910_1823010,3.89313
chr1_1822395_1823495,3.89313
chr1_2309699_2310799,3.062328
chr1_2315811_2316911,3.062328
chr1_2322267_2323367,3.062328
chr1_2323046_2324146,3.062328
chr1_2345136_2346236,3.062328
chr1_2457939_2459039,2.3749119999999997
chr1_2461584_2462684,2.3749119999999997
chr1_2488370_2489470,3.877357
chr1_2511999_2513099,2.117218
chr1_3540566_3541666,2.537957
chr1_3541207_3542307,2.537957
chr1_3568084_3569184,2.537957
chr1_3569225_3570325,2.537957
chr1_3585236_3586336,2.537957
chr1_3630762_3631862,2.537957
chr1_989413_990513,1.658002
chr1_994114_995214,1.658002
