name_P,Smc3_P,H3k27ac_P,H3k79me2_P,H3k36me3_P,H3k4me2_P,Ctcf_P,H3k4me3_P,H4k20me1_P,H3k9ac_P,DNaseI_P,H3k27me3_P,H3k4me1_P
chr1_1141971_1143071,4.12743,0.0,0.0,0.0,11.418779,0.0,3.4903845,1.890931,3.65381,0.0882,2.620082,5.55154
chr1_1166629_1167729,5.11802,23.0499045,13.47265,0.0,10.8431265,0.0,10.305098,2.243262,21.632503,0.8202,0.0,4.226835
chr1_1209165_1210265,13.34357,13.048259,16.121399,2.578818,13.675889000000002,0.0,9.595939,2.059011,15.300889000000002,0.4104,0.0,8.522057
chr1_1209603_1210703,13.34357,13.048259,16.121399,2.578818,13.675889000000002,0.0,9.595939,2.059011,15.300889000000002,0.21775,0.0,8.522057
chr1_1284630_1285730,3.85227,8.2884,6.3222010000000015,0.0,13.001585666666665,14.2518445,7.923030000000001,1.747039,10.274769,0.1734,0.0,0.0
chr1_1342593_1343693,2.35138,17.577619,11.917936,5.134985,6.889602,4.316744,10.131813,2.15316,23.083244,0.3019,0.0,2.642435
chr1_1357049_1358149,36.56751,0.0,0.0,0.0,7.4466315,0.0,3.141872,0.0,0.0,0.0595,0.0,2.642435
chr1_1549795_1550895,5.59497,20.340961,5.018719,0.0,11.84108,12.213479,7.739878999999998,2.108147,15.90384,0.3179,0.0,6.2273
chr1_1602429_1603529,1712.55038,0.0,0.0,5.525187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95365
chr1_1654951_1656051,2.27009,9.239242,0.0,0.0,5.599986,9.208068,11.825739,0.0,15.972869000000001,0.3736,0.0,0.0
chr1_1655666_1656766,2.27009,9.239242,0.0,0.0,4.502554,10.7921965,7.8905565000000015,0.0,16.515245,0.3736,0.0,0.0
chr1_1711796_1712896,4.32679,22.123217,10.260518,3.89313,16.636057,0.0,9.288478,3.123218,12.471332,0.0862,0.0,12.365008
chr1_1822395_1823495,7.70455,14.0412545,10.260518,3.89313,11.7725935,0.0,7.889272999999998,3.123218,7.245489,0.315,0.0,5.374444
chr1_2143913_2145013,6.46631,0.0,0.0,0.0,10.613218,10.214909,6.644686,0.0,10.167581,0.0659,0.0,1.893131
chr1_2144059_2145159,6.46631,0.0,0.0,0.0,10.613218,10.214909,6.644686,0.0,10.167581,0.0659,0.0,1.893131
chr1_2322267_2323367,2.6599,10.634104,10.2731195,3.062328,11.670174,0.0,8.423813,2.1105970000000003,18.54931875,0.4664,0.0,5.364201
chr1_2345136_2346236,32.51235,13.344981,10.384024499999999,3.062328,15.424101,32.603559999999995,7.813777,0.0,13.833454,0.2885,0.0,6.279707
chr1_2476904_2478004,7.136984999999999,34.594827,6.99862,0.0,12.346145,4.610386,7.663586,0.0,22.253877,0.2971,1.589548,3.5616980000000003
chr1_2486078_2487178,5.17805,31.004694,10.403781,0.0,11.9236915,32.569276,9.113705,0.0,21.95641,0.1692,0.0,3.5616980000000003
chr1_2488370_2489470,5.7533900000000004,31.004694,10.403781,3.877357,11.9236915,10.208281,9.113705,2.101546,21.95641,0.1692,0.0,3.5616980000000003
chr1_2516930_2518030,2.3847400000000003,22.532173,6.658026,0.0,12.779298,10.737124,6.679703999999999,0.0,12.055978,0.2762,0.0,6.805462
chr1_2718186_2719286,36.39024000000001,0.0,0.0,0.0,0.0,11.942068,0.0,0.0,0.0,0.0823,0.0,0.0
chr1_3369990_3371090,8.346589999999999,0.0,0.0,0.0,0.0,20.190305,0.0,1.446044,0.0,0.1025,3.4604,0.0
chr1_3540566_3541666,7.979710000000002,13.040594,0.0,2.537957,17.744706,3.548511,7.107309,1.446044,12.758508,0.5324,1.6512639999999998,4.62626
chr1_3541207_3542307,9.3087,13.040594,3.098633,2.537957,18.013765,3.548511,7.107309,1.446044,12.5732445,0.5324,1.6512639999999998,5.4006735
chr1_568756_569856,1.75798,0.0,0.0,0.0,0.0,10.438871,0.0,0.0,0.0,0.0,0.0,0.0
chr1_713150_714250,11.0065,11.636454,13.7592245,0.0,17.93889,11.005144,4.8638,0.0,12.593103,0.1783,0.0,0.0
chr1_713906_715006,11.0065,11.636454,12.184641000000001,0.0,12.875934,11.005144,4.8638,0.0,12.593103,0.1783,0.0,0.0
chr1_839214_840314,4.7327900000000005,0.0,0.0,0.0,6.224183,25.116984,0.0,2.1370720000000003,6.711823,0.1878,0.0,0.0
chr1_856296_857396,6.05357,0.0,0.0,0.0,0.0,3.976481,0.0,2.1370720000000003,0.0,0.0769,3.625829,2.769035
chr1_894589_895689,3.16436,14.320926,12.871581,0.0,9.295137,0.0,7.565908999999999,2.1370720000000003,7.672475500000001,0.2754,0.0,3.215811
chr1_954503_955603,4.81534,40.010393,5.039301,0.0,11.239098666666665,15.538442000000002,7.261456000000001,2.116115,6.316619,0.2379,7.370049000000002,4.244077
chr1_998568_999668,10.96064,13.727739999999999,3.360379,0.0,7.549085000000001,36.600304,5.272549,1.6783709999999998,5.7259910000000005,0.1545,0.0,4.5345336666666665
chr1_1051641_1052741,0.0,5.332068,0.0,0.0,17.204929999999994,0.0,3.727092,0.0,5.393417,0.4359,2.924213,6.1255625
chr1_1101484_1102584,0.0,13.589489000000002,0.0,0.0,0.0,0.0,5.822288,0.0,0.0,0.0,1.835842,0.0
chr1_1149418_1150518,0.0,10.8630045,0.0,0.0,10.245455,0.0,3.26385,0.0,0.0,0.11125,0.0,7.008328
chr1_1167311_1168411,0.0,23.0499045,13.47265,0.0,12.511954,0.0,10.305098,2.243262,21.632503,0.8202,0.0,5.624228
chr1_1186614_1187714,0.0,20.595251,0.0,2.578818,14.394819,0.0,3.668041000000001,2.059011,0.0,0.2814,0.0,10.8769445
chr1_1242947_1244047,0.0,11.266123,7.635216000000002,2.184012,16.360278,0.0,9.628917,2.011795,13.259474,0.3276,0.0,6.746991
chr1_1244889_1245989,0.0,11.266123,7.635216000000002,2.184012,16.360278,0.0,9.628917,2.011795,13.259474,0.0,0.0,5.975634
chr1_1259136_1260236,0.0,17.843253,11.594376,2.184012,16.600588000000002,0.0,7.665975,2.011795,14.149955,0.3827,0.0,5.7865985
chr1_1259971_1261071,0.0,17.843253,11.594376,2.184012,16.85944,0.0,7.665975,2.011795,14.149955,0.3827,0.0,3.805944
chr1_1310775_1311875,0.0,12.272897,11.128195,4.6900330000000015,11.524825,12.420763,7.687251,0.0,15.038289,0.28755,0.0,5.940668
chr1_1333902_1335002,0.0,15.245844,11.917936,6.050418,9.543395,18.235166,14.120741,2.15316,27.977584000000004,0.21855,0.0,2.642435
chr1_1334608_1335708,0.0,15.245844,11.917936,0.0,9.543395,18.235166,14.120741,2.15316,27.977584000000004,0.4063,0.0,2.642435
chr1_1341032_1342132,0.0,17.577619,11.917936,8.176442,6.889602,0.0,10.131813,2.15316,23.083244,0.3019,0.0,2.642435
chr1_1343476_1344576,0.0,17.577619,11.917936,7.212568333333333,6.889602,4.316744,10.131813,2.15316,23.083244,0.0,0.0,2.642435
chr1_1354625_1355725,0.0,9.573392,0.0,0.0,4.476183,0.0,0.0,0.0,0.0,0.0999,0.0,2.642435
chr1_1406143_1407243,0.0,8.29328125,7.971867000000001,0.0,15.24914225,0.0,5.034635,0.0,11.1585045,0.5505,0.0,6.2523019999999985
chr1_1446531_1447631,0.0,15.786959,9.427107,0.0,13.1080585,3.523445,8.218535000000001,0.0,35.181555,0.377,0.0,4.642162
chr1_1475733_1476833,0.0,22.455861,0.0,3.010263,0.0,0.0,7.748310000000001,2.4223790000000003,0.0,0.0847,4.9497494999999985,0.0
chr1_1509355_1510455,0.0,20.043154,14.484763,3.010263,18.490069666666667,7.842769,13.883991,2.4223790000000003,32.201921,0.2566,0.0,0.0
chr1_1510149_1511249,0.0,20.043154,14.484763,3.010263,20.022366,0.0,13.883991,2.4223790000000003,32.201921,0.2566,0.0,7.851864
chr1_1551075_1552175,0.0,20.340961,5.018719,0.0,11.84108,0.0,7.739878999999998,2.108147,15.90384,0.5853,0.0,6.015089
chr1_1589786_1590886,0.0,37.418281,0.0,0.0,0.0,10.231186,3.981834,0.0,26.852842,0.4468,0.0,0.0
chr1_1590373_1591473,0.0,24.649132,0.0,0.0,9.549639,11.1844025,3.981834,0.0,21.624157500000006,0.23635,0.0,0.0
chr1_1624067_1625167,0.0,15.051707,0.0,0.0,0.0,0.0,0.0,0.0,14.405082,0.5811,0.0,0.0
chr1_1677331_1678431,0.0,21.152860999999998,0.0,3.89313,0.0,0.0,0.0,0.0,20.927406,0.7198,0.0,0.0
chr1_1821910_1823010,0.0,14.0412545,10.260518,3.89313,11.7725935,0.0,7.889272999999998,3.123218,7.245489,0.315,0.0,3.557315
chr1_1949780_1950880,0.0,38.687763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04945,2.457876,0.0
chr1_1980909_1982009,0.0,6.139327,0.0,0.0,14.915182,8.044219,8.394208,1.619169,12.246277,0.2315,1.7904759999999995,9.079859
chr1_1981409_1982509,0.0,6.139327,0.0,0.0,14.249651,0.0,7.186641000000001,1.619169,10.900559,0.2315,1.7904759999999995,0.0
chr1_2120237_2121337,0.0,5.896045,9.567117,0.0,10.185108,0.0,5.6379150000000005,0.0,9.8855245,0.242,0.0,1.893131
