name_E,H3k36me3_E,DNaseI_E,H3k27ac_E,H3k27me3_E,H3k9ac_E,H4k20me1_E,H3k4me1_E,H3k4me3_E,Ctcf_E,H3k79me2_E,H3k4me2_E
chr10_1100843_1101035,2.175682,0.0,22.608182,0.0,21.992117,0.0,5.485589,15.740174,0.0,8.907325,6.855629
chr10_1112826_1113160,2.175682,0.0,0.0,0.0,0.0,1.538592,0.0,0.0,0.0,0.0,0.0
chr10_2256285_2256680,1.369702,0.0476,26.306008,0.0,6.3542510000000005,0.0,6.9093300000000015,1.801504,6.5137160000000005,1.773897,3.1943735
chr10_3133662_3133717,2.685296,0.0538,14.840044,0.0,6.614194,1.818261,8.343986,7.251177999999999,0.0,4.9403440000000005,7.793336999999998
chr10_3137708_3138098,2.685296,0.0809,14.840044,0.0,7.390405,0.0,8.343986,6.006983999999999,0.0,4.9403440000000005,7.793336999999998
chr10_3145163_3145536,2.685296,0.0,0.0,0.0,0.0,2.043141,0.0,0.0,0.0,4.9403440000000005,0.0
chr10_3216614_3216797,2.685296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_100138206_100138591,1.678927,0.0394,8.176517,0.0,4.498078,0.0,7.524658,4.345429500000002,0.0,0.0,2.916652
chr1_100494312_100494735,2.626757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.763136
chr1_100512510_100512716,2.626757,0.0,0.0,0.0,0.0,5.9690080000000005,0.0,0.0,0.0,10.797317,3.763136
chr1_100678369_100678762,2.110131,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_100703358_100703606,2.110131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_101392986_101393260,2.522252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_101486133_101486158,2.522252,0.0,0.0,0.0,0.0,0.0,2.236681,0.0,0.0,2.3058560000000003,0.0
chr1_10556105_10556527,1.836447,0.0,0.0,0.0,0.0,3.143787,0.0,0.0,17.106444,3.635956,0.0
chr1_10557233_10557456,1.836447,0.0,0.0,0.0,0.0,3.5712825,0.0,0.0,0.0,3.635956,0.0
chr1_10558276_10558621,1.836447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.635956,0.0
chr1_10585199_10585569,2.043627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.635956,0.0
chr1_108132692_108133060,1.715367,0.0,0.0,0.0,0.0,1.161583,0.0,0.0,0.0,0.0,0.0
chr1_108695322_108695861,3.870517,0.0,0.0,1.938191,0.0,2.136456,0.0,0.0,2.7493,6.939353,0.0
chr1_108741685_108742156,3.870517,0.0919,42.33255,1.938191,31.111418,4.1901175,11.046023,21.245261,7.5135809999999985,8.266903,13.91426
chr1_109100040_109100237,3.3829160000000003,0.0,7.591144,0.0,0.0,13.053718,4.853279,12.822113,0.0,10.35851,9.218939
chr1_109104473_109104583,3.3829160000000003,0.0375,7.591144,0.0,13.995229,4.660119,4.853279,12.822113,13.765665,10.35851,9.218939
chr1_109127044_109127234,3.3829160000000003,0.0231,7.591144,0.0,6.997592,0.0,4.853279,4.7948175000000015,0.0,10.35851,9.36346
chr1_109133120_109133338,3.3829160000000003,0.0,7.591144,0.0,5.606597,0.0,4.853279,6.129967,0.0,10.35851,9.36346
chr1_109133637_109134097,3.3829160000000003,0.0318,7.591144,0.0,5.606597,0.0,4.853279,3.261469,0.0,10.35851,9.36346
chr1_109189516_109189718,3.3829160000000003,0.0328,17.649669,0.0,5.49905,0.0,7.4912839999999985,8.46385,3.447141,0.0,6.094741
chr1_109467804_109468470,2.900969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_109515208_109515609,2.900969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_109572587_109572654,2.900969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.951677,0.0
chr1_109800134_109800539,1.509662,0.025,0.0,0.0,2.427816,0.0,3.666842,0.0,0.0,4.9177715,0.0
chr1_109913179_109913623,2.465285,0.0,0.0,0.0,0.0,9.826774,0.0,0.0,0.0,3.000327,0.0
chr1_109933790_109934137,2.465285,0.0,0.0,0.0,0.0,0.0,4.560226,0.0,0.0,0.0,2.65853
chr1_109938897_109939079,2.465285,0.0,0.0,0.0,8.247834,0.0,4.325669,14.866276999999998,0.0,7.339863999999999,9.684732
chr1_110142749_110143055,2.555674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_110160052_110160461,2.555674,0.0411,8.377417999999999,1.346952,10.281425,0.0,7.597538,0.0,1.876229,0.0,11.412076
chr1_110358971_110359415,1.369965,0.0,19.465587,0.0,0.0,0.0,0.0,0.0,4.912684,0.0,0.0
chr1_110363861_110364229,1.369965,0.0857,19.465587,0.0,8.738866999999999,0.0,13.334957,6.056508999999998,2.0039,0.0,7.876764
chr1_110364881_110365302,1.369965,0.0654,19.465587,0.0,8.738866999999999,0.0,13.334957,6.056508999999998,2.0039,2.8420650000000003,7.876764
chr1_110366477_110366702,1.369965,0.0234,19.465587,0.0,8.738866999999999,0.0,13.334957,6.056508999999998,2.0039,2.8420650000000003,7.876764
chr1_11050864_11051128,2.021074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.399568,0.0,0.0
chr1_110537379_110537528,3.616633,0.0,3.856304,0.0,0.0,0.0,0.0,0.0,0.0,6.5623320000000005,5.339661
chr1_110879130_110879445,3.40317,0.032,36.79599,0.0,35.378208,0.0,6.840337,25.183146,0.0,9.560485,7.369064999999999
chr1_110927812_110928210,3.40317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_111735402_111735659,3.161799,0.0,0.0,2.738166,3.847733,0.0,0.0,0.0,1.6391950000000002,0.0,0.0
chr1_111735691_111736003,3.161799,0.0,0.0,2.738166,3.847733,0.0,0.0,0.0,1.6391950000000002,0.0,0.0
chr1_111981832_111982198,3.29803,0.0,0.0,2.738166,12.169322,2.383945,0.0,0.0,0.0,0.0,0.0
chr1_112013331_112014031,3.29803,0.0,0.0,0.0,0.0,8.193605,0.0,0.0,0.0,0.0,0.0
chr1_112163412_112163797,2.165265,0.2398,12.869983,0.0,16.197827,0.0,4.433636333333333,16.883526999999994,0.0,6.78839,13.128338
chr1_112163826_112164071,2.165265,0.0,12.869983,0.0,16.197827,0.0,4.433636333333333,16.883526999999994,0.0,6.78839,13.128338
chr1_112196411_112196803,2.165265,0.0,0.0,0.0,0.0,4.449188,0.0,0.0,0.0,6.78839,0.0
chr1_112291453_112291811,2.834838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.060739,3.276852,0.0
chr1_11236551_11236761,2.021074,0.0,0.0,0.0,0.0,3.833625,0.0,0.0,0.0,0.0,0.0
chr1_112942216_112942335,2.4535560000000003,0.0,0.0,0.0,0.0,0.0,4.220592,0.0,3.280588,8.489129,10.6266365
chr1_113013577_113014004,2.4535560000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_113014906_113015158,2.4535560000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_113086746_113087141,3.14376,0.0685,12.953964,0.0,10.277171,0.0,7.276499,6.390299,0.0,0.0,10.785062
chr1_113525578_113525919,2.746243,0.0,0.0,0.0,0.0,5.482526,0.0,0.0,0.0,8.1678,0.0
chr1_113675675_113676049,3.413131,0.0,0.0,0.0,0.0,1.33272,0.0,0.0,0.0,0.0,0.0
chr1_11376903_11377179,2.021074,0.0,0.0,2.080527,0.0,1.226666,0.0,0.0,1.46578,0.0,0.0
chr1_114326143_114326379,2.718527,0.0,0.0,0.0,0.0,1.532209,2.311555,0.0,0.0,6.342653,0.0
chr1_114997819_114998047,3.974173,0.0226,9.450713,0.0,0.0,5.5822705,7.793803,0.0,1.566163,8.665988,5.235973
chr1_115025085_115025405,3.974173,0.0,0.0,0.0,0.0,1.532209,0.0,0.0,0.0,8.665988,0.0
chr1_115052481_115052766,3.974173,0.0,17.770179000000006,0.0,18.9712825,1.532209,4.7445879999999985,27.381982,1.688534,8.665988,7.773546499999999
chr1_115713702_115714032,1.560701,0.0,0.0,0.0,1.48258,1.4379185,0.0,0.0,1.930996,0.0,0.0
chr1_115732772_115733197,1.39329,0.0729,5.100656,0.0,1.48258,1.4379185,7.472604,10.171556,1.930996,0.0,4.077594
chr1_115968975_115969167,1.587071,0.0477,17.170574,0.0,8.514769,1.4379185,10.658675,5.272697,1.540709,0.0,3.866044
chr1_116221756_116221883,3.157007,0.0377,2.014943,0.0,0.0,1.484524,4.435285,1.689087,1.581948,4.683337,0.0
chr1_116520279_116520650,2.626925,0.0718,35.68598,0.0,26.586221,1.484524,5.9771980000000005,21.112951,3.141629,7.395825,13.548319
chr1_116918925_116919548,3.781579,0.0289,11.372909,0.0,9.700475,3.1203505000000002,12.129235,14.36288,0.0,12.510027,4.533258
chr1_116920378_116921129,3.781579,0.0503,11.372909,0.0,9.700475,3.1203505000000002,12.129235,14.36288,0.0,12.510027,4.533258
chr1_116923407_116923493,3.781579,0.0,0.0,0.0,0.0,3.1203505000000002,12.129235,0.0,0.0,12.510027,4.533258
chr1_117030831_117031034,1.397935,0.0261,0.0,2.020414,1.6612669999999998,1.484524,8.166532499999999,1.78312,3.6853785000000006,0.0,3.832513
chr1_117032033_117032296,1.397935,0.03,0.0,2.020414,1.6612669999999998,6.451033,8.166532499999999,1.78312,3.6853785000000006,0.0,3.9539245000000003
chr1_117040346_117040781,2.3836310000000003,0.0,0.0,0.0,2.207465,1.484524,6.098841,0.0,3.3517195,0.0,2.264016
chr1_117046366_117046546,2.3836310000000003,0.0,12.070833,0.0,2.207465,3.962554,8.943853,0.0,3.3517195,0.0,3.9625574999999995
chr1_117047053_117047428,2.3836310000000003,0.0466,12.070833,0.0,2.207465,1.484524,8.943853,6.3165830000000005,3.3517195,0.0,3.9625574999999995
chr1_117050808_117051139,2.3836310000000003,0.0,12.070833,0.0,2.207465,6.058493500000001,8.943853,4.7926449999999985,2.764004,4.088301,6.206245
chr1_117051576_117051921,2.3836310000000003,0.0789,12.070833,0.0,2.207465,3.2493350000000003,8.943853,4.7926449999999985,2.764004,0.0,6.206245
chr1_117074509_117074935,2.3836310000000003,0.0,0.0,0.0,0.0,1.484524,0.0,0.0,9.526147,6.697025999999998,0.0
chr1_117080047_117080432,2.3836310000000003,0.0476,4.02171,0.0,0.0,1.484524,5.3969559999999985,0.0,0.0,0.0,3.57215
chr1_117081238_117081452,2.3836310000000003,0.0462,0.0,0.0,0.0,6.6841455000000005,5.3969559999999985,0.0,0.0,7.493421999999999,3.315612
chr1_117082797_117083071,2.3836310000000003,0.0,0.0,0.0,0.0,1.484524,0.0,0.0,0.0,0.0,0.0
chr1_117100772_117101124,2.3836310000000003,0.0,0.0,0.0,0.0,1.484524,4.7010235,0.0,0.0,8.046402,0.0
chr1_117111804_117112156,2.3836310000000003,0.0,32.758089,0.0,25.735356,3.6917595000000003,5.313075,20.640187,0.0,8.046402,4.307003
