name_P,H3k27me3_P
chr1_1071397_1072497,2.4127400000000003
chr1_1108264_1109364,1.80509
chr1_1141971_1143071,2.6419900000000003
chr1_1354625_1355725,2.7681400000000003
chr1_1369853_1370953,2.70145
chr1_1384069_1385169,2.69734
chr1_1535376_1536476,2.04353
chr1_1566474_1567574,3.4239
chr1_1845266_1846366,2.44263
chr1_1935176_1936276,2.48434
chr1_1980909_1982009,2.11445
chr1_1981409_1982509,2.11445
chr1_2461584_2462684,2.57028
chr1_2496849_2497949,2.69499
chr1_267153_268253,4.3936
chr1_2978859_2979959,2.0040299999999998
chr1_2984732_2985832,2.02032
chr1_2984901_2986001,2.02032
chr1_316720_317820,7.03637
chr1_3369990_3371090,2.43035
chr1_3527959_3529059,2.2315
chr1_3568084_3569184,2.6236900000000003
chr1_3569225_3570325,1.86801
chr1_568756_569856,4.0803199999999995
chr1_817043_818143,2.4206
chr1_917397_918497,2.1734
