name_P,H3k4me2_P
chr1_1009587_1010687,10.185915
chr1_1051641_1052741,27.555581
chr1_1101484_1102584,4.333595
chr1_1141971_1143071,10.09327
chr1_1166629_1167729,13.180009
chr1_1167311_1168411,13.180009
chr1_1186614_1187714,14.425964000000002
chr1_1209165_1210265,19.245189
chr1_1209603_1210703,19.245189
chr1_1242947_1244047,21.178097
chr1_1244889_1245989,21.178097
chr1_1253969_1255069,7.443925
chr1_1259136_1260236,14.342864000000002
chr1_1259971_1261071,14.342864000000002
chr1_1284630_1285730,21.400741
chr1_1297057_1298157,5.868874
chr1_1310775_1311875,12.027485
chr1_1333902_1335002,16.985313
chr1_1334608_1335708,16.985313
chr1_1341032_1342132,12.985281
chr1_1342593_1343693,12.985281
chr1_1343476_1344576,12.985281
chr1_1354625_1355725,7.747980999999999
chr1_1357049_1358149,7.747980999999999
chr1_1369241_1370341,14.2825055
chr1_1369853_1370953,16.179094
chr1_1406143_1407243,15.891981
chr1_1446531_1447631,21.784052
chr1_1509355_1510455,12.364684
chr1_1510149_1511249,12.364684
chr1_1535376_1536476,8.399295
chr1_1549795_1550895,22.017751
chr1_1551075_1552175,22.017751
chr1_1589786_1590886,11.947273
chr1_1590373_1591473,6.040171
chr1_1624067_1625167,6.524280999999999
chr1_1654951_1656051,7.720393333333334
chr1_1655666_1656766,7.6209225
chr1_1677331_1678431,8.7465535
chr1_1711796_1712896,14.874602
chr1_1821910_1823010,11.393235
chr1_1822395_1823495,11.393235
chr1_1850612_1851712,13.563396
chr1_1946869_1947969,15.112789999999999
chr1_1949780_1950880,8.461328
chr1_1980909_1982009,14.363235000000001
chr1_1981409_1982509,14.363235000000001
chr1_2120237_2121337,15.652949
chr1_2142962_2144062,12.058176
chr1_2143913_2145013,12.058176
chr1_2144059_2145159,12.058176
chr1_2145520_2146620,12.058176
chr1_2159134_2160234,23.679828
chr1_2283196_2284296,3.3095730000000003
chr1_2284159_2285259,6.4131855
chr1_2322267_2323367,13.940842000000002
chr1_2323046_2324146,13.940842000000002
chr1_2345136_2346236,21.978607
chr1_2424597_2425697,10.950192
chr1_2457939_2459039,14.189028
chr1_2461584_2462684,9.210442
chr1_2476904_2478004,8.943832
chr1_2486078_2487178,19.418193
chr1_2488370_2489470,19.418193
chr1_2516930_2518030,15.503639000000002
chr1_2984732_2985832,7.6786449999999995
chr1_2984901_2986001,7.6786449999999995
chr1_3369990_3371090,8.575099
chr1_3527959_3529059,10.5400305
chr1_3540566_3541666,18.397845
chr1_3541207_3542307,18.397845
chr1_3568084_3569184,10.71146
chr1_3569225_3570325,10.71146
chr1_3585236_3586336,10.132553
chr1_713150_714250,8.973539666666667
chr1_713906_715006,8.984182333333335
chr1_751751_752851,13.038277666666666
chr1_752992_754092,6.9642525
chr1_761988_763088,5.710057
chr1_762802_763902,5.710057
chr1_839214_840314,5.289883000000001
chr1_856296_857396,7.91472
chr1_859260_860360,9.326581
chr1_894589_895689,9.873616
chr1_894967_896067,9.873616
chr1_900877_901977,20.721393
chr1_933331_934431,13.274121
chr1_935452_936552,13.274121
chr1_947803_948903,12.581742
chr1_948473_949573,12.581742
chr1_954503_955603,16.584336999999998
chr1_994114_995214,13.991584
chr1_998568_999668,15.564795000000002
