name_P,H3k27ac_P
chr1_1101484_1102584,24.317369
chr1_1102243_1103343,24.317369
chr1_1166629_1167729,13.582406
chr1_1167311_1168411,13.582406
chr1_1186614_1187714,10.944942
chr1_1209165_1210265,14.8717605
chr1_1209603_1210703,13.403974
chr1_1242947_1244047,8.473197666666666
chr1_1244889_1245989,4.289457
chr1_1253969_1255069,8.22453
chr1_1259136_1260236,5.938974999999999
chr1_1259971_1261071,5.938974999999999
chr1_1265694_1266794,4.289457
chr1_1284630_1285730,10.960366
chr1_1310775_1311875,8.219299000000001
chr1_1333902_1335002,11.954258
chr1_1334608_1335708,11.954258
chr1_1341032_1342132,8.62158
chr1_1342593_1343693,8.62158
chr1_1343476_1344576,8.62158
chr1_1357049_1358149,7.098577
chr1_1406143_1407243,16.822347
chr1_1446531_1447631,24.018126000000002
chr1_1509355_1510455,24.278792000000003
chr1_1510149_1511249,24.278792000000003
chr1_1549795_1550895,10.760337
chr1_1551075_1552175,10.760337
chr1_1589786_1590886,6.3367830000000005
chr1_1590373_1591473,6.3367830000000005
chr1_1624067_1625167,11.413298
chr1_1654951_1656051,11.455473
chr1_1655666_1656766,10.639466500000001
chr1_1677331_1678431,20.096799
chr1_1821910_1823010,10.026635
chr1_1822395_1823495,10.026635
chr1_1980909_1982009,15.121769
chr1_1981409_1982509,15.121769
chr1_2120237_2121337,8.661814
chr1_2142962_2144062,14.430267
chr1_2143913_2145013,14.430267
chr1_2144059_2145159,14.430267
chr1_2159134_2160234,11.0934055
chr1_2322267_2323367,11.326157
chr1_2323046_2324146,10.783648
chr1_2425818_2426918,7.4745029999999995
chr1_2457939_2459039,6.666805
chr1_2486078_2487178,6.424614
chr1_2488370_2489470,6.424614
chr1_2516930_2518030,9.40587
chr1_3369990_3371090,7.695373
chr1_3540566_3541666,12.052313
chr1_713150_714250,8.493799000000001
chr1_713906_715006,8.493799000000001
chr1_751751_752851,15.110586999999999
chr1_752992_754092,14.560661999999999
chr1_761988_763088,8.835552999999999
chr1_762802_763902,8.835552999999999
chr1_894589_895689,14.228425
chr1_900877_901977,15.465203
chr1_935452_936552,11.43994
chr1_947803_948903,12.173208
chr1_948473_949573,12.173208
chr1_954503_955603,11.289819999999999
