name_E,H3k27ac_E
chr1_1093610_1093958,16.607566000000002
chr1_1714020_1714715,22.123217
chr1_1772108_1772256,15.20912
chr1_1793829_1793862,6.500139
chr1_1840449_1840835,7.514931
chr1_2221868_2222548,6.4521725
chr1_2230678_2230895,15.854692
chr1_2231691_2232185,15.854692
chr1_2232428_2232896,15.854692
chr1_2246556_2246763,14.997611
chr1_2478276_2478817,34.594827
chr1_2509702_2510198,31.6185755
chr1_2574343_2574764,18.067339999999998
chr1_3581269_3581645,14.527060999999998
chr1_3594206_3594277,14.527060999999998
chr1_3817648_3818071,12.450198999999998
chr1_6053603_6054107,13.182915
chr1_6054896_6055025,13.182915
chr1_6088225_6088518,16.391074
chr1_6350184_6350543,22.604616
chr1_6351007_6351537,22.604616
chr1_6661008_6661639,11.267623
chr1_7461964_7462325,9.365482
