name_E,Smc3_E,Pol2_E,H4k20me1_E,H3k27ac_E,H3k9ac_E,DNaseI_E,H3k4me2_E,Rad21_E,H3k27me3_E,H3k4me3_E,Ctcf_E,H3k79me2_E,H3k4me1_E,H3k36me3_E
chr10_1100843_1101035,2.99481623473503,0.0,0.0,0.0,0.0,0.0,3.50883,0.0,0.0,0.0,0.0,2.40611,4.27223,3.04134
chr10_2951238_2951396,5.73607223341392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49158,0.0,0.0,0.0,2.48005,0.0
chr10_3133662_3133717,3.4957582194672,0.0,0.0,2.22404,2.89557,3.50467,3.17053,0.0,0.0,0.0,0.0,0.0,1.95698,2.13093
chr10_3509617_3509911,10.5381775914803,0.0,3.93803,3.37819,4.20073,4.51958,4.01358,2.55453,0.0,0.0,2.45103,0.0,3.43042,0.0
chr10_3510310_3510716,13.4008255584046,3.17259,3.93803,3.37819,4.20073,4.51958,4.01358,2.55453,0.0,4.09571,0.0,0.0,0.0,0.0
chr10_3511181_3511689,9.2849885877513,3.17259,3.93803,3.37819,4.20073,4.51958,4.01358,2.55453,0.0,0.0,0.0,0.0,2.70584,0.0
chr10_3524547_3524820,12.6517452784676,0.0,2.61758,2.63186,2.84571,6.67127,5.47812,3.02803,0.0,4.31027,0.0,2.67084,2.93407,0.0
chr10_3526849_3527147,8.37600580404801,0.0,0.0,3.45697,3.12842,4.96048,3.12901,2.67155,0.0,0.0,0.0,0.0,2.93407,0.0
chr10_3528683_3528786,4.53311672166641,0.0,0.0,0.0,0.0,3.39502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3568141_3568290,7.08683612867759,3.18567,2.64537,3.98461,3.94852,5.07715,3.84922,4.22448,0.0,0.0,0.0,0.0,3.52349,0.0
chr10_3634689_3634961,4.6991282162374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3710838_3711066,4.5297627874893,0.0,0.0,3.74131,3.88582,7.22034,5.52583,0.0,0.0,0.0,0.0,0.0,3.98263,0.0
chr10_3762746_3763172,4.31868481072276,0.0,0.0,3.82517,0.0,7.61349,5.13739,2.86997,0.0,0.0,0.0,0.0,3.65391,0.0
chr10_3782727_3783283,7.61944979342026,0.0,3.19654,3.13632,0.0,6.76171,3.55533,0.0,0.0,0.0,0.0,0.0,3.48789,0.0
chr10_3797195_3797502,13.2536196937822,0.0,3.3403,3.02773,0.0,5.84461,4.40807,2.17639,0.0,0.0,0.0,0.0,3.65428,0.0
chr10_3845999_3846426,3.85420569531186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3848037_3849536,8.939998478256575,3.09117,0.0,2.15305,0.0,3.83223,2.65373,3.17823,0.0,0.0,0.0,0.0,2.52611,0.0
chr10_3852273_3852886,15.1334343725355,2.48757,0.0,3.83495,4.29908,4.37306,4.70426,3.50987,0.0,0.0,0.0,0.0,2.94907,0.0
chr10_3853393_3854169,12.0052199603206,0.0,0.0,3.83495,3.5631,4.37306,5.06299,0.0,0.0,4.23172,0.0,0.0,2.45871,0.0
chr10_3867491_3867713,6.90459079257746,0.0,0.0,0.0,0.0,4.45925,0.0,2.05094,0.0,0.0,0.0,0.0,2.33925,0.0
chr10_3870489_3871262,12.8784434229177,0.0,0.0,3.59018,4.32659,5.95911,4.17511,1.59052,0.0,5.32399,0.0,0.0,2.89273,0.0
chr10_3893365_3894190,6.10586376273222,2.7243,2.82272,2.85601,3.02551,5.04213,3.18908,3.32761,0.0,0.0,0.0,0.0,3.3377,0.0
chr10_3899382_3899877,3.88918645928694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3909715_3910075,4.15814857627686,0.0,0.0,0.0,0.0,4.38145,0.0,0.0,0.0,0.0,0.0,0.0,3.82085,0.0
chr10_3911352_3911510,3.66109166608006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.30264,0.0
chr10_3928866_3929216,9.4108518411906,7.37942,0.0,2.96622,3.55076,4.52003,3.22481,2.97501,0.0,0.0,0.0,0.0,2.50211,0.0
chr10_3929991_3930887,24.1101715811377,7.37942,0.0,2.96622,3.55076,4.52003,3.22481,5.45198,0.0,0.0,0.0,2.8259,2.50211,0.0
chr10_3932191_3932411,6.49648005093291,2.03368,0.0,0.0,0.0,3.31265,0.0,2.45126,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3944367_3944901,3.73871963789324,0.0,0.0,0.0,0.0,2.2614,3.0381,0.0,0.0,0.0,0.0,0.0,3.35366,0.0
