name_P,H3k36me3_P
chr1_1182002_1183102,2.472473
chr1_1186614_1187714,2.472473
chr1_1209165_1210265,2.472473
chr1_1209603_1210703,2.472473
chr1_1242947_1244047,2.515885
chr1_1244889_1245989,2.515885
chr1_1253969_1255069,2.515885
chr1_1259136_1260236,2.515885
chr1_1259971_1261071,2.515885
chr1_1265694_1266794,2.515885
chr1_1284630_1285730,2.515885
chr1_1333902_1335002,5.921248
chr1_1334608_1335708,6.362751
chr1_1341032_1342132,13.422887
chr1_1406143_1407243,2.272581
chr1_1446531_1447631,2.409251
chr1_1475733_1476833,2.409251
chr1_1499804_1500904,5.3537555
chr1_1509355_1510455,2.409251
chr1_1510149_1511249,2.409251
chr1_1514136_1515236,2.409251
chr1_1602429_1603529,3.671217
chr1_1677331_1678431,3.2948180000000002
chr1_1711796_1712896,3.2948180000000002
chr1_2076618_2077718,2.03579
chr1_2115728_2116828,2.03579
chr1_2120237_2121337,2.03579
chr1_2356419_2357519,2.097338
chr1_2424597_2425697,2.6420779999999997
chr1_2425818_2426918,2.6420779999999997
chr1_2457939_2459039,2.6420779999999997
chr1_2461584_2462684,2.6420779999999997
chr1_3540566_3541666,2.262069
chr1_3541207_3542307,2.262069
chr1_3568084_3569184,2.262069
chr1_3569225_3570325,2.262069
chr1_894589_895689,2.405198
chr1_894967_896067,2.405198
chr1_900877_901977,2.405198
chr1_954503_955603,2.756271
chr1_989413_990513,2.756271
chr1_994114_995214,2.756271
chr1_998568_999668,2.756271
