name_E,Ctcf_E,H3k27ac_E,H3k9ac_E,H4k20me1_E,H3k4me2_E,H3k79me2_E,DNaseI_E,H3k36me3_E,H3k4me1_E,H3k4me3_E,H3k27me3_E
chr10_2256285_2256680,6.513716,26.306008,6.354251,0.0,3.1943735,1.773897,0.0476,1.369702,6.90933,1.801504,0.0
chr10_3028046_3028193,4.7256085,11.565401,4.868394,0.0,7.02447,0.0,0.1178,0.0,4.960234,6.836618,0.0
chr10_3507725_3507898,2.018393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3509617_3509911,12.5732565,11.136484,4.768706,0.0,6.817984,0.0,0.0477,0.0,6.427419,8.065856,0.0
chr10_3510310_3510716,2.018393,11.136484,4.768706,0.0,6.817984,0.0,0.0,0.0,6.427419,8.065856,0.0
chr10_3511181_3511689,2.018393,11.136484,4.768706,0.0,6.817984,0.0,0.0415,0.0,6.427419,8.520368,0.0
chr10_3528683_3528786,5.516858,0.0,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,1.636586
chr10_3984866_3985563,2.915402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_3985648_3985956,2.915402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr10_4386754_4387085,9.777488,14.198049,0.0,0.0,4.294959,0.0,0.068,0.0,7.458598,3.231132,0.0
chr10_4813646_4813900,8.361805,6.957288,0.0,0.0,0.0,0.0,0.0383,0.0,3.105971,0.0,0.0
chr10_4891874_4892173,58.369005,5.904168,2.724756,0.0,7.808551,0.0,0.0588,0.0,6.5801195,4.425261,0.0
chr10_5336164_5336286,8.573943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.099822,0.0,0.0
chr10_556579_556951,25.559851,0.0,0.0,0.0,0.0,0.0,0.1385,0.0,0.0,0.0,1.637605
chr10_557102_557353,25.559851,0.0,0.0,0.0,0.0,0.0,0.1385,0.0,0.0,0.0,1.637605
chr1_100113534_100114036,16.196911,9.289429,0.0,0.0,2.916652,1.620673,0.0,0.0,6.442633,7.459525,0.0
chr1_101774729_101775525,25.098137,0.0,0.0,0.0,0.0,0.0,0.0451,0.0,0.0,0.0,2.077924
chr1_10269964_10270260,15.191899,13.688554,16.367863,0.0,12.03442,0.0,0.1138,0.0,5.893138,18.494817,0.0
chr1_10556105_10556527,17.106444,0.0,0.0,3.143787,0.0,3.635956,0.0,1.836447,0.0,0.0,0.0
chr1_10813352_10813797,7.774703,0.0,0.0,0.0,0.0,0.0,0.0296,0.0,0.0,0.0,0.0
chr1_10816030_10816223,3.783434,0.0,0.0,0.0,0.0,0.0,0.0817,0.0,0.0,0.0,0.0
chr1_108593971_108594173,2.718523,0.0,0.0,1.5033455,0.0,0.0,0.0,0.0,0.0,0.0,1.938191
chr1_108594435_108594579,2.718523,0.0,0.0,1.5033455,0.0,0.0,0.0,0.0,0.0,0.0,1.938191
chr1_108595513_108595797,2.718523,0.0,0.0,1.5033455,0.0,0.0,0.0,0.0,0.0,0.0,1.938191
chr1_108595998_108596525,2.718523,0.0,0.0,1.5033455,0.0,0.0,0.0,0.0,0.0,0.0,1.938191
chr1_108695322_108695861,2.7493,0.0,0.0,2.136456,0.0,6.939353,0.0,3.870517,0.0,0.0,1.938191
chr1_108741685_108742156,7.513581,42.33255,31.111418,4.1901175,13.91426,8.266903,0.0919,3.870517,11.046023,21.245261,1.938191
chr1_109104473_109104583,13.765665,7.591144,13.995229,4.660119,9.218939,10.35851,0.0375,3.382916,4.853279,12.822113,0.0
chr1_109189516_109189718,3.447141,17.649669,5.49905,0.0,6.094741,0.0,0.0328,3.382916,7.491284,8.46385,0.0
chr1_109262615_109262764,2.853105,4.702635,0.0,0.0,5.068845,0.0,0.0618,0.0,6.436001,6.07867,0.0
chr1_10927237_10927380,7.332711,0.0,3.608183,0.0,3.717923,0.0,0.1095,0.0,0.0,3.988846,0.0
chr1_10960432_10960567,1.399568,9.97432,6.612043,0.0,8.861776,0.0,0.0876,0.0,4.194065,9.808153,0.0
chr1_110160052_110160461,1.876229,8.377417999999999,10.281425,0.0,11.412076,0.0,0.0411,2.555674,7.597538,0.0,1.346952
chr1_110333273_110333688,7.1105676666666655,6.446015,2.542695,0.0,3.7926745,0.0,0.0,0.0,11.4653,2.235195,0.0
chr1_110334849_110335164,6.252709666666667,6.446015,2.542695,0.0,3.7926745,0.0,0.0562,0.0,11.4653,6.838260000000001,0.0
chr1_110335775_110336041,5.508447,6.446015,2.542695,10.517354,3.7926745,0.0,0.0,0.0,11.4653,4.1584945,0.0
chr1_110336950_110337403,5.508447,6.446015,2.542695,0.0,3.7926745,0.0,0.0,0.0,11.4653,2.235195,0.0
chr1_110339466_110339959,5.508447,4.93313,2.542695,0.0,2.698623,0.0,0.0258,0.0,6.422085,2.235195,0.0
chr1_110358971_110359415,4.9126840000000005,19.465587,0.0,0.0,0.0,0.0,0.0,1.369965,0.0,0.0,0.0
chr1_110363861_110364229,2.0039,19.465587,8.738867,0.0,7.876764,0.0,0.0857,1.369965,13.334957,6.056509,0.0
chr1_110364881_110365302,2.0039,19.465587,8.738867,0.0,7.876764,2.842065,0.0654,1.369965,13.334957,6.056509,0.0
chr1_110366477_110366702,2.0039,19.465587,8.738867,0.0,7.876764,2.842065,0.0234,1.369965,13.334957,6.056509,0.0
chr1_110406868_110407271,2.021138,0.0,2.551894,0.0,0.0,0.0,0.0,0.0,4.590204,0.0,0.0
chr1_110420039_110420145,2.021138,21.499445,2.551894,0.0,6.43366,0.0,0.1236,0.0,4.590204,9.800691,0.0
chr1_110429456_110429734,2.021138,0.0,2.551894,0.0,0.0,0.0,0.0,0.0,4.590204,0.0,0.0
chr1_110444415_110444738,2.021138,10.099794,2.551894,0.0,5.449884,0.0,0.0985,0.0,4.590204,2.274456,0.0
chr1_110447199_110447636,2.021138,0.0,2.551894,0.0,2.424337,0.0,0.0,0.0,4.590204,2.274456,0.0
chr1_110448900_110449220,2.021138,0.0,2.551894,7.910553,2.424337,0.0,0.0,0.0,4.590204,2.274456,1.454072
chr1_110451717_110451917,2.021138,0.0,2.551894,0.0,2.424337,0.0,0.0,0.0,4.590204,2.274456,1.454072
chr1_110454846_110455290,2.021138,0.0,2.551894,0.0,2.424337,0.0,0.0,0.0,4.590204,2.274456,1.454072
chr1_110476602_110476703,2.021138,0.0,2.551894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chr1_11050864_11051128,1.399568,0.0,0.0,0.0,0.0,0.0,0.0,2.021074,0.0,0.0,0.0
chr1_110626726_110627062,5.065535,0.0,1.709545,0.0,0.0,0.0,0.0,0.0,2.944349,0.0,0.0
chr1_110694968_110695154,1.886057,0.0,0.0,0.0,0.0,0.0,0.0283,0.0,0.0,0.0,3.971744
chr1_110963862_110964269,3.405183,0.0,0.0,0.0,0.0,0.0,0.0421,0.0,5.907437,0.0,2.012849
chr1_110976504_110976901,9.607997,0.0,0.0,0.0,4.754384,0.0,0.1273,0.0,6.998951,4.149995,2.012849
chr1_111053467_111053812,3.591399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111162611_111162919,27.366752,0.0,0.0,0.0,2.562562,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111170436_111170835,3.473302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111177471_111177854,3.473302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111178912_111179243,3.473302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111182665_111183078,3.473302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111417124_111417532,1.578162,0.0,0.0,0.0,2.330371,0.0,0.0,0.0,0.0,0.0,2.942094
chr1_111735402_111735659,1.639195,0.0,3.847733,0.0,0.0,0.0,0.0,3.161799,0.0,0.0,2.738166
chr1_111735691_111736003,1.639195,0.0,3.847733,0.0,0.0,0.0,0.0,3.161799,0.0,0.0,2.738166
chr1_111764327_111764759,16.063759,0.0,0.0,1.829298,0.0,0.0,0.0,0.0,0.0,0.0,2.738166
chr1_112048437_112048734,3.072493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51777
chr1_112050044_112050594,18.6534275,13.493841,15.003694,0.0,13.017902,0.0,0.105,0.0,3.858964,11.600266,2.51777
chr1_112058341_112058601,3.072493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.620043
chr1_112058803_112059167,6.8810695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.620043
chr1_112135698_112135869,2.847438,6.623945,7.368177,0.0,7.771087,0.0,0.1296,0.0,6.58063,7.3211,0.0
chr1_112286281_112286588,4.060739,0.0,2.855615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.444867
chr1_112291453_112291811,4.060739,0.0,0.0,0.0,0.0,3.276852,0.0,2.834838,0.0,0.0,0.0
chr1_112901525_112901779,29.663268,0.0,1.616267,1.985853,0.0,0.0,0.071,0.0,0.0,0.0,3.045919
chr1_112942216_112942335,3.280588,0.0,0.0,0.0,10.6266365,8.489129,0.0,2.453556,4.220592,0.0,0.0
chr1_113584893_113585079,26.312356,0.0,0.0,1.33272,0.0,0.0,0.0,0.0,5.602119,0.0,0.0
chr1_113683682_113683919,34.345776,4.150368,2.660917,1.33272,3.697602,0.0,0.0,0.0,6.331977,0.0,0.0
chr1_113734243_113734639,3.953539,0.0,0.0,1.33272,0.0,0.0,0.0257,0.0,4.266893,0.0,0.0
chr1_11376903_11377179,1.46578,0.0,0.0,1.226666,0.0,0.0,0.0,2.021074,0.0,0.0,2.080527
chr1_114575620_114575801,16.115594,0.0,0.0,1.532209,0.0,0.0,0.0577,0.0,0.0,0.0,3.343384
chr1_114656563_114656717,1.605224,6.295586,0.0,1.532209,7.144789,0.0,0.024,0.0,5.449048,3.876002,3.343384
chr1_114665635_114666029,1.43842,0.0,0.0,1.532209,0.0,0.0,0.0237,0.0,0.0,0.0,3.343384
chr1_114997819_114998047,1.566163,9.450713,0.0,5.5822705,5.235973,8.665988,0.0226,3.974173,7.793803,0.0,0.0
chr1_115052481_115052766,1.688534,17.770179,18.9712825,1.532209,7.7735465,8.665988,0.0,3.974173,4.744588,27.381982,0.0
chr1_115605190_115605611,6.270195,9.867543,7.108519,1.4379185,5.645306,0.0,0.1164,0.0,5.586715,5.152073,0.0
chr1_115713702_115714032,1.930996,0.0,1.48258,1.4379185,0.0,0.0,0.0,1.560701,0.0,0.0,0.0
chr1_115722074_115722498,1.930996,5.221151,1.48258,1.4379185,5.746416,0.0,0.1003,0.0,9.438688,4.470758,0.0
chr1_115732772_115733197,1.930996,5.100656,1.48258,1.4379185,4.077594,0.0,0.0729,1.39329,7.472604,10.171556,0.0
chr1_115873164_115873576,1.513544,0.0,0.0,1.4379185,0.0,0.0,0.0228,0.0,0.0,0.0,1.92564
chr1_115968975_115969167,1.540709,17.170574,8.514769,1.4379185,3.866044,0.0,0.0477,1.587071,10.658675,5.272697,0.0
chr1_116039640_116039989,1.6646,11.411211,3.42193,1.4379185,5.662544,0.0,0.0811,0.0,9.783188,7.6457645,0.0
chr1_116088478_116088732,24.687401,7.735032,6.835238,1.4379185,7.494382,0.0,0.1525,0.0,6.335254,7.268087,0.0
chr1_116221756_116221883,1.581948,2.014943,0.0,1.484524,0.0,4.683337,0.0377,3.157007,4.435285,1.689087,0.0
